#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.7428553147
        0.1670000000         0.0000000000         0.0000000000         0.7403858610
        0.3340000000         0.0000000000         0.0000000000         0.7329745070
        0.5010000000         0.0000000000         0.0000000000         0.7206477171
        0.6680000000         0.0000000000         0.0000000000         0.7034442059
        0.8350000000         0.0000000000         0.0000000000         0.6814222952
        1.0020000000         0.0000000000         0.0000000000         0.6546665661
        1.1690000000         0.0000000000         0.0000000000         0.6232995708
        1.3360000000         0.0000000000         0.0000000000         0.5875026928
        1.5030000000         0.0000000000         0.0000000000         0.5475459976
        1.6700000000         0.0000000000         0.0000000000         0.5038256560
        1.8370000000         0.0000000000         0.0000000000         0.4569012944
        2.0040000000         0.0000000000         0.0000000000         0.4075122791
        2.1710000000         0.0000000000         0.0000000000         0.3567248858
        2.3380000000         0.0000000000         0.0000000000         0.3062175377
        2.5050000000         0.0000000000         0.0000000000         0.2585299653
        2.6720000000         0.0000000000         0.0000000000         0.2168453687
        2.8390000000         0.0000000000         0.0000000000         0.1837621036
        3.0060000000         0.0000000000         0.0000000000         0.1598953626
        3.1730000000         0.0000000000         0.0000000000         0.1438899913
        3.3400000000         0.0000000000         0.0000000000         0.1335605479
        3.5070000000         0.0000000000         0.0000000000         0.1267796694
        3.6740000000         0.0000000000         0.0000000000         0.1220484088
        3.8410000000         0.0000000000         0.0000000000         0.1189530089
        4.0080000000         0.0000000000         0.0000000000         0.1178331665
        4.1750000000         0.0000000000         0.0000000000         0.1189530089
        4.3420000000         0.0000000000         0.0000000000         0.1220484088
        4.5090000000         0.0000000000         0.0000000000         0.1267796694
        4.6760000000         0.0000000000         0.0000000000         0.1335605479
        4.8430000000         0.0000000000         0.0000000000         0.1438899913
        5.0100000000         0.0000000000         0.0000000000         0.1598953626
        5.1770000000         0.0000000000         0.0000000000         0.1837621036
        5.3440000000         0.0000000000         0.0000000000         0.2168453687
        5.5110000000         0.0000000000         0.0000000000         0.2585299653
        5.6780000000         0.0000000000         0.0000000000         0.3062175377
        5.8450000000         0.0000000000         0.0000000000         0.3567248858
        6.0120000000         0.0000000000         0.0000000000         0.4075122791
        6.1790000000         0.0000000000         0.0000000000         0.4569012944
        6.3460000000         0.0000000000         0.0000000000         0.5038256560
        6.5130000000         0.0000000000         0.0000000000         0.5475459976
        6.6800000000         0.0000000000         0.0000000000         0.5875026928
        6.8470000000         0.0000000000         0.0000000000         0.6232995708
        7.0140000000         0.0000000000         0.0000000000         0.6546665661
        7.1810000000         0.0000000000         0.0000000000         0.6814222952
        7.3480000000         0.0000000000         0.0000000000         0.7034442059
        7.5150000000         0.0000000000         0.0000000000         0.7206477171
        7.6820000000         0.0000000000         0.0000000000         0.7329745070
        7.8490000000         0.0000000000         0.0000000000         0.7403858610
        0.0000000000         0.1670000000         0.0000000000         0.7403858610
        0.1670000000         0.1670000000         0.0000000000         0.7379171570
        0.3340000000         0.1670000000         0.0000000000         0.7305136875
        0.5010000000         0.1670000000         0.0000000000         0.7182022507
        0.6680000000         0.1670000000         0.0000000000         0.7010196530
        0.8350000000         0.1670000000         0.0000000000         0.6790255726
        1.0020000000         0.1670000000         0.0000000000         0.6523043286
        1.1690000000         0.1670000000         0.0000000000         0.6209798913
        1.3360000000         0.1670000000         0.0000000000         0.5852356040
        1.5030000000         0.1670000000         0.0000000000         0.5453442819
        1.6700000000         0.1670000000         0.0000000000         0.5017050175
        1.8370000000         0.1670000000         0.0000000000         0.4548811253
        2.0040000000         0.1670000000         0.0000000000         0.4056154864
        2.1710000000         0.1670000000         0.0000000000         0.3549788475
        2.3380000000         0.1670000000         0.0000000000         0.3046571556
        2.5050000000         0.1670000000         0.0000000000         0.2571969513
        2.6720000000         0.1670000000         0.0000000000         0.2157716482
        2.8390000000         0.1670000000         0.0000000000         0.1829419406
        3.0060000000         0.1670000000         0.0000000000         0.1592818894
        3.1730000000         0.1670000000         0.0000000000         0.1434194102
        3.3400000000         0.1670000000         0.0000000000         0.1331733867
        3.5070000000         0.1670000000         0.0000000000         0.1264247305
        3.6740000000         0.1670000000         0.0000000000         0.1216877270
        3.8410000000         0.1670000000         0.0000000000         0.1185741751
        4.0080000000         0.1670000000         0.0000000000         0.1174461176
        4.1750000000         0.1670000000         0.0000000000         0.1185741751
        4.3420000000         0.1670000000         0.0000000000         0.1216877270
        4.5090000000         0.1670000000         0.0000000000         0.1264247305
        4.6760000000         0.1670000000         0.0000000000         0.1331733867
        4.8430000000         0.1670000000         0.0000000000         0.1434194102
        5.0100000000         0.1670000000         0.0000000000         0.1592818894
        5.1770000000         0.1670000000         0.0000000000         0.1829419406
        5.3440000000         0.1670000000         0.0000000000         0.2157716482
        5.5110000000         0.1670000000         0.0000000000         0.2571969513
        5.6780000000         0.1670000000         0.0000000000         0.3046571556
        5.8450000000         0.1670000000         0.0000000000         0.3549788475
        6.0120000000         0.1670000000         0.0000000000         0.4056154864
        6.1790000000         0.1670000000         0.0000000000         0.4548811253
        6.3460000000         0.1670000000         0.0000000000         0.5017050175
        6.5130000000         0.1670000000         0.0000000000         0.5453442819
        6.6800000000         0.1670000000         0.0000000000         0.5852356040
        6.8470000000         0.1670000000         0.0000000000         0.6209798913
        7.0140000000         0.1670000000         0.0000000000         0.6523043286
        7.1810000000         0.1670000000         0.0000000000         0.6790255726
        7.3480000000         0.1670000000         0.0000000000         0.7010196530
        7.5150000000         0.1670000000         0.0000000000         0.7182022507
        7.6820000000         0.1670000000         0.0000000000         0.7305136875
        7.8490000000         0.1670000000         0.0000000000         0.7379171570
        0.0000000000         0.3340000000         0.0000000000         0.7329745070
        0.1670000000         0.3340000000         0.0000000000         0.7305136875
        0.3340000000         0.3340000000         0.0000000000         0.7231382914
        0.5010000000         0.3340000000         0.0000000000         0.7108723581
        0.6680000000         0.3340000000         0.0000000000         0.6937529513
        0.8350000000         0.3340000000         0.0000000000         0.6718423043
        1.0020000000         0.3340000000         0.0000000000         0.6452252401
        1.1690000000         0.3340000000         0.0000000000         0.6140301076
        1.3360000000         0.3340000000         0.0000000000         0.5784455229
        1.5030000000         0.3340000000         0.0000000000         0.5387521645
        1.6700000000         0.3340000000         0.0000000000         0.4953585230
        1.8370000000         0.3340000000         0.0000000000         0.4488388467
        2.0040000000         0.3340000000         0.0000000000         0.3999468102
        2.1710000000         0.3340000000         0.0000000000         0.3497674678
        2.3380000000         0.3340000000         0.0000000000         0.3000093649
        2.5050000000         0.3340000000         0.0000000000         0.2532368215
        2.6720000000         0.3340000000         0.0000000000         0.2125895414
        2.8390000000         0.3340000000         0.0000000000         0.1805152389
        3.0060000000         0.3340000000         0.0000000000         0.1574672560
        3.1730000000         0.3340000000         0.0000000000         0.1420248041
        3.3400000000         0.3340000000         0.0000000000         0.1320191048
        3.5070000000         0.3340000000         0.0000000000         0.1253549645
        3.6740000000         0.3340000000         0.0000000000         0.1205945602
        3.8410000000         0.3340000000         0.0000000000         0.1174247079
        4.0080000000         0.3340000000         0.0000000000         0.1162708644
        4.1750000000         0.3340000000         0.0000000000         0.1174247079
        4.3420000000         0.3340000000         0.0000000000         0.1205945602
        4.5090000000         0.3340000000         0.0000000000         0.1253549645
        4.6760000000         0.3340000000         0.0000000000         0.1320191048
        4.8430000000         0.3340000000         0.0000000000         0.1420248041
        5.0100000000         0.3340000000         0.0000000000         0.1574672560
        5.1770000000         0.3340000000         0.0000000000         0.1805152389
        5.3440000000         0.3340000000         0.0000000000         0.2125895414
