#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000        -3.4582981705
        0.1670000000         0.0000000000         0.0000000000        -3.4591930153
        0.3340000000         0.0000000000         0.0000000000        -3.4594130802
        0.5010000000         0.0000000000         0.0000000000        -3.4558154781
        0.6680000000         0.0000000000         0.0000000000        -3.4453109111
        0.8350000000         0.0000000000         0.0000000000        -3.4220524371
        1.0020000000         0.0000000000         0.0000000000        -3.3801420592
        1.1690000000         0.0000000000         0.0000000000        -3.3138114843
        1.3360000000         0.0000000000         0.0000000000        -3.2176669934
        1.5030000000         0.0000000000         0.0000000000        -3.0882610735
        1.6700000000         0.0000000000         0.0000000000        -2.9235093506
        1.8370000000         0.0000000000         0.0000000000        -2.7242882437
        2.0040000000         0.0000000000         0.0000000000        -2.4940486682
        2.1710000000         0.0000000000         0.0000000000        -2.2384501585
        2.3380000000         0.0000000000         0.0000000000        -1.9662474162
        2.5050000000         0.0000000000         0.0000000000        -1.6868324524
        2.6720000000         0.0000000000         0.0000000000        -1.4116375718
        2.8390000000         0.0000000000         0.0000000000        -1.1502221758
        3.0060000000         0.0000000000         0.0000000000        -0.9020532473
        3.1730000000         0.0000000000         0.0000000000        -0.6659031546
        3.3400000000         0.0000000000         0.0000000000        -0.4493152120
        3.5070000000         0.0000000000         0.0000000000        -0.2637114686
        3.6740000000         0.0000000000         0.0000000000        -0.1208628624
        3.8410000000         0.0000000000         0.0000000000        -0.0308153159
        4.0080000000         0.0000000000         0.0000000000         0.0000000000
        4.1750000000         0.0000000000         0.0000000000        -0.0308153159
        4.3420000000         0.0000000000         0.0000000000        -0.1208628624
        4.5090000000         0.0000000000         0.0000000000        -0.2637114686
        4.6760000000         0.0000000000         0.0000000000        -0.4493152120
        4.8430000000         0.0000000000         0.0000000000        -0.6659031546
        5.0100000000         0.0000000000         0.0000000000        -0.9020532473
        5.1770000000         0.0000000000         0.0000000000        -1.1502221758
        5.3440000000         0.0000000000         0.0000000000        -1.4116375718
        5.5110000000         0.0000000000         0.0000000000        -1.6868324524
        5.6780000000         0.0000000000         0.0000000000        -1.9662474162
        5.8450000000         0.0000000000         0.0000000000        -2.2384501585
        6.0120000000         0.0000000000         0.0000000000        -2.4940486682
