#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.8017298220
        0.1670000000         0.0000000000         0.0000000000         0.7961309008
        0.3340000000         0.0000000000         0.0000000000         0.7795206376
        0.5010000000         0.0000000000         0.0000000000         0.7524590985
        0.6680000000         0.0000000000         0.0000000000         0.7158772495
        0.8350000000         0.0000000000         0.0000000000         0.6710611404
        1.0020000000         0.0000000000         0.0000000000         0.6196134574
        1.1690000000         0.0000000000         0.0000000000         0.5633867283
        1.3360000000         0.0000000000         0.0000000000         0.5043864811
        1.5030000000         0.0000000000         0.0000000000         0.4446479122
        1.6700000000         0.0000000000         0.0000000000         0.3860979405
        1.8370000000         0.0000000000         0.0000000000         0.3304229943
        2.0040000000         0.0000000000         0.0000000000         0.2789650083
        2.1710000000         0.0000000000         0.0000000000         0.2326612720
        2.3380000000         0.0000000000         0.0000000000         0.1920326862
        2.5050000000         0.0000000000         0.0000000000         0.1572162904
        2.6720000000         0.0000000000         0.0000000000         0.1280331989
        2.8390000000         0.0000000000         0.0000000000         0.1040794619
        3.0060000000         0.0000000000         0.0000000000         0.0848236360
        3.1730000000         0.0000000000         0.0000000000         0.0696940566
        3.3400000000         0.0000000000         0.0000000000         0.0581440424
        3.5070000000         0.0000000000         0.0000000000         0.0496928496
        3.6740000000         0.0000000000         0.0000000000         0.0439484878
        3.8410000000         0.0000000000         0.0000000000         0.0406210154
        4.0080000000         0.0000000000         0.0000000000         0.0395319671
        4.1750000000         0.0000000000         0.0000000000         0.0406210154
        4.3420000000         0.0000000000         0.0000000000         0.0439484878
        4.5090000000         0.0000000000         0.0000000000         0.0496928496
        4.6760000000         0.0000000000         0.0000000000         0.0581440424
        4.8430000000         0.0000000000         0.0000000000         0.0696940566
        5.0100000000         0.0000000000         0.0000000000         0.0848236360
        5.1770000000         0.0000000000         0.0000000000         0.1040794619
        5.3440000000         0.0000000000         0.0000000000         0.1280331989
        5.5110000000         0.0000000000         0.0000000000         0.1572162904
        5.6780000000         0.0000000000         0.0000000000         0.1920326862
        5.8450000000         0.0000000000         0.0000000000         0.2326612720
        6.0120000000         0.0000000000         0.0000000000         0.2789650083
        6.1790000000         0.0000000000         0.0000000000         0.3304229943
        6.3460000000         0.0000000000         0.0000000000         0.3860979405
        6.5130000000         0.0000000000         0.0000000000         0.4446479122
        6.6800000000         0.0000000000         0.0000000000         0.5043864811
        6.8470000000         0.0000000000         0.0000000000         0.5633867283
        7.0140000000         0.0000000000         0.0000000000         0.6196134574
        7.1810000000         0.0000000000         0.0000000000         0.6710611404
        7.3480000000         0.0000000000         0.0000000000         0.7158772495
        7.5150000000         0.0000000000         0.0000000000         0.7524590985
        7.6820000000         0.0000000000         0.0000000000         0.7795206376
        7.8490000000         0.0000000000         0.0000000000         0.7961309008
        0.0000000000         0.1670000000         0.0000000000         0.7961309008
        0.1670000000         0.1670000000         0.0000000000         0.7905630789
        0.3340000000         0.1670000000         0.0000000000         0.7740461519
        0.5010000000         0.1670000000         0.0000000000         0.7471400346
        0.6680000000         0.1670000000         0.0000000000         0.7107746652
        0.8350000000         0.1670000000         0.0000000000         0.6662333310
        1.0020000000         0.1670000000         0.0000000000         0.6151134671
        1.1690000000         0.1670000000         0.0000000000         0.5592594116
        1.3360000000         0.1670000000         0.0000000000         0.5006655571
        1.5030000000         0.1670000000         0.0000000000         0.4413535320
        1.6700000000         0.1670000000         0.0000000000         0.3832352751
        1.8370000000         0.1670000000         0.0000000000         0.3279822016
        2.0040000000         0.1670000000         0.0000000000         0.2769226760
        2.1710000000         0.1670000000         0.0000000000         0.2309831315
        2.3380000000         0.1670000000         0.0000000000         0.1906771454
        2.5050000000         0.1670000000         0.0000000000         0.1561381904
        2.6720000000         0.1670000000         0.0000000000         0.1271872053
        2.8390000000         0.1670000000         0.0000000000         0.1034226572
        3.0060000000         0.1670000000         0.0000000000         0.0843171431
        3.1730000000         0.1670000000         0.0000000000         0.0693037814
        3.3400000000         0.1670000000         0.0000000000         0.0578407617
        3.5070000000         0.1670000000         0.0000000000         0.0494518646
        3.6740000000         0.1670000000         0.0000000000         0.0437489737
        3.8410000000         0.1670000000         0.0000000000         0.0404451265
        4.0080000000         0.1670000000         0.0000000000         0.0393637388
        4.1750000000         0.1670000000         0.0000000000         0.0404451265
        4.3420000000         0.1670000000         0.0000000000         0.0437489737
        4.5090000000         0.1670000000         0.0000000000         0.0494518646
        4.6760000000         0.1670000000         0.0000000000         0.0578407617
        4.8430000000         0.1670000000         0.0000000000         0.0693037814
        5.0100000000         0.1670000000         0.0000000000         0.0843171431
        5.1770000000         0.1670000000         0.0000000000         0.1034226572
        5.3440000000         0.1670000000         0.0000000000         0.1271872053
        5.5110000000         0.1670000000         0.0000000000         0.1561381904
        5.6780000000         0.1670000000         0.0000000000         0.1906771454
        5.8450000000         0.1670000000         0.0000000000         0.2309831315
        6.0120000000         0.1670000000         0.0000000000         0.2769226760
        6.1790000000         0.1670000000         0.0000000000         0.3279822016
        6.3460000000         0.1670000000         0.0000000000         0.3832352751
        6.5130000000         0.1670000000         0.0000000000         0.4413535320
        6.6800000000         0.1670000000         0.0000000000         0.5006655571
        6.8470000000         0.1670000000         0.0000000000         0.5592594116
        7.0140000000         0.1670000000         0.0000000000         0.6151134671
        7.1810000000         0.1670000000         0.0000000000         0.6662333310
        7.3480000000         0.1670000000         0.0000000000         0.7107746652
        7.5150000000         0.1670000000         0.0000000000         0.7471400346
        7.6820000000         0.1670000000         0.0000000000         0.7740461519
        7.8490000000         0.1670000000         0.0000000000         0.7905630789
        0.0000000000         0.3340000000         0.0000000000         0.7795206376
        0.1670000000         0.3340000000         0.0000000000         0.7740461519
        0.3340000000         0.3340000000         0.0000000000         0.7578091800
        0.5010000000         0.3340000000         0.0000000000         0.7313687346
        0.6680000000         0.3340000000         0.0000000000         0.6956510704
        0.8350000000         0.3340000000         0.0000000000         0.6519305873
        1.0020000000         0.3340000000         0.0000000000         0.6017884802
        1.1690000000         0.3340000000         0.0000000000         0.5470442206
        1.3360000000         0.3340000000         0.0000000000         0.4896587364
        1.5030000000         0.3340000000         0.0000000000         0.4316131662
        1.6700000000         0.3340000000         0.0000000000         0.3747749978
        1.8370000000         0.3340000000         0.0000000000         0.3207713238
        2.0040000000         0.3340000000         0.0000000000         0.2708906335
        2.1710000000         0.3340000000         0.0000000000         0.2260276100
        2.3380000000         0.3340000000         0.0000000000         0.1866745381
        2.5050000000         0.3340000000         0.0000000000         0.1529546615
        2.6720000000         0.3340000000         0.0000000000         0.1246886458
        2.8390000000         0.3340000000         0.0000000000         0.1014822765
        3.0060000000         0.3340000000         0.0000000000         0.0828202006
        3.1730000000         0.3340000000         0.0000000000         0.0681497190
        3.3400000000         0.3340000000         0.0000000000         0.0569434131
        3.5070000000         0.3340000000         0.0000000000         0.0487383950
        3.6740000000         0.3340000000         0.0000000000         0.0431579470
        3.8410000000         0.3340000000         0.0000000000         0.0399238677
        4.0080000000         0.3340000000         0.0000000000         0.0388651050
        4.1750000000         0.3340000000         0.0000000000         0.0399238677
        4.3420000000         0.3340000000         0.0000000000         0.0431579470
        4.5090000000         0.3340000000         0.0000000000         0.0487383950
        4.6760000000         0.3340000000         0.0000000000         0.0569434131
        4.8430000000         0.3340000000         0.0000000000         0.0681497190
        5.0100000000         0.3340000000         0.0000000000         0.0828202006
        5.1770000000         0.3340000000         0.0000000000         0.1014822765
        5.3440000000         0.3340000000         0.0000000000         0.1246886458
        5.5110000000         0.3340000000         0.0000000000         0.1529546615
        5.6780000000         0.3340000000         0.0000000000         0.1866745381
        5.8450000000         0.3340000000         0.0000000000         0.2260276100
        6.0120000000         0.3340000000         0.0000000000         0.2708906335
        6.1790000000         0.3340000000         0.0000000000         0.3207713238
        6.3460000000         0.3340000000         0.0000000000         0.3747749978
        6.5130000000         0.3340000000         0.0000000000         0.4316131662
        6.6800000000         0.3340000000         0.0000000000         0.4896587364
        6.8470000000         0.3340000000         0.0000000000         0.5470442206
        7.0140000000         0.3340000000         0.0000000000         0.6017884802
        7.1810000000         0.3340000000         0.0000000000         0.6519305873
        7.3480000000         0.3340000000         0.0000000000         0.6956510704
        7.5150000000         0.3340000000         0.0000000000         0.7313687346
        7.6820000000         0.3340000000         0.0000000000         0.7578091800
        7.8490000000         0.3340000000         0.0000000000         0.7740461519
        0.0000000000         0.5010000000         0.0000000000         0.7524590985
        0.1670000000         0.5010000000         0.0000000000         0.7471400346
        0.3340000000         0.5010000000         0.0000000000         0.7313687346
        0.5010000000         0.5010000000         0.0000000000         0.7057013482
        0.6680000000         0.5010000000         0.0000000000         0.6710561613
        0.8350000000         0.5010000000         0.0000000000         0.6286909094
        1.0020000000         0.5010000000         0.0000000000         0.5801582157
        1.1690000000         0.5010000000         0.0000000000         0.5272352078
        1.3360000000         0.5010000000         0.0000000000         0.4718269204
        1.5030000000         0.5010000000         0.0000000000         0.4158477827
        1.6700000000         0.5010000000         0.0000000000         0.3610928600
        1.8370000000         0.5010000000         0.0000000000         0.3091177456
        2.0040000000         0.5010000000         0.0000000000         0.2611471951
        2.1710000000         0.5010000000         0.0000000000         0.2180256117
        2.3380000000         0.5010000000         0.0000000000         0.1802119640
        2.5050000000         0.5010000000         0.0000000000         0.1478139363
        2.6720000000         0.5010000000         0.0000000000         0.1206525235
        2.8390000000         0.5010000000         0.0000000000         0.0983458924
        3.0060000000         0.5010000000         0.0000000000         0.0803985118
        3.1730000000         0.5010000000         0.0000000000         0.0662807587
        3.3400000000         0.5010000000         0.0000000000         0.0554884637
        3.5070000000         0.5010000000         0.0000000000         0.0475801674
        3.6740000000         0.5010000000         0.0000000000         0.0421974181
        3.8410000000         0.5010000000         0.0000000000         0.0390760377
        4.0080000000         0.5010000000         0.0000000000         0.0380538306
        4.1750000000         0.5010000000         0.0000000000         0.0390760377
        4.3420000000         0.5010000000         0.0000000000         0.0421974181
        4.5090000000         0.5010000000         0.0000000000         0.0475801674
        4.6760000000         0.5010000000         0.0000000000         0.0554884637
        4.8430000000         0.5010000000         0.0000000000         0.0662807587
        5.0100000000         0.5010000000         0.0000000000         0.0803985118
        5.1770000000         0.5010000000         0.0000000000         0.0983458924
        5.3440000000         0.5010000000         0.0000000000         0.1206525235
        5.5110000000         0.5010000000         0.0000000000         0.1478139363
        5.6780000000         0.5010000000         0.0000000000         0.1802119640
        5.8450000000         0.5010000000         0.0000000000         0.2180256117
