#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.6143525225
        0.1670000000         0.0000000000         0.0000000000         0.6145909862
        0.3340000000         0.0000000000         0.0000000000         0.6146496351
        0.5010000000         0.0000000000         0.0000000000         0.6136910810
        0.6680000000         0.0000000000         0.0000000000         0.6108950733
        0.8350000000         0.0000000000         0.0000000000         0.6047195143
        1.0020000000         0.0000000000         0.0000000000         0.5936444650
        1.1690000000         0.0000000000         0.0000000000         0.5762563067
        1.3360000000         0.0000000000         0.0000000000         0.5513604837
        1.5030000000         0.0000000000         0.0000000000         0.5184358248
        1.6700000000         0.0000000000         0.0000000000         0.4775080794
        1.8370000000         0.0000000000         0.0000000000         0.4295399653
        2.0040000000         0.0000000000         0.0000000000         0.3762542197
        2.1710000000         0.0000000000         0.0000000000         0.3199227591
        2.3380000000         0.0000000000         0.0000000000         0.2633790584
        2.5050000000         0.0000000000         0.0000000000         0.2092820183
        2.6720000000         0.0000000000         0.0000000000         0.1602170779
        2.8390000000         0.0000000000         0.0000000000         0.1178410485
        3.0060000000         0.0000000000         0.0000000000         0.0818412502
        3.1730000000         0.0000000000         0.0000000000         0.0519087537
        3.3400000000         0.0000000000         0.0000000000         0.0287707164
        3.5070000000         0.0000000000         0.0000000000         0.0129365216
        3.6740000000         0.0000000000         0.0000000000         0.0040138700
        3.8410000000         0.0000000000         0.0000000000         0.0005167422
        4.0080000000         0.0000000000         0.0000000000         0.0000000000
        4.1750000000         0.0000000000         0.0000000000         0.0005167422
        4.3420000000         0.0000000000         0.0000000000         0.0040138700
        4.5090000000         0.0000000000         0.0000000000         0.0129365216
        4.6760000000         0.0000000000         0.0000000000         0.0287707164
        4.8430000000         0.0000000000         0.0000000000         0.0519087537
        5.0100000000         0.0000000000         0.0000000000         0.0818412502
        5.1770000000         0.0000000000         0.0000000000         0.1178410485
        5.3440000000         0.0000000000         0.0000000000         0.1602170779
        5.5110000000         0.0000000000         0.0000000000         0.2092820183
        5.6780000000         0.0000000000         0.0000000000         0.2633790584
        5.8450000000         0.0000000000         0.0000000000         0.3199227591
        6.0120000000         0.0000000000         0.0000000000         0.3762542197
        6.1790000000         0.0000000000         0.0000000000         0.4295399653
        6.3460000000         0.0000000000         0.0000000000         0.4775080794
        6.5130000000         0.0000000000         0.0000000000         0.5184358248
        6.6800000000         0.0000000000         0.0000000000         0.5513604837
        6.8470000000         0.0000000000         0.0000000000         0.5762563067
        7.0140000000         0.0000000000         0.0000000000         0.5936444650
        7.1810000000         0.0000000000         0.0000000000         0.6047195143
        7.3480000000         0.0000000000         0.0000000000         0.6108950733
        7.5150000000         0.0000000000         0.0000000000         0.6136910810
        7.6820000000         0.0000000000         0.0000000000         0.6146496351
        7.8490000000         0.0000000000         0.0000000000         0.6145909862
        0.0000000000         0.1670000000         0.0000000000         0.6145909862
        0.1670000000         0.1670000000         0.0000000000         0.6146966322
        0.3340000000         0.1670000000         0.0000000000         0.6145375202
        0.5010000000         0.1670000000         0.0000000000         0.6134073530
        0.6680000000         0.1670000000         0.0000000000         0.6103655481
        0.8350000000         0.1670000000         0.0000000000         0.6038643826
        1.0020000000         0.1670000000         0.0000000000         0.5924573409
        1.1690000000         0.1670000000         0.0000000000         0.5747371369
        1.3360000000         0.1670000000         0.0000000000         0.5495329668
        1.5030000000         0.1670000000         0.0000000000         0.5163579689
        1.6700000000         0.1670000000         0.0000000000         0.4752591136
        1.8370000000         0.1670000000         0.0000000000         0.4272146537
        2.0040000000         0.1670000000         0.0000000000         0.3739490597
        2.1710000000         0.1670000000         0.0000000000         0.3177304240
        2.3380000000         0.1670000000         0.0000000000         0.2613820392
        2.5050000000         0.1670000000         0.0000000000         0.2075444847
        2.6720000000         0.1670000000         0.0000000000         0.1587739191
        2.8390000000         0.1670000000         0.0000000000         0.1167113186
        3.0060000000         0.1670000000         0.0000000000         0.0810408795
        3.1730000000         0.1670000000         0.0000000000         0.0514178340
        3.3400000000         0.1670000000         0.0000000000         0.0285248233
        3.5070000000         0.1670000000         0.0000000000         0.0128513909
        3.6740000000         0.1670000000         0.0000000000         0.0040070838
        3.8410000000         0.1670000000         0.0000000000         0.0005290073
        4.0080000000         0.1670000000         0.0000000000         0.0000017968
        4.1750000000         0.1670000000         0.0000000000         0.0005290073
        4.3420000000         0.1670000000         0.0000000000         0.0040070838
        4.5090000000         0.1670000000         0.0000000000         0.0128513909
        4.6760000000         0.1670000000         0.0000000000         0.0285248233
        4.8430000000         0.1670000000         0.0000000000         0.0514178340
        5.0100000000         0.1670000000         0.0000000000         0.0810408795
        5.1770000000         0.1670000000         0.0000000000         0.1167113186
        5.3440000000         0.1670000000         0.0000000000         0.1587739191
        5.5110000000         0.1670000000         0.0000000000         0.2075444847
        5.6780000000         0.1670000000         0.0000000000         0.2613820392
        5.8450000000         0.1670000000         0.0000000000         0.3177304240
        6.0120000000         0.1670000000         0.0000000000         0.3739490597
        6.1790000000         0.1670000000         0.0000000000         0.4272146537
        6.3460000000         0.1670000000         0.0000000000         0.4752591136
        6.5130000000         0.1670000000         0.0000000000         0.5163579689
        6.6800000000         0.1670000000         0.0000000000         0.5495329668
        6.8470000000         0.1670000000         0.0000000000         0.5747371369
        7.0140000000         0.1670000000         0.0000000000         0.5924573409
        7.1810000000         0.1670000000         0.0000000000         0.6038643826
        7.3480000000         0.1670000000         0.0000000000         0.6103655481
        7.5150000000         0.1670000000         0.0000000000         0.6134073530
        7.6820000000         0.1670000000         0.0000000000         0.6145375202
        7.8490000000         0.1670000000         0.0000000000         0.6146966322
        0.0000000000         0.3340000000         0.0000000000         0.6146496351
        0.1670000000         0.3340000000         0.0000000000         0.6145375202
        0.3340000000         0.3340000000         0.0000000000         0.6139594608
        0.5010000000         0.3340000000         0.0000000000         0.6123211845
        0.6680000000         0.3340000000         0.0000000000         0.6085198611
        0.8350000000         0.3340000000         0.0000000000         0.6011064477
        1.0020000000         0.3340000000         0.0000000000         0.5887525407
        1.1690000000         0.3340000000         0.0000000000         0.5700674629
        1.3360000000         0.3340000000         0.0000000000         0.5439848761
        1.5030000000         0.3340000000         0.0000000000         0.5100950825
        1.6700000000         0.3340000000         0.0000000000         0.4684993781
        1.8370000000         0.3340000000         0.0000000000         0.4202336454
        2.0040000000         0.3340000000         0.0000000000         0.3670393595
        2.1710000000         0.3340000000         0.0000000000         0.3111773798
        2.3380000000         0.3340000000         0.0000000000         0.2554309692
        2.5050000000         0.3340000000         0.0000000000         0.2023787109
        2.6720000000         0.3340000000         0.0000000000         0.1544926898
        2.8390000000         0.3340000000         0.0000000000         0.1133742399
        3.0060000000         0.3340000000         0.0000000000         0.0786920410
        3.1730000000         0.3340000000         0.0000000000         0.0499801181
        3.3400000000         0.3340000000         0.0000000000         0.0277984727
        3.5070000000         0.3340000000         0.0000000000         0.0125981022
        3.6740000000         0.3340000000         0.0000000000         0.0039913945
        3.8410000000         0.3340000000         0.0000000000         0.0005716545
        4.0080000000         0.3340000000         0.0000000000         0.0000163062
        4.1750000000         0.3340000000         0.0000000000         0.0005716545
        4.3420000000         0.3340000000         0.0000000000         0.0039913945
        4.5090000000         0.3340000000         0.0000000000         0.0125981022
        4.6760000000         0.3340000000         0.0000000000         0.0277984727
        4.8430000000         0.3340000000         0.0000000000         0.0499801181
        5.0100000000         0.3340000000         0.0000000000         0.0786920410
        5.1770000000         0.3340000000         0.0000000000         0.1133742399
        5.3440000000         0.3340000000         0.0000000000         0.1544926898
        5.5110000000         0.3340000000         0.0000000000         0.2023787109
        5.6780000000         0.3340000000         0.0000000000         0.2554309692
        5.8450000000         0.3340000000         0.0000000000         0.3111773798
        6.0120000000         0.3340000000         0.0000000000         0.3670393595
        6.1790000000         0.3340000000         0.0000000000         0.4202336454
        6.3460000000         0.3340000000         0.0000000000         0.4684993781
        6.5130000000         0.3340000000         0.0000000000         0.5100950825
        6.6800000000         0.3340000000         0.0000000000         0.5439848761
        6.8470000000         0.3340000000         0.0000000000         0.5700674629
        7.0140000000         0.3340000000         0.0000000000         0.5887525407
        7.1810000000         0.3340000000         0.0000000000         0.6011064477
        7.3480000000         0.3340000000         0.0000000000         0.6085198611
        7.5150000000         0.3340000000         0.0000000000         0.6123211845
        7.6820000000         0.3340000000         0.0000000000         0.6139594608
        7.8490000000         0.3340000000         0.0000000000         0.6145375202
        0.0000000000         0.5010000000         0.0000000000         0.6136910810
        0.1670000000         0.5010000000         0.0000000000         0.6134073530
        0.3340000000         0.5010000000         0.0000000000         0.6123211845
        0.5010000000         0.5010000000         0.0000000000         0.6097700929
        0.6680000000         0.5010000000         0.0000000000         0.6047094236
        0.8350000000         0.5010000000         0.0000000000         0.5959002854
        1.0020000000         0.5010000000         0.0000000000         0.5820442287
        1.1690000000         0.5010000000         0.0000000000         0.5618376308
        1.3360000000         0.5010000000         0.0000000000         0.5344113366
        1.5030000000         0.5010000000         0.0000000000         0.4994370944
        1.6700000000         0.5010000000         0.0000000000         0.4571203992
        1.8370000000         0.5010000000         0.0000000000         0.4085871377
        2.0040000000         0.5010000000         0.0000000000         0.3555956851
        2.1710000000         0.5010000000         0.0000000000         0.3003937451
        2.3380000000         0.5010000000         0.0000000000         0.2456886440
        2.5050000000         0.5010000000         0.0000000000         0.1939594616
        2.6720000000         0.5010000000         0.0000000000         0.1475405760
        2.8390000000         0.5010000000         0.0000000000         0.1079716650
