#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000        -4.0151271394
        0.2672000000         0.0000000000         0.0000000000        -3.6947364936
        0.5344000000         0.0000000000         0.0000000000        -2.8308038786
        0.8016000000         0.0000000000         0.0000000000        -1.7381238668
        1.0688000000         0.0000000000         0.0000000000        -0.9419363549
        1.3360000000         0.0000000000         0.0000000000        -0.5328637025
        1.6032000000         0.0000000000         0.0000000000        -0.3376642004
        1.8704000000         0.0000000000         0.0000000000        -0.1754289508
        2.1376000000         0.0000000000         0.0000000000        -0.0990199563
        2.4048000000         0.0000000000         0.0000000000        -0.0641126364
        2.6720000000         0.0000000000         0.0000000000        -0.0453155512
        2.9392000000         0.0000000000         0.0000000000        -0.0406227177
        3.2064000000         0.0000000000         0.0000000000        -0.0461532437
        3.4736000000         0.0000000000         0.0000000000        -0.0499956986
        3.7408000000         0.0000000000         0.0000000000        -0.0540122312
        4.0080000000         0.0000000000         0.0000000000        -0.0495990578
        4.2752000000         0.0000000000         0.0000000000        -0.0540122312
        4.5424000000         0.0000000000         0.0000000000        -0.0499956986
        4.8096000000         0.0000000000         0.0000000000        -0.0461532437
        5.0768000000         0.0000000000         0.0000000000        -0.0406227177
        5.3440000000         0.0000000000         0.0000000000        -0.0453155512
        5.6112000000         0.0000000000         0.0000000000        -0.0641126364
        5.8784000000         0.0000000000         0.0000000000        -0.0990199563
        6.1456000000         0.0000000000         0.0000000000        -0.1754289508
        6.4128000000         0.0000000000         0.0000000000        -0.3376642004
        6.6800000000         0.0000000000         0.0000000000        -0.5328637025
        6.9472000000         0.0000000000         0.0000000000        -0.9419363549
        7.2144000000         0.0000000000         0.0000000000        -1.7381238668
        7.4816000000         0.0000000000         0.0000000000        -2.8308038786
        7.7488000000         0.0000000000         0.0000000000        -3.6947364936
        0.0000000000         0.2672000000         0.0000000000        -3.6947364936
        0.2672000000         0.2672000000         0.0000000000        -3.3870702430
        0.5344000000         0.2672000000         0.0000000000        -2.5742031804
        0.8016000000         0.2672000000         0.0000000000        -1.5733937572
        1.0688000000         0.2672000000         0.0000000000        -0.8849162709
        1.3360000000         0.2672000000         0.0000000000        -0.4880105176
        1.6032000000         0.2672000000         0.0000000000        -0.3300453750
        1.8704000000         0.2672000000         0.0000000000        -0.1664977531
        2.1376000000         0.2672000000         0.0000000000        -0.0963999646
        2.4048000000         0.2672000000         0.0000000000        -0.0626009227
        2.6720000000         0.2672000000         0.0000000000        -0.0446589663
        2.9392000000         0.2672000000         0.0000000000        -0.0399651276
        3.2064000000         0.2672000000         0.0000000000        -0.0454913908
        3.4736000000         0.2672000000         0.0000000000        -0.0497772292
        3.7408000000         0.2672000000         0.0000000000        -0.0547696028
        4.0080000000         0.2672000000         0.0000000000        -0.0521889958
        4.2752000000         0.2672000000         0.0000000000        -0.0547696028
        4.5424000000         0.2672000000         0.0000000000        -0.0497772292
        4.8096000000         0.2672000000         0.0000000000        -0.0454913908
        5.0768000000         0.2672000000         0.0000000000        -0.0399651276
        5.3440000000         0.2672000000         0.0000000000        -0.0446589663
        5.6112000000         0.2672000000         0.0000000000        -0.0626009227
        5.8784000000         0.2672000000         0.0000000000        -0.0963999646
        6.1456000000         0.2672000000         0.0000000000        -0.1664977531
        6.4128000000         0.2672000000         0.0000000000        -0.3300453750
        6.6800000000         0.2672000000         0.0000000000        -0.4880105176
        6.9472000000         0.2672000000         0.0000000000        -0.8849162709
        7.2144000000         0.2672000000         0.0000000000        -1.5733937572
        7.4816000000         0.2672000000         0.0000000000        -2.5742031804
        7.7488000000         0.2672000000         0.0000000000        -3.3870702430
        0.0000000000         0.5344000000         0.0000000000        -2.8308038786
        0.2672000000         0.5344000000         0.0000000000        -2.5742031804
        0.5344000000         0.5344000000         0.0000000000        -1.9156948820
        0.8016000000         0.5344000000         0.0000000000        -1.1989549442
        1.0688000000         0.5344000000         0.0000000000        -0.7366822450
        1.3360000000         0.5344000000         0.0000000000        -0.3120274607
        1.6032000000         0.5344000000         0.0000000000        -0.2911232110
        1.8704000000         0.5344000000         0.0000000000        -0.1438523016
        2.1376000000         0.5344000000         0.0000000000        -0.0884997243
        2.4048000000         0.5344000000         0.0000000000        -0.0585038320
        2.6720000000         0.5344000000         0.0000000000        -0.0426721779
        2.9392000000         0.5344000000         0.0000000000        -0.0389624193
        3.2064000000         0.5344000000         0.0000000000        -0.0445787577
        3.4736000000         0.5344000000         0.0000000000        -0.0491739701
        3.7408000000         0.5344000000         0.0000000000        -0.0537777482
        4.0080000000         0.5344000000         0.0000000000        -0.0530657110
        4.2752000000         0.5344000000         0.0000000000        -0.0537777482
        4.5424000000         0.5344000000         0.0000000000        -0.0491739701
        4.8096000000         0.5344000000         0.0000000000        -0.0445787577
        5.0768000000         0.5344000000         0.0000000000        -0.0389624193
        5.3440000000         0.5344000000         0.0000000000        -0.0426721779
        5.6112000000         0.5344000000         0.0000000000        -0.0585038320
        5.8784000000         0.5344000000         0.0000000000        -0.0884997243
        6.1456000000         0.5344000000         0.0000000000        -0.1438523016
        6.4128000000         0.5344000000         0.0000000000        -0.2911232110
        6.6800000000         0.5344000000         0.0000000000        -0.3120274607
        6.9472000000         0.5344000000         0.0000000000        -0.7366822450
        7.2144000000         0.5344000000         0.0000000000        -1.1989549442
        7.4816000000         0.5344000000         0.0000000000        -1.9156948820
        7.7488000000         0.5344000000         0.0000000000        -2.5742031804
        0.0000000000         0.8016000000         0.0000000000        -1.7381238668
        0.2672000000         0.8016000000         0.0000000000        -1.5733937572
        0.5344000000         0.8016000000         0.0000000000        -1.1989549442
        0.8016000000         0.8016000000         0.0000000000        -0.8344441610
        1.0688000000         0.8016000000         0.0000000000        -0.5321047746
        1.3360000000         0.8016000000         0.0000000000        -0.3348280967
        1.6032000000         0.8016000000         0.0000000000        -0.2192522138
        1.8704000000         0.8016000000         0.0000000000        -0.1175371589
        2.1376000000         0.8016000000         0.0000000000        -0.0769585792
        2.4048000000         0.8016000000         0.0000000000        -0.0527874841
        2.6720000000         0.8016000000         0.0000000000        -0.0398633221
        2.9392000000         0.8016000000         0.0000000000        -0.0383793331
        3.2064000000         0.8016000000         0.0000000000        -0.0437209826
        3.4736000000         0.8016000000         0.0000000000        -0.0493867589
        3.7408000000         0.8016000000         0.0000000000        -0.0532786623
        4.0080000000         0.8016000000         0.0000000000        -0.0533716705
        4.2752000000         0.8016000000         0.0000000000        -0.0532786623
        4.5424000000         0.8016000000         0.0000000000        -0.0493867589
        4.8096000000         0.8016000000         0.0000000000        -0.0437209826
        5.0768000000         0.8016000000         0.0000000000        -0.0383793331
        5.3440000000         0.8016000000         0.0000000000        -0.0398633221
        5.6112000000         0.8016000000         0.0000000000        -0.0527874841
        5.8784000000         0.8016000000         0.0000000000        -0.0769585792
        6.1456000000         0.8016000000         0.0000000000        -0.1175371589
        6.4128000000         0.8016000000         0.0000000000        -0.2192522138
        6.6800000000         0.8016000000         0.0000000000        -0.3348280967
        6.9472000000         0.8016000000         0.0000000000        -0.5321047746
        7.2144000000         0.8016000000         0.0000000000        -0.8344441610
        7.4816000000         0.8016000000         0.0000000000        -1.1989549442
        7.7488000000         0.8016000000         0.0000000000        -1.5733937572
        0.0000000000         1.0688000000         0.0000000000        -0.9419363549
        0.2672000000         1.0688000000         0.0000000000        -0.8849162709
        0.5344000000         1.0688000000         0.0000000000        -0.7366822450
        0.8016000000         1.0688000000         0.0000000000        -0.5321047746
        1.0688000000         1.0688000000         0.0000000000        -0.2847233816
        1.3360000000         1.0688000000         0.0000000000        -0.2753364869
        1.6032000000         1.0688000000         0.0000000000        -0.1487315846
        1.8704000000         1.0688000000         0.0000000000        -0.0937280766
        2.1376000000         1.0688000000         0.0000000000        -0.0644536468
        2.4048000000         1.0688000000         0.0000000000        -0.0469243554
        2.6720000000         1.0688000000         0.0000000000        -0.0374464722
        2.9392000000         1.0688000000         0.0000000000        -0.0376625664
        3.2064000000         1.0688000000         0.0000000000        -0.0428268822
        3.4736000000         1.0688000000         0.0000000000        -0.0500433755
        3.7408000000         1.0688000000         0.0000000000        -0.0537297796
        4.0080000000         1.0688000000         0.0000000000        -0.0545718722
        4.2752000000         1.0688000000         0.0000000000        -0.0537297796
        4.5424000000         1.0688000000         0.0000000000        -0.0500433755
        4.8096000000         1.0688000000         0.0000000000        -0.0428268822
        5.0768000000         1.0688000000         0.0000000000        -0.0376625664
        5.3440000000         1.0688000000         0.0000000000        -0.0374464722
        5.6112000000         1.0688000000         0.0000000000        -0.0469243554
        5.8784000000         1.0688000000         0.0000000000        -0.0644536468
        6.1456000000         1.0688000000         0.0000000000        -0.0937280766
        6.4128000000         1.0688000000         0.0000000000        -0.1487315846
        6.6800000000         1.0688000000         0.0000000000        -0.2753364869
        6.9472000000         1.0688000000         0.0000000000        -0.2847233816
        7.2144000000         1.0688000000         0.0000000000        -0.5321047746
        7.4816000000         1.0688000000         0.0000000000        -0.7366822450
        7.7488000000         1.0688000000         0.0000000000        -0.8849162709
        0.0000000000         1.3360000000         0.0000000000        -0.5328637025
        0.2672000000         1.3360000000         0.0000000000        -0.4880105176
        0.5344000000         1.3360000000         0.0000000000        -0.3120274607
        0.8016000000         1.3360000000         0.0000000000        -0.3348280967
        1.0688000000         1.3360000000         0.0000000000        -0.2753364869
        1.3360000000         1.3360000000         0.0000000000        -0.1635381785
        1.6032000000         1.3360000000         0.0000000000        -0.1040225318
        1.8704000000         1.3360000000         0.0000000000        -0.0737118208
        2.1376000000         1.3360000000         0.0000000000        -0.0541385583
        2.4048000000         1.3360000000         0.0000000000        -0.0418128519
        2.6720000000         1.3360000000         0.0000000000        -0.0363173136
        2.9392000000         1.3360000000         0.0000000000        -0.0374765352
        3.2064000000         1.3360000000         0.0000000000        -0.0433585084
        3.4736000000         1.3360000000         0.0000000000        -0.0506181165
        3.7408000000         1.3360000000         0.0000000000        -0.0533483120
        4.0080000000         1.3360000000         0.0000000000        -0.0551122404
        4.2752000000         1.3360000000         0.0000000000        -0.0533483120
        4.5424000000         1.3360000000         0.0000000000        -0.0506181165
        4.8096000000         1.3360000000         0.0000000000        -0.0433585084
        5.0768000000         1.3360000000         0.0000000000        -0.0374765352
        5.3440000000         1.3360000000         0.0000000000        -0.0363173136
        5.6112000000         1.3360000000         0.0000000000        -0.0418128519
        5.8784000000         1.3360000000         0.0000000000        -0.0541385583
        6.1456000000         1.3360000000         0.0000000000        -0.0737118208
        6.4128000000         1.3360000000         0.0000000000        -0.1040225318
        6.6800000000         1.3360000000         0.0000000000        -0.1635381785
        6.9472000000         1.3360000000         0.0000000000        -0.2753364869
        7.2144000000         1.3360000000         0.0000000000        -0.3348280967
        7.4816000000         1.3360000000         0.0000000000        -0.3120274607
        7.7488000000         1.3360000000         0.0000000000        -0.4880105176
        0.0000000000         1.6032000000         0.0000000000        -0.3376642004
        0.2672000000         1.6032000000         0.0000000000        -0.3300453750
        0.5344000000         1.6032000000         0.0000000000        -0.2911232110
        0.8016000000         1.6032000000         0.0000000000        -0.2192522138
        1.0688000000         1.6032000000         0.0000000000        -0.1487315846
        1.3360000000         1.6032000000         0.0000000000        -0.1040225318
        1.6032000000         1.6032000000         0.0000000000        -0.0771689294
        1.8704000000         1.6032000000         0.0000000000        -0.0582923285
        2.1376000000         1.6032000000         0.0000000000        -0.0467563216
        2.4048000000         1.6032000000         0.0000000000        -0.0384001236
        2.6720000000         1.6032000000         0.0000000000        -0.0361232744
        2.9392000000         1.6032000000         0.0000000000        -0.0376530299
        3.2064000000         1.6032000000         0.0000000000        -0.0445285306
        3.4736000000         1.6032000000         0.0000000000        -0.0509168828
        3.7408000000         1.6032000000         0.0000000000        -0.0530869464
        4.0080000000         1.6032000000         0.0000000000        -0.0549517208
        4.2752000000         1.6032000000         0.0000000000        -0.0530869464
        4.5424000000         1.6032000000         0.0000000000        -0.0509168828
        4.8096000000         1.6032000000         0.0000000000        -0.0445285306
        5.0768000000         1.6032000000         0.0000000000        -0.0376530299
        5.3440000000         1.6032000000         0.0000000000        -0.0361232744
        5.6112000000         1.6032000000         0.0000000000        -0.0384001236
        5.8784000000         1.6032000000         0.0000000000        -0.0467563216
        6.1456000000         1.6032000000         0.0000000000        -0.0582923285
        6.4128000000         1.6032000000         0.0000000000        -0.0771689294
        6.6800000000         1.6032000000         0.0000000000        -0.1040225318
        6.9472000000         1.6032000000         0.0000000000        -0.1487315846
        7.2144000000         1.6032000000         0.0000000000        -0.2192522138
        7.4816000000         1.6032000000         0.0000000000        -0.2911232110
        7.7488000000         1.6032000000         0.0000000000        -0.3300453750
        0.0000000000         1.8704000000         0.0000000000        -0.1754289508
        0.2672000000         1.8704000000         0.0000000000        -0.1664977531
        0.5344000000         1.8704000000         0.0000000000        -0.1438523016
        0.8016000000         1.8704000000         0.0000000000        -0.1175371589
        1.0688000000         1.8704000000         0.0000000000        -0.0937280766
        1.3360000000         1.8704000000         0.0000000000        -0.0737118208
        1.6032000000         1.8704000000         0.0000000000        -0.0582923285
        1.8704000000         1.8704000000         0.0000000000        -0.0486689519
        2.1376000000         1.8704000000         0.0000000000        -0.0410720902
        2.4048000000         1.8704000000         0.0000000000        -0.0373847617
        2.6720000000         1.8704000000         0.0000000000        -0.0354068160
        2.9392000000         1.8704000000         0.0000000000        -0.0382287251
        3.2064000000         1.8704000000         0.0000000000        -0.0450605462
        3.4736000000         1.8704000000         0.0000000000        -0.0500382566
        3.7408000000         1.8704000000         0.0000000000        -0.0517741921
        4.0080000000         1.8704000000         0.0000000000        -0.0511772602
        4.2752000000         1.8704000000         0.0000000000        -0.0517741921
        4.5424000000         1.8704000000         0.0000000000        -0.0500382566
        4.8096000000         1.8704000000         0.0000000000        -0.0450605462
        5.0768000000         1.8704000000         0.0000000000        -0.0382287251
        5.3440000000         1.8704000000         0.0000000000        -0.0354068160
        5.6112000000         1.8704000000         0.0000000000        -0.0373847617
        5.8784000000         1.8704000000         0.0000000000        -0.0410720902
        6.1456000000         1.8704000000         0.0000000000        -0.0486689519
        6.4128000000         1.8704000000         0.0000000000        -0.0582923285
        6.6800000000         1.8704000000         0.0000000000        -0.0737118208
        6.9472000000         1.8704000000         0.0000000000        -0.0937280766
        7.2144000000         1.8704000000         0.0000000000        -0.1175371589
        7.4816000000         1.8704000000         0.0000000000        -0.1438523016
        7.7488000000         1.8704000000         0.0000000000        -0.1664977531
        0.0000000000         2.1376000000         0.0000000000        -0.0990199563
        0.2672000000         2.1376000000         0.0000000000        -0.0963999646
        0.5344000000         2.1376000000         0.0000000000        -0.0884997243
        0.8016000000         2.1376000000         0.0000000000        -0.0769585792
        1.0688000000         2.1376000000         0.0000000000        -0.0644536468
        1.3360000000         2.1376000000         0.0000000000        -0.0541385583
        1.6032000000         2.1376000000         0.0000000000        -0.0467563216
        1.8704000000         2.1376000000         0.0000000000        -0.0410720902
        2.1376000000         2.1376000000         0.0000000000        -0.0376542774
        2.4048000000         2.1376000000         0.0000000000        -0.0355742392
        2.6720000000         2.1376000000         0.0000000000        -0.0350217053
        2.9392000000         2.1376000000         0.0000000000        -0.0394848731
        3.2064000000         2.1376000000         0.0000000000        -0.0442754533
        3.4736000000         2.1376000000         0.0000000000        -0.0478275228
        3.7408000000         2.1376000000         0.0000000000        -0.0498202717
        4.0080000000         2.1376000000         0.0000000000        -0.0478438625
        4.2752000000         2.1376000000         0.0000000000        -0.0498202717
        4.5424000000         2.1376000000         0.0000000000        -0.0478275228
        4.8096000000         2.1376000000         0.0000000000        -0.0442754533
        5.0768000000         2.1376000000         0.0000000000        -0.0394848731
        5.3440000000         2.1376000000         0.0000000000        -0.0350217053
        5.6112000000         2.1376000000         0.0000000000        -0.0355742392
        5.8784000000         2.1376000000         0.0000000000        -0.0376542774
        6.1456000000         2.1376000000         0.0000000000        -0.0410720902
        6.4128000000         2.1376000000         0.0000000000        -0.0467563216
        6.6800000000         2.1376000000         0.0000000000        -0.0541385583
        6.9472000000         2.1376000000         0.0000000000        -0.0644536468
        7.2144000000         2.1376000000         0.0000000000        -0.0769585792
        7.4816000000         2.1376000000         0.0000000000        -0.0884997243
        7.7488000000         2.1376000000         0.0000000000        -0.0963999646
        0.0000000000         2.4048000000         0.0000000000        -0.0641126364
        0.2672000000         2.4048000000         0.0000000000        -0.0626009227
        0.5344000000         2.4048000000         0.0000000000        -0.0585038320
        0.8016000000         2.4048000000         0.0000000000        -0.0527874841
        1.0688000000         2.4048000000         0.0000000000        -0.0469243554
        1.3360000000         2.4048000000         0.0000000000        -0.0418128519
        1.6032000000         2.4048000000         0.0000000000        -0.0384001236
        1.8704000000         2.4048000000         0.0000000000        -0.0373847617
        2.1376000000         2.4048000000         0.0000000000        -0.0355742392
        2.4048000000         2.4048000000         0.0000000000        -0.0343256803
        2.6720000000         2.4048000000         0.0000000000        -0.0362773853
        2.9392000000         2.4048000000         0.0000000000        -0.0394132447
        3.2064000000         2.4048000000         0.0000000000        -0.0425323119
        3.4736000000         2.4048000000         0.0000000000        -0.0454419039
        3.7408000000         2.4048000000         0.0000000000        -0.0464498756
        4.0080000000         2.4048000000         0.0000000000        -0.0456338118
        4.2752000000         2.4048000000         0.0000000000        -0.0464498756
        4.5424000000         2.4048000000         0.0000000000        -0.0454419039
        4.8096000000         2.4048000000         0.0000000000        -0.0425323119
        5.0768000000         2.4048000000         0.0000000000        -0.0394132447
        5.3440000000         2.4048000000         0.0000000000        -0.0362773853
        5.6112000000         2.4048000000         0.0000000000        -0.0343256803
        5.8784000000         2.4048000000         0.0000000000        -0.0355742392
        6.1456000000         2.4048000000         0.0000000000        -0.0373847617
        6.4128000000         2.4048000000         0.0000000000        -0.0384001236
        6.6800000000         2.4048000000         0.0000000000        -0.0418128519
        6.9472000000         2.4048000000         0.0000000000        -0.0469243554
        7.2144000000         2.4048000000         0.0000000000        -0.0527874841
        7.4816000000         2.4048000000         0.0000000000        -0.0585038320
        7.7488000000         2.4048000000         0.0000000000        -0.0626009227
        0.0000000000         2.6720000000         0.0000000000        -0.0453155512
        0.2672000000         2.6720000000         0.0000000000        -0.0446589663
        0.5344000000         2.6720000000         0.0000000000        -0.0426721779
        0.8016000000         2.6720000000         0.0000000000        -0.0398633221
        1.0688000000         2.6720000000         0.0000000000        -0.0374464722
        1.3360000000         2.6720000000         0.0000000000        -0.0363173136
        1.6032000000         2.6720000000         0.0000000000        -0.0361232744
        1.8704000000         2.6720000000         0.0000000000        -0.0354068160
        2.1376000000         2.6720000000         0.0000000000        -0.0350217053
        2.4048000000         2.6720000000         0.0000000000        -0.0362773853
        2.6720000000         2.6720000000         0.0000000000        -0.0376946129
        2.9392000000         2.6720000000         0.0000000000        -0.0391632740
        3.2064000000         2.6720000000         0.0000000000        -0.0418571151
        3.4736000000         2.6720000000         0.0000000000        -0.0431996422
        3.7408000000         2.6720000000         0.0000000000        -0.0433888498
        4.0080000000         2.6720000000         0.0000000000        -0.0442796923
        4.2752000000         2.6720000000         0.0000000000        -0.0433888498
        4.5424000000         2.6720000000         0.0000000000        -0.0431996422
        4.8096000000         2.6720000000         0.0000000000        -0.0418571151
        5.0768000000         2.6720000000         0.0000000000        -0.0391632740
        5.3440000000         2.6720000000         0.0000000000        -0.0376946129
        5.6112000000         2.6720000000         0.0000000000        -0.0362773853
        5.8784000000         2.6720000000         0.0000000000        -0.0350217053
        6.1456000000         2.6720000000         0.0000000000        -0.0354068160
        6.4128000000         2.6720000000         0.0000000000        -0.0361232744
        6.6800000000         2.6720000000         0.0000000000        -0.0363173136
        6.9472000000         2.6720000000         0.0000000000        -0.0374464722
        7.2144000000         2.6720000000         0.0000000000        -0.0398633221
        7.4816000000         2.6720000000         0.0000000000        -0.0426721779
        7.7488000000         2.6720000000         0.0000000000        -0.0446589663
        0.0000000000         2.9392000000         0.0000000000        -0.0406227177
        0.2672000000         2.9392000000         0.0000000000        -0.0399651276
        0.5344000000         2.9392000000         0.0000000000        -0.0389624193
        0.8016000000         2.9392000000         0.0000000000        -0.0383793331
        1.0688000000         2.9392000000         0.0000000000        -0.0376625664
        1.3360000000         2.9392000000         0.0000000000        -0.0374765352
        1.6032000000         2.9392000000         0.0000000000        -0.0376530299
        1.8704000000         2.9392000000         0.0000000000        -0.0382287251
        2.1376000000         2.9392000000         0.0000000000        -0.0394848731
        2.4048000000         2.9392000000         0.0000000000        -0.0394132447
        2.6720000000         2.9392000000         0.0000000000        -0.0391632740
        2.9392000000         2.9392000000         0.0000000000        -0.0400978808
        3.2064000000         2.9392000000         0.0000000000        -0.0411791956
        3.4736000000         2.9392000000         0.0000000000        -0.0422124163
        3.7408000000         2.9392000000         0.0000000000        -0.0431702608
        4.0080000000         2.9392000000         0.0000000000        -0.0437183043
        4.2752000000         2.9392000000         0.0000000000        -0.0431702608
        4.5424000000         2.9392000000         0.0000000000        -0.0422124163
        4.8096000000         2.9392000000         0.0000000000        -0.0411791956
        5.0768000000         2.9392000000         0.0000000000        -0.0400978808
        5.3440000000         2.9392000000         0.0000000000        -0.0391632740
        5.6112000000         2.9392000000         0.0000000000        -0.0394132447
        5.8784000000         2.9392000000         0.0000000000        -0.0394848731
        6.1456000000         2.9392000000         0.0000000000        -0.0382287251
        6.4128000000         2.9392000000         0.0000000000        -0.0376530299
        6.6800000000         2.9392000000         0.0000000000        -0.0374765352
        6.9472000000         2.9392000000         0.0000000000        -0.0376625664
        7.2144000000         2.9392000000         0.0000000000        -0.0383793331
        7.4816000000         2.9392000000         0.0000000000        -0.0389624193
        7.7488000000         2.9392000000         0.0000000000        -0.0399651276
        0.0000000000         3.2064000000         0.0000000000        -0.0461532437
        0.2672000000         3.2064000000         0.0000000000        -0.0454913908
        0.5344000000         3.2064000000         0.0000000000        -0.0445787577
        0.8016000000         3.2064000000         0.0000000000        -0.0437209826
        1.0688000000         3.2064000000         0.0000000000        -0.0428268822
        1.3360000000         3.2064000000         0.0000000000        -0.0433585084
        1.6032000000         3.2064000000         0.0000000000        -0.0445285306
        1.8704000000         3.2064000000         0.0000000000        -0.0450605462
        2.1376000000         3.2064000000         0.0000000000        -0.0442754533
        2.4048000000         3.2064000000         0.0000000000        -0.0425323119
        2.6720000000         3.2064000000         0.0000000000        -0.0418571151
        2.9392000000         3.2064000000         0.0000000000        -0.0411791956
        3.2064000000         3.2064000000         0.0000000000        -0.0414497299
        3.4736000000         3.2064000000         0.0000000000        -0.0431264407
        3.7408000000         3.2064000000         0.0000000000        -0.0443405990
        4.0080000000         3.2064000000         0.0000000000        -0.0444947713
        4.2752000000         3.2064000000         0.0000000000        -0.0443405990
        4.5424000000         3.2064000000         0.0000000000        -0.0431264407
        4.8096000000         3.2064000000         0.0000000000        -0.0414497299
        5.0768000000         3.2064000000         0.0000000000        -0.0411791956
        5.3440000000         3.2064000000         0.0000000000        -0.0418571151
        5.6112000000         3.2064000000         0.0000000000        -0.0425323119
        5.8784000000         3.2064000000         0.0000000000        -0.0442754533
        6.1456000000         3.2064000000         0.0000000000        -0.0450605462
        6.4128000000         3.2064000000         0.0000000000        -0.0445285306
        6.6800000000         3.2064000000         0.0000000000        -0.0433585084
        6.9472000000         3.2064000000         0.0000000000        -0.0428268822
        7.2144000000         3.2064000000         0.0000000000        -0.0437209826
        7.4816000000         3.2064000000         0.0000000000        -0.0445787577
        7.7488000000         3.2064000000         0.0000000000        -0.0454913908
        0.0000000000         3.4736000000         0.0000000000        -0.0499956986
        0.2672000000         3.4736000000         0.0000000000        -0.0497772292
        0.5344000000         3.4736000000         0.0000000000        -0.0491739701
        0.8016000000         3.4736000000         0.0000000000        -0.0493867589
        1.0688000000         3.4736000000         0.0000000000        -0.0500433755
        1.3360000000         3.4736000000         0.0000000000        -0.0506181165
        1.6032000000         3.4736000000         0.0000000000        -0.0509168828
        1.8704000000         3.4736000000         0.0000000000        -0.0500382566
        2.1376000000         3.4736000000         0.0000000000        -0.0478275228
        2.4048000000         3.4736000000         0.0000000000        -0.0454419039
        2.6720000000         3.4736000000         0.0000000000        -0.0431996422
        2.9392000000         3.4736000000         0.0000000000        -0.0422124163
        3.2064000000         3.4736000000         0.0000000000        -0.0431264407
        3.4736000000         3.4736000000         0.0000000000        -0.0446434990
        3.7408000000         3.4736000000         0.0000000000        -0.0459044821
        4.0080000000         3.4736000000         0.0000000000        -0.0465556462
        4.2752000000         3.4736000000         0.0000000000        -0.0459044821
        4.5424000000         3.4736000000         0.0000000000        -0.0446434990
        4.8096000000         3.4736000000         0.0000000000        -0.0431264407
        5.0768000000         3.4736000000         0.0000000000        -0.0422124163
        5.3440000000         3.4736000000         0.0000000000        -0.0431996422
        5.6112000000         3.4736000000         0.0000000000        -0.0454419039
        5.8784000000         3.4736000000         0.0000000000        -0.0478275228
        6.1456000000         3.4736000000         0.0000000000        -0.0500382566
        6.4128000000         3.4736000000         0.0000000000        -0.0509168828
        6.6800000000         3.4736000000         0.0000000000        -0.0506181165
        6.9472000000         3.4736000000         0.0000000000        -0.0500433755
        7.2144000000         3.4736000000         0.0000000000        -0.0493867589
        7.4816000000         3.4736000000         0.0000000000        -0.0491739701
        7.7488000000         3.4736000000         0.0000000000        -0.0497772292
        0.0000000000         3.7408000000         0.0000000000        -0.0540122312
        0.2672000000         3.7408000000         0.0000000000        -0.0547696028
        0.5344000000         3.7408000000         0.0000000000        -0.0537777482
        0.8016000000         3.7408000000         0.0000000000        -0.0532786623
        1.0688000000         3.7408000000         0.0000000000        -0.0537297796
        1.3360000000         3.7408000000         0.0000000000        -0.0533483120
        1.6032000000         3.7408000000         0.0000000000        -0.0530869464
        1.8704000000         3.7408000000         0.0000000000        -0.0517741921
        2.1376000000         3.7408000000         0.0000000000        -0.0498202717
        2.4048000000         3.7408000000         0.0000000000        -0.0464498756
        2.6720000000         3.7408000000         0.0000000000        -0.0433888498
        2.9392000000         3.7408000000         0.0000000000        -0.0431702608
        3.2064000000         3.7408000000         0.0000000000        -0.0443405990
        3.4736000000         3.7408000000         0.0000000000        -0.0459044821
        3.7408000000         3.7408000000         0.0000000000        -0.0471387360
        4.0080000000         3.7408000000         0.0000000000        -0.0477800619
        4.2752000000         3.7408000000         0.0000000000        -0.0471387360
        4.5424000000         3.7408000000         0.0000000000        -0.0459044821
        4.8096000000         3.7408000000         0.0000000000        -0.0443405990
        5.0768000000         3.7408000000         0.0000000000        -0.0431702608
        5.3440000000         3.7408000000         0.0000000000        -0.0433888498
        5.6112000000         3.7408000000         0.0000000000        -0.0464498756
        5.8784000000         3.7408000000         0.0000000000        -0.0498202717
        6.1456000000         3.7408000000         0.0000000000        -0.0517741921
        6.4128000000         3.7408000000         0.0000000000        -0.0530869464
