#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000        -3.7725714523
        0.2672000000         0.0000000000         0.0000000000        -3.4813344356
        0.5344000000         0.0000000000         0.0000000000        -2.6990328036
        0.8016000000         0.0000000000         0.0000000000        -1.7028124945
        1.0688000000         0.0000000000         0.0000000000        -0.9493979296
        1.3360000000         0.0000000000         0.0000000000        -0.5520352333
        1.6032000000         0.0000000000         0.0000000000        -0.2436215959
        1.8704000000         0.0000000000         0.0000000000        -0.1113753368
        2.1376000000         0.0000000000         0.0000000000        -0.0973227848
        2.4048000000         0.0000000000         0.0000000000        -0.1076196868
        2.6720000000         0.0000000000         0.0000000000        -0.1099460693
        2.9392000000         0.0000000000         0.0000000000        -0.0996108596
        3.2064000000         0.0000000000         0.0000000000        -0.0825887264
        3.4736000000         0.0000000000         0.0000000000        -0.0673845123
        3.7408000000         0.0000000000         0.0000000000        -0.0600106096
        4.0080000000         0.0000000000         0.0000000000        -0.0573915560
        4.2752000000         0.0000000000         0.0000000000        -0.0600106096
        4.5424000000         0.0000000000         0.0000000000        -0.0673845123
        4.8096000000         0.0000000000         0.0000000000        -0.0825887264
        5.0768000000         0.0000000000         0.0000000000        -0.0996108596
        5.3440000000         0.0000000000         0.0000000000        -0.1099460693
        5.6112000000         0.0000000000         0.0000000000        -0.1076196868
        5.8784000000         0.0000000000         0.0000000000        -0.0973227848
        6.1456000000         0.0000000000         0.0000000000        -0.1113753368
        6.4128000000         0.0000000000         0.0000000000        -0.2436215959
        6.6800000000         0.0000000000         0.0000000000        -0.5520352333
        6.9472000000         0.0000000000         0.0000000000        -0.9493979296
        7.2144000000         0.0000000000         0.0000000000        -1.7028124945
        7.4816000000         0.0000000000         0.0000000000        -2.6990328036
        7.7488000000         0.0000000000         0.0000000000        -3.4813344356
        0.0000000000         0.2672000000         0.0000000000        -3.4813344356
        0.2672000000         0.2672000000         0.0000000000        -3.2034340044
        0.5344000000         0.2672000000         0.0000000000        -2.4631637057
        0.8016000000         0.2672000000         0.0000000000        -1.5505320114
        1.0688000000         0.2672000000         0.0000000000        -0.8917708534
        1.3360000000         0.2672000000         0.0000000000        -0.5179186691
        1.6032000000         0.2672000000         0.0000000000        -0.2253650572
        1.8704000000         0.2672000000         0.0000000000        -0.1082393935
        2.1376000000         0.2672000000         0.0000000000        -0.0978067977
        2.4048000000         0.2672000000         0.0000000000        -0.1082467523
        2.6720000000         0.2672000000         0.0000000000        -0.1096905886
        2.9392000000         0.2672000000         0.0000000000        -0.0988210865
        3.2064000000         0.2672000000         0.0000000000        -0.0815485610
        3.4736000000         0.2672000000         0.0000000000        -0.0667272901
        3.7408000000         0.2672000000         0.0000000000        -0.0601573182
        4.0080000000         0.2672000000         0.0000000000        -0.0581425999
        4.2752000000         0.2672000000         0.0000000000        -0.0601573182
        4.5424000000         0.2672000000         0.0000000000        -0.0667272901
        4.8096000000         0.2672000000         0.0000000000        -0.0815485610
        5.0768000000         0.2672000000         0.0000000000        -0.0988210865
        5.3440000000         0.2672000000         0.0000000000        -0.1096905886
        5.6112000000         0.2672000000         0.0000000000        -0.1082467523
        5.8784000000         0.2672000000         0.0000000000        -0.0978067977
        6.1456000000         0.2672000000         0.0000000000        -0.1082393935
        6.4128000000         0.2672000000         0.0000000000        -0.2253650572
        6.6800000000         0.2672000000         0.0000000000        -0.5179186691
        6.9472000000         0.2672000000         0.0000000000        -0.8917708534
        7.2144000000         0.2672000000         0.0000000000        -1.5505320114
        7.4816000000         0.2672000000         0.0000000000        -2.4631637057
        7.7488000000         0.2672000000         0.0000000000        -3.2034340044
        0.0000000000         0.5344000000         0.0000000000        -2.6990328036
        0.2672000000         0.5344000000         0.0000000000        -2.4631637057
        0.5344000000         0.5344000000         0.0000000000        -1.8666406080
        0.8016000000         0.5344000000         0.0000000000        -1.2003593648
        1.0688000000         0.5344000000         0.0000000000        -0.7394385756
        1.3360000000         0.5344000000         0.0000000000        -0.4131428102
