#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.5488977613
        0.0890666667         0.0000000000         0.0000000000         0.5431581759
        0.1781333333         0.0000000000         0.0000000000         0.5261065066
        0.2672000000         0.0000000000         0.0000000000         0.4983003882
        0.3562666667         0.0000000000         0.0000000000         0.4607647537
        0.4453333333         0.0000000000         0.0000000000         0.4150922004
        0.5344000000         0.0000000000         0.0000000000         0.3634957716
        0.6234666667         0.0000000000         0.0000000000         0.3087343716
        0.7125333333         0.0000000000         0.0000000000         0.2538720583
        0.8016000000         0.0000000000         0.0000000000         0.2018829075
        0.8906666667         0.0000000000         0.0000000000         0.1552037826
        0.9797333333         0.0000000000         0.0000000000         0.1153777759
        1.0688000000         0.0000000000         0.0000000000         0.0829123474
        1.1578666667         0.0000000000         0.0000000000         0.0573905096
        1.2469333333         0.0000000000         0.0000000000         0.0377844589
        1.3360000000         0.0000000000         0.0000000000         0.0228361671
        1.4250666667         0.0000000000         0.0000000000         0.0113722817
        1.5141333333         0.0000000000         0.0000000000         0.0024870167
        1.6032000000         0.0000000000         0.0000000000        -0.0044160243
        1.6922666667         0.0000000000         0.0000000000        -0.0096879216
        1.7813333333         0.0000000000         0.0000000000        -0.0135471252
        1.8704000000         0.0000000000         0.0000000000        -0.0161828279
        1.9594666667         0.0000000000         0.0000000000        -0.0178135058
        2.0485333333         0.0000000000         0.0000000000        -0.0186854435
        2.1376000000         0.0000000000         0.0000000000        -0.0190381652
        2.2266666667         0.0000000000         0.0000000000        -0.0190749234
        2.3157333333         0.0000000000         0.0000000000        -0.0189553637
        2.4048000000         0.0000000000         0.0000000000        -0.0188000741
        2.4938666667         0.0000000000         0.0000000000        -0.0186950697
        2.5829333333         0.0000000000         0.0000000000        -0.0186972167
        2.6720000000         0.0000000000         0.0000000000        -0.0188392040
        2.7610666667         0.0000000000         0.0000000000        -0.0191345848
        2.8501333333         0.0000000000         0.0000000000        -0.0195820206
        2.9392000000         0.0000000000         0.0000000000        -0.0201691038
        3.0282666667         0.0000000000         0.0000000000        -0.0208752965
        3.1173333333         0.0000000000         0.0000000000        -0.0216744174
        3.2064000000         0.0000000000         0.0000000000        -0.0225364510
        3.2954666667         0.0000000000         0.0000000000        -0.0234290984
        3.3845333333         0.0000000000         0.0000000000        -0.0243189863
        3.4736000000         0.0000000000         0.0000000000        -0.0251728829
        3.5626666667         0.0000000000         0.0000000000        -0.0259587859
