#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000        -3.2261207491
        0.2672000000         0.0000000000         0.0000000000        -3.2314810415
        0.5344000000         0.0000000000         0.0000000000        -2.9323262712
        0.8016000000         0.0000000000         0.0000000000        -2.0394196623
        1.0688000000         0.0000000000         0.0000000000        -0.8704489748
        1.3360000000         0.0000000000         0.0000000000        -0.0988872038
        1.6032000000         0.0000000000         0.0000000000        -0.0552657659
        1.8704000000         0.0000000000         0.0000000000        -0.2175810647
        2.1376000000         0.0000000000         0.0000000000        -0.1886370629
        2.4048000000         0.0000000000         0.0000000000        -0.1424062595
        2.6720000000         0.0000000000         0.0000000000        -0.1134525485
        2.9392000000         0.0000000000         0.0000000000        -0.0896707906
        3.2064000000         0.0000000000         0.0000000000        -0.0732697587
        3.4736000000         0.0000000000         0.0000000000        -0.0552565761
        3.7408000000         0.0000000000         0.0000000000        -0.0483927529
        4.0080000000         0.0000000000         0.0000000000        -0.0403018216
        4.2752000000         0.0000000000         0.0000000000        -0.0483927529
        4.5424000000         0.0000000000         0.0000000000        -0.0552565761
        4.8096000000         0.0000000000         0.0000000000        -0.0732697587
        5.0768000000         0.0000000000         0.0000000000        -0.0896707906
        5.3440000000         0.0000000000         0.0000000000        -0.1134525485
        5.6112000000         0.0000000000         0.0000000000        -0.1424062595
        5.8784000000         0.0000000000         0.0000000000        -0.1886370629
        6.1456000000         0.0000000000         0.0000000000        -0.2175810647
        6.4128000000         0.0000000000         0.0000000000        -0.0552657659
        6.6800000000         0.0000000000         0.0000000000        -0.0988872038
        6.9472000000         0.0000000000         0.0000000000        -0.8704489748
        7.2144000000         0.0000000000         0.0000000000        -2.0394196623
        7.4816000000         0.0000000000         0.0000000000        -2.9323262712
        7.7488000000         0.0000000000         0.0000000000        -3.2314810415
        0.0000000000         0.2672000000         0.0000000000        -3.2314810415
        0.2672000000         0.2672000000         0.0000000000        -3.1740333095
        0.5344000000         0.2672000000         0.0000000000        -2.7738572891
        0.8016000000         0.2672000000         0.0000000000        -1.8535648762
        1.0688000000         0.2672000000         0.0000000000        -0.7400920274
        1.3360000000         0.2672000000         0.0000000000        -0.0645922242
        1.6032000000         0.2672000000         0.0000000000        -0.0718557245
        1.8704000000         0.2672000000         0.0000000000        -0.2206261404
        2.1376000000         0.2672000000         0.0000000000        -0.1833997409
        2.4048000000         0.2672000000         0.0000000000        -0.1414016665
        2.6720000000         0.2672000000         0.0000000000        -0.1121407145
