#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.6999712531
        0.2672000000         0.0000000000         0.0000000000         0.6205011808
        0.5344000000         0.0000000000         0.0000000000         0.4235807722
        0.8016000000         0.0000000000         0.0000000000         0.2122629695
        1.0688000000         0.0000000000         0.0000000000         0.0883682824
        1.3360000000         0.0000000000         0.0000000000         0.0391808803
        1.6032000000         0.0000000000         0.0000000000         0.0114867632
        1.8704000000         0.0000000000         0.0000000000         0.0035506473
        2.1376000000         0.0000000000         0.0000000000         0.0029003191
        2.4048000000         0.0000000000         0.0000000000         0.0033725747
        2.6720000000         0.0000000000         0.0000000000         0.0034825195
        2.9392000000         0.0000000000         0.0000000000         0.0030031984
        3.2064000000         0.0000000000         0.0000000000         0.0022672799
        3.4736000000         0.0000000000         0.0000000000         0.0016709526
        3.7408000000         0.0000000000         0.0000000000         0.0014043199
        4.0080000000         0.0000000000         0.0000000000         0.0013133969
        4.2752000000         0.0000000000         0.0000000000         0.0014043199
        4.5424000000         0.0000000000         0.0000000000         0.0016709526
        4.8096000000         0.0000000000         0.0000000000         0.0022672799
        5.0768000000         0.0000000000         0.0000000000         0.0030031984
        5.3440000000         0.0000000000         0.0000000000         0.0034825195
        5.6112000000         0.0000000000         0.0000000000         0.0033725747
        5.8784000000         0.0000000000         0.0000000000         0.0029003191
        6.1456000000         0.0000000000         0.0000000000         0.0035506473
        6.4128000000         0.0000000000         0.0000000000         0.0114867632
        6.6800000000         0.0000000000         0.0000000000         0.0391808803
        6.9472000000         0.0000000000         0.0000000000         0.0883682824
        7.2144000000         0.0000000000         0.0000000000         0.2122629695
        7.4816000000         0.0000000000         0.0000000000         0.4235807722
        7.7488000000         0.0000000000         0.0000000000         0.6205011808
        0.0000000000         0.2672000000         0.0000000000         0.6205011808
        0.2672000000         0.2672000000         0.0000000000         0.5477062103
        0.5344000000         0.2672000000         0.0000000000         0.3692869056
        0.8016000000         0.2672000000         0.0000000000         0.1844357468
        1.0688000000         0.2672000000         0.0000000000         0.0804458980
        1.3360000000         0.2672000000         0.0000000000         0.0356054388
        1.6032000000         0.2672000000         0.0000000000         0.0102200698
        1.8704000000         0.2672000000         0.0000000000         0.0034017471
        2.1376000000         0.2672000000         0.0000000000         0.0029219821
        2.4048000000         0.2672000000         0.0000000000         0.0034020940
        2.6720000000         0.2672000000         0.0000000000         0.0034703881
        2.9392000000         0.2672000000         0.0000000000         0.0029675526
        3.2064000000         0.2672000000         0.0000000000         0.0022245821
        3.4736000000         0.2672000000         0.0000000000         0.0016465663
        3.7408000000         0.2672000000         0.0000000000         0.0014094728
        4.0080000000         0.2672000000         0.0000000000         0.0013392624
        4.2752000000         0.2672000000         0.0000000000         0.0014094728
        4.5424000000         0.2672000000         0.0000000000         0.0016465663
        4.8096000000         0.2672000000         0.0000000000         0.0022245821
        5.0768000000         0.2672000000         0.0000000000         0.0029675526
        5.3440000000         0.2672000000         0.0000000000         0.0034703881
        5.6112000000         0.2672000000         0.0000000000         0.0034020940
        5.8784000000         0.2672000000         0.0000000000         0.0029219821
        6.1456000000         0.2672000000         0.0000000000         0.0034017471
        6.4128000000         0.2672000000         0.0000000000         0.0102200698
        6.6800000000         0.2672000000         0.0000000000         0.0356054388
        6.9472000000         0.2672000000         0.0000000000         0.0804458980
        7.2144000000         0.2672000000         0.0000000000         0.1844357468
        7.4816000000         0.2672000000         0.0000000000         0.3692869056
        7.7488000000         0.2672000000         0.0000000000         0.5477062103
        0.0000000000         0.5344000000         0.0000000000         0.4235807722
        0.2672000000         0.5344000000         0.0000000000         0.3692869056
        0.5344000000         0.5344000000         0.0000000000         0.2436211885
        0.8016000000         0.5344000000         0.0000000000         0.1256292945
        1.0688000000         0.5344000000         0.0000000000         0.0607403302
        1.3360000000         0.5344000000         0.0000000000         0.0253673028
        1.6032000000         0.5344000000         0.0000000000         0.0072332313
        1.8704000000         0.5344000000         0.0000000000         0.0030943491
        2.1376000000         0.5344000000         0.0000000000         0.0029998991
        2.4048000000         0.5344000000         0.0000000000         0.0034626588
        2.6720000000         0.5344000000         0.0000000000         0.0034158005
        2.9392000000         0.5344000000         0.0000000000         0.0028399108
        3.2064000000         0.5344000000         0.0000000000         0.0020998383
        3.4736000000         0.5344000000         0.0000000000         0.0015897549
        3.7408000000         0.5344000000         0.0000000000         0.0014222413
        4.0080000000         0.5344000000         0.0000000000         0.0013916053
        4.2752000000         0.5344000000         0.0000000000         0.0014222413
        4.5424000000         0.5344000000         0.0000000000         0.0015897549
        4.8096000000         0.5344000000         0.0000000000         0.0020998383
        5.0768000000         0.5344000000         0.0000000000         0.0028399108
        5.3440000000         0.5344000000         0.0000000000         0.0034158005
        5.6112000000         0.5344000000         0.0000000000         0.0034626588
        5.8784000000         0.5344000000         0.0000000000         0.0029998991
        6.1456000000         0.5344000000         0.0000000000         0.0030943491
        6.4128000000         0.5344000000         0.0000000000         0.0072332313
        6.6800000000         0.5344000000         0.0000000000         0.0253673028
        6.9472000000         0.5344000000         0.0000000000         0.0607403302
        7.2144000000         0.5344000000         0.0000000000         0.1256292945
        7.4816000000         0.5344000000         0.0000000000         0.2436211885
        7.7488000000         0.5344000000         0.0000000000         0.3692869056
        0.0000000000         0.8016000000         0.0000000000         0.2122629695
        0.2672000000         0.8016000000         0.0000000000         0.1844357468
        0.5344000000         0.8016000000         0.0000000000         0.1256292945
        0.8016000000         0.8016000000         0.0000000000         0.0736808292
        1.0688000000         0.8016000000         0.0000000000         0.0390677930
        1.3360000000         0.8016000000         0.0000000000         0.0142438676
        1.6032000000         0.8016000000         0.0000000000         0.0044630472
        1.8704000000         0.8016000000         0.0000000000         0.0028510717
        2.1376000000         0.8016000000         0.0000000000         0.0031294307
        2.4048000000         0.8016000000         0.0000000000         0.0034922953
        2.6720000000         0.8016000000         0.0000000000         0.0032724871
        2.9392000000         0.8016000000         0.0000000000         0.0025938225
        3.2064000000         0.8016000000         0.0000000000         0.0018847636
        3.4736000000         0.8016000000         0.0000000000         0.0014921331
        3.7408000000         0.8016000000         0.0000000000         0.0014294128
        4.0080000000         0.8016000000         0.0000000000         0.0014458707
        4.2752000000         0.8016000000         0.0000000000         0.0014294128
        4.5424000000         0.8016000000         0.0000000000         0.0014921331
        4.8096000000         0.8016000000         0.0000000000         0.0018847636
        5.0768000000         0.8016000000         0.0000000000         0.0025938225
        5.3440000000         0.8016000000         0.0000000000         0.0032724871
        5.6112000000         0.8016000000         0.0000000000         0.0034922953
        5.8784000000         0.8016000000         0.0000000000         0.0031294307
        6.1456000000         0.8016000000         0.0000000000         0.0028510717
        6.4128000000         0.8016000000         0.0000000000         0.0044630472
        6.6800000000         0.8016000000         0.0000000000         0.0142438676
        6.9472000000         0.8016000000         0.0000000000         0.0390677930
        7.2144000000         0.8016000000         0.0000000000         0.0736808292
        7.4816000000         0.8016000000         0.0000000000         0.1256292945
        7.7488000000         0.8016000000         0.0000000000         0.1844357468
        0.0000000000         1.0688000000         0.0000000000         0.0883682824
        0.2672000000         1.0688000000         0.0000000000         0.0804458980
        0.5344000000         1.0688000000         0.0000000000         0.0607403302
        0.8016000000         1.0688000000         0.0000000000         0.0390677930
        1.0688000000         1.0688000000         0.0000000000         0.0177139222
        1.3360000000         1.0688000000         0.0000000000         0.0063673396
        1.6032000000         1.0688000000         0.0000000000         0.0030490422
        1.8704000000         1.0688000000         0.0000000000         0.0028371341
        2.1376000000         1.0688000000         0.0000000000         0.0033097508
        2.4048000000         1.0688000000         0.0000000000         0.0034529202
        2.6720000000         1.0688000000         0.0000000000         0.0030184600
        2.9392000000         1.0688000000         0.0000000000         0.0022467146
        3.2064000000         1.0688000000         0.0000000000         0.0015917798
        3.4736000000         1.0688000000         0.0000000000         0.0013537721
        3.7408000000         1.0688000000         0.0000000000         0.0014134421
        4.0080000000         1.0688000000         0.0000000000         0.0014817911
        4.2752000000         1.0688000000         0.0000000000         0.0014134421
        4.5424000000         1.0688000000         0.0000000000         0.0013537721
        4.8096000000         1.0688000000         0.0000000000         0.0015917798
        5.0768000000         1.0688000000         0.0000000000         0.0022467146
        5.3440000000         1.0688000000         0.0000000000         0.0030184600
        5.6112000000         1.0688000000         0.0000000000         0.0034529202
        5.8784000000         1.0688000000         0.0000000000         0.0033097508
        6.1456000000         1.0688000000         0.0000000000         0.0028371341
        6.4128000000         1.0688000000         0.0000000000         0.0030490422
        6.6800000000         1.0688000000         0.0000000000         0.0063673396
        6.9472000000         1.0688000000         0.0000000000         0.0177139222
        7.2144000000         1.0688000000         0.0000000000         0.0390677930
        7.4816000000         1.0688000000         0.0000000000         0.0607403302
        7.7488000000         1.0688000000         0.0000000000         0.0804458980
        0.0000000000         1.3360000000         0.0000000000         0.0391808803
        0.2672000000         1.3360000000         0.0000000000         0.0356054388
        0.5344000000         1.3360000000         0.0000000000         0.0253673028
        0.8016000000         1.3360000000         0.0000000000         0.0142438676
        1.0688000000         1.3360000000         0.0000000000         0.0063673396
        1.3360000000         1.3360000000         0.0000000000         0.0032269764
        1.6032000000         1.3360000000         0.0000000000         0.0027187170
        1.8704000000         1.3360000000         0.0000000000         0.0030840711
        2.1376000000         1.3360000000         0.0000000000         0.0034532050
        2.4048000000         1.3360000000         0.0000000000         0.0033089615
        2.6720000000         1.3360000000         0.0000000000         0.0026526678
        2.9392000000         1.3360000000         0.0000000000         0.0018276746
        3.2064000000         1.3360000000         0.0000000000         0.0012757389
        3.4736000000         1.3360000000         0.0000000000         0.0011947173
        3.7408000000         1.3360000000         0.0000000000         0.0013579188
        4.0080000000         1.3360000000         0.0000000000         0.0014705436
        4.2752000000         1.3360000000         0.0000000000         0.0013579188
        4.5424000000         1.3360000000         0.0000000000         0.0011947173
        4.8096000000         1.3360000000         0.0000000000         0.0012757389
        5.0768000000         1.3360000000         0.0000000000         0.0018276746
        5.3440000000         1.3360000000         0.0000000000         0.0026526678
        5.6112000000         1.3360000000         0.0000000000         0.0033089615
        5.8784000000         1.3360000000         0.0000000000         0.0034532050
        6.1456000000         1.3360000000         0.0000000000         0.0030840711
        6.4128000000         1.3360000000         0.0000000000         0.0027187170
        6.6800000000         1.3360000000         0.0000000000         0.0032269764
        6.9472000000         1.3360000000         0.0000000000         0.0063673396
        7.2144000000         1.3360000000         0.0000000000         0.0142438676
        7.4816000000         1.3360000000         0.0000000000         0.0253673028
        7.7488000000         1.3360000000         0.0000000000         0.0356054388
        0.0000000000         1.6032000000         0.0000000000         0.0114867632
        0.2672000000         1.6032000000         0.0000000000         0.0102200698
        0.5344000000         1.6032000000         0.0000000000         0.0072332313
        0.8016000000         1.6032000000         0.0000000000         0.0044630472
        1.0688000000         1.6032000000         0.0000000000         0.0030490422
        1.3360000000         1.6032000000         0.0000000000         0.0027187170
        1.6032000000         1.6032000000         0.0000000000         0.0029910965
        1.8704000000         1.6032000000         0.0000000000         0.0034033081
        2.1376000000         1.6032000000         0.0000000000         0.0034600806
        2.4048000000         1.6032000000         0.0000000000         0.0030223100
        2.6720000000         1.6032000000         0.0000000000         0.0022086553
        2.9392000000         1.6032000000         0.0000000000         0.0014037956
        3.2064000000         1.6032000000         0.0000000000         0.0010090551
        3.4736000000         1.6032000000         0.0000000000         0.0010505684
        3.7408000000         1.6032000000         0.0000000000         0.0012785793
        4.0080000000         1.6032000000         0.0000000000         0.0014088128
        4.2752000000         1.6032000000         0.0000000000         0.0012785793
        4.5424000000         1.6032000000         0.0000000000         0.0010505684
        4.8096000000         1.6032000000         0.0000000000         0.0010090551
        5.0768000000         1.6032000000         0.0000000000         0.0014037956
        5.3440000000         1.6032000000         0.0000000000         0.0022086553
        5.6112000000         1.6032000000         0.0000000000         0.0030223100
        5.8784000000         1.6032000000         0.0000000000         0.0034600806
        6.1456000000         1.6032000000         0.0000000000         0.0034033081
        6.4128000000         1.6032000000         0.0000000000         0.0029910965
        6.6800000000         1.6032000000         0.0000000000         0.0027187170
        6.9472000000         1.6032000000         0.0000000000         0.0030490422
        7.2144000000         1.6032000000         0.0000000000         0.0044630472
        7.4816000000         1.6032000000         0.0000000000         0.0072332313
        7.7488000000         1.6032000000         0.0000000000         0.0102200698
