#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.6273071458
        0.2672000000         0.0000000000         0.0000000000         0.5698528509
        0.5344000000         0.0000000000         0.0000000000         0.4085906362
        0.8016000000         0.0000000000         0.0000000000         0.2015123083
        1.0688000000         0.0000000000         0.0000000000         0.0759451218
        1.3360000000         0.0000000000         0.0000000000         0.0127003343
        1.6032000000         0.0000000000         0.0000000000         0.0054498471
        1.8704000000         0.0000000000         0.0000000000         0.0128408471
        2.1376000000         0.0000000000         0.0000000000         0.0089338888
        2.4048000000         0.0000000000         0.0000000000         0.0062678480
        2.6720000000         0.0000000000         0.0000000000         0.0048642399
        2.9392000000         0.0000000000         0.0000000000         0.0038860475
        3.2064000000         0.0000000000         0.0000000000         0.0031437367
        3.4736000000         0.0000000000         0.0000000000         0.0025056661
        3.7408000000         0.0000000000         0.0000000000         0.0022702827
        4.0080000000         0.0000000000         0.0000000000         0.0021105299
        4.2752000000         0.0000000000         0.0000000000         0.0022702827
        4.5424000000         0.0000000000         0.0000000000         0.0025056661
        4.8096000000         0.0000000000         0.0000000000         0.0031437367
        5.0768000000         0.0000000000         0.0000000000         0.0038860475
        5.3440000000         0.0000000000         0.0000000000         0.0048642399
        5.6112000000         0.0000000000         0.0000000000         0.0062678480
        5.8784000000         0.0000000000         0.0000000000         0.0089338888
        6.1456000000         0.0000000000         0.0000000000         0.0128408471
        6.4128000000         0.0000000000         0.0000000000         0.0054498471
        6.6800000000         0.0000000000         0.0000000000         0.0127003343
        6.9472000000         0.0000000000         0.0000000000         0.0759451218
        7.2144000000         0.0000000000         0.0000000000         0.2015123083
        7.4816000000         0.0000000000         0.0000000000         0.4085906362
        7.7488000000         0.0000000000         0.0000000000         0.5698528509
        0.0000000000         0.2672000000         0.0000000000         0.5698528509
        0.2672000000         0.2672000000         0.0000000000         0.5142541323
        0.5344000000         0.2672000000         0.0000000000         0.3596333683
        0.8016000000         0.2672000000         0.0000000000         0.1742156519
        1.0688000000         0.2672000000         0.0000000000         0.0672274507
        1.3360000000         0.2672000000         0.0000000000         0.0078353712
        1.6032000000         0.2672000000         0.0000000000         0.0074332440
        1.8704000000         0.2672000000         0.0000000000         0.0126626448
        2.1376000000         0.2672000000         0.0000000000         0.0086764681
        2.4048000000         0.2672000000         0.0000000000         0.0061653445
        2.6720000000         0.2672000000         0.0000000000         0.0047910933
        2.9392000000         0.2672000000         0.0000000000         0.0038077066
        3.2064000000         0.2672000000         0.0000000000         0.0030770703
        3.4736000000         0.2672000000         0.0000000000         0.0024789964
        3.7408000000         0.2672000000         0.0000000000         0.0022718328
        4.0080000000         0.2672000000         0.0000000000         0.0021379240
        4.2752000000         0.2672000000         0.0000000000         0.0022718328
        4.5424000000         0.2672000000         0.0000000000         0.0024789964
        4.8096000000         0.2672000000         0.0000000000         0.0030770703
        5.0768000000         0.2672000000         0.0000000000         0.0038077066
        5.3440000000         0.2672000000         0.0000000000         0.0047910933
        5.6112000000         0.2672000000         0.0000000000         0.0061653445
        5.8784000000         0.2672000000         0.0000000000         0.0086764681
        6.1456000000         0.2672000000         0.0000000000         0.0126626448
