#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.5454041268
        0.2672000000         0.0000000000         0.0000000000         0.4964583723
        0.5344000000         0.0000000000         0.0000000000         0.3516790165
        0.8016000000         0.0000000000         0.0000000000         0.1965826540
        1.0688000000         0.0000000000         0.0000000000         0.0910258710
        1.3360000000         0.0000000000         0.0000000000         0.0393811153
        1.6032000000         0.0000000000         0.0000000000         0.0119159258
        1.8704000000         0.0000000000         0.0000000000         0.0025269210
        2.1376000000         0.0000000000         0.0000000000         0.0022213412
        2.4048000000         0.0000000000         0.0000000000         0.0032151384
        2.6720000000         0.0000000000         0.0000000000         0.0034258134
        2.9392000000         0.0000000000         0.0000000000         0.0027957731
        3.2064000000         0.0000000000         0.0000000000         0.0019844243
        3.4736000000         0.0000000000         0.0000000000         0.0014631477
        3.7408000000         0.0000000000         0.0000000000         0.0012756672
        4.0080000000         0.0000000000         0.0000000000         0.0012619272
        4.2752000000         0.0000000000         0.0000000000         0.0012756672
        4.5424000000         0.0000000000         0.0000000000         0.0014631477
        4.8096000000         0.0000000000         0.0000000000         0.0019844243
        5.0768000000         0.0000000000         0.0000000000         0.0027957731
        5.3440000000         0.0000000000         0.0000000000         0.0034258134
        5.6112000000         0.0000000000         0.0000000000         0.0032151384
        5.8784000000         0.0000000000         0.0000000000         0.0022213412
        6.1456000000         0.0000000000         0.0000000000         0.0025269210
        6.4128000000         0.0000000000         0.0000000000         0.0119159258
        6.6800000000         0.0000000000         0.0000000000         0.0393811153
        6.9472000000         0.0000000000         0.0000000000         0.0910258710
        7.2144000000         0.0000000000         0.0000000000         0.1965826540
        7.4816000000         0.0000000000         0.0000000000         0.3516790165
        7.7488000000         0.0000000000         0.0000000000         0.4964583723
        0.0000000000         0.2672000000         0.0000000000         0.4964583723
        0.2672000000         0.2672000000         0.0000000000         0.4458565518
        0.5344000000         0.2672000000         0.0000000000         0.3122739494
        0.8016000000         0.2672000000         0.0000000000         0.1730990393
        1.0688000000         0.2672000000         0.0000000000         0.0833657753
        1.3360000000         0.2672000000         0.0000000000         0.0359817843
        1.6032000000         0.2672000000         0.0000000000         0.0103934687
        1.8704000000         0.2672000000         0.0000000000         0.0023515405
        2.1376000000         0.2672000000         0.0000000000         0.0022927132
        2.4048000000         0.2672000000         0.0000000000         0.0032705446
        2.6720000000         0.2672000000         0.0000000000         0.0034130414
        2.9392000000         0.2672000000         0.0000000000         0.0027464718
        3.2064000000         0.2672000000         0.0000000000         0.0019430247
        3.4736000000         0.2672000000         0.0000000000         0.0014465058
        3.7408000000         0.2672000000         0.0000000000         0.0012799740
        4.0080000000         0.2672000000         0.0000000000         0.0012706284
        4.2752000000         0.2672000000         0.0000000000         0.0012799740
        4.5424000000         0.2672000000         0.0000000000         0.0014465058
        4.8096000000         0.2672000000         0.0000000000         0.0019430247
        5.0768000000         0.2672000000         0.0000000000         0.0027464718
        5.3440000000         0.2672000000         0.0000000000         0.0034130414
        5.6112000000         0.2672000000         0.0000000000         0.0032705446
        5.8784000000         0.2672000000         0.0000000000         0.0022927132
        6.1456000000         0.2672000000         0.0000000000         0.0023515405
        6.4128000000         0.2672000000         0.0000000000         0.0103934687
        6.6800000000         0.2672000000         0.0000000000         0.0359817843
        6.9472000000         0.2672000000         0.0000000000         0.0833657753
        7.2144000000         0.2672000000         0.0000000000         0.1730990393
        7.4816000000         0.2672000000         0.0000000000         0.3122739494
        7.7488000000         0.2672000000         0.0000000000         0.4458565518
        0.0000000000         0.5344000000         0.0000000000         0.3516790165
        0.2672000000         0.5344000000         0.0000000000         0.3122739494
        0.5344000000         0.5344000000         0.0000000000         0.2228826686
        0.8016000000         0.5344000000         0.0000000000         0.1269909241
        1.0688000000         0.5344000000         0.0000000000         0.0622853163
        1.3360000000         0.5344000000         0.0000000000         0.0271560261
        1.6032000000         0.5344000000         0.0000000000         0.0069922794
        1.8704000000         0.5344000000         0.0000000000         0.0020239769
        2.1376000000         0.5344000000         0.0000000000         0.0024994753
        2.4048000000         0.5344000000         0.0000000000         0.0033910486
        2.6720000000         0.5344000000         0.0000000000         0.0033433611
        2.9392000000         0.5344000000         0.0000000000         0.0026052701
        3.2064000000         0.5344000000         0.0000000000         0.0018306927
        3.4736000000         0.5344000000         0.0000000000         0.0014139488
        3.7408000000         0.5344000000         0.0000000000         0.0013203953
        4.0080000000         0.5344000000         0.0000000000         0.0013356995
        4.2752000000         0.5344000000         0.0000000000         0.0013203953
        4.5424000000         0.5344000000         0.0000000000         0.0014139488
        4.8096000000         0.5344000000         0.0000000000         0.0018306927
        5.0768000000         0.5344000000         0.0000000000         0.0026052701
        5.3440000000         0.5344000000         0.0000000000         0.0033433611
        5.6112000000         0.5344000000         0.0000000000         0.0033910486
        5.8784000000         0.5344000000         0.0000000000         0.0024994753
        6.1456000000         0.5344000000         0.0000000000         0.0020239769
        6.4128000000         0.5344000000         0.0000000000         0.0069922794
        6.6800000000         0.5344000000         0.0000000000         0.0271560261
        6.9472000000         0.5344000000         0.0000000000         0.0622853163
        7.2144000000         0.5344000000         0.0000000000         0.1269909241
        7.4816000000         0.5344000000         0.0000000000         0.2228826686
        7.7488000000         0.5344000000         0.0000000000         0.3122739494
        0.0000000000         0.8016000000         0.0000000000         0.1965826540
        0.2672000000         0.8016000000         0.0000000000         0.1730990393
        0.5344000000         0.8016000000         0.0000000000         0.1269909241
        0.8016000000         0.8016000000         0.0000000000         0.0765822212
        1.0688000000         0.8016000000         0.0000000000         0.0392695593
        1.3360000000         0.8016000000         0.0000000000         0.0153785271
        1.6032000000         0.8016000000         0.0000000000         0.0036955109
        1.8704000000         0.8016000000         0.0000000000         0.0019024302
        2.1376000000         0.8016000000         0.0000000000         0.0027973485
        2.4048000000         0.8016000000         0.0000000000         0.0034695029
        2.6720000000         0.8016000000         0.0000000000         0.0031633995
        2.9392000000         0.8016000000         0.0000000000         0.0023541104
        3.2064000000         0.8016000000         0.0000000000         0.0016413685
        3.4736000000         0.8016000000         0.0000000000         0.0013516264
        3.7408000000         0.8016000000         0.0000000000         0.0013704882
        4.0080000000         0.8016000000         0.0000000000         0.0014254236
        4.2752000000         0.8016000000         0.0000000000         0.0013704882
        4.5424000000         0.8016000000         0.0000000000         0.0013516264
        4.8096000000         0.8016000000         0.0000000000         0.0016413685
        5.0768000000         0.8016000000         0.0000000000         0.0023541104
        5.3440000000         0.8016000000         0.0000000000         0.0031633995
        5.6112000000         0.8016000000         0.0000000000         0.0034695029
        5.8784000000         0.8016000000         0.0000000000         0.0027973485
        6.1456000000         0.8016000000         0.0000000000         0.0019024302
        6.4128000000         0.8016000000         0.0000000000         0.0036955109
        6.6800000000         0.8016000000         0.0000000000         0.0153785271
        6.9472000000         0.8016000000         0.0000000000         0.0392695593
        7.2144000000         0.8016000000         0.0000000000         0.0765822212
        7.4816000000         0.8016000000         0.0000000000         0.1269909241
        7.7488000000         0.8016000000         0.0000000000         0.1730990393
        0.0000000000         1.0688000000         0.0000000000         0.0910258710
        0.2672000000         1.0688000000         0.0000000000         0.0833657753
        0.5344000000         1.0688000000         0.0000000000         0.0622853163
        0.8016000000         1.0688000000         0.0000000000         0.0392695593
        1.0688000000         1.0688000000         0.0000000000         0.0195597302
        1.3360000000         1.0688000000         0.0000000000         0.0060046879
        1.6032000000         1.0688000000         0.0000000000         0.0019325406
        1.8704000000         1.0688000000         0.0000000000         0.0021936627
        2.1376000000         1.0688000000         0.0000000000         0.0031603690
        2.4048000000         1.0688000000         0.0000000000         0.0034415099
        2.6720000000         1.0688000000         0.0000000000         0.0028631481
        2.9392000000         1.0688000000         0.0000000000         0.0020008592
