#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.6172547811
        0.2672000000         0.0000000000         0.0000000000         0.5685997591
        0.5344000000         0.0000000000         0.0000000000         0.4150046884
        0.8016000000         0.0000000000         0.0000000000         0.2039522389
        1.0688000000         0.0000000000         0.0000000000         0.0766473157
        1.3360000000         0.0000000000         0.0000000000         0.0099633491
        1.6032000000         0.0000000000         0.0000000000         0.0041115088
        1.8704000000         0.0000000000         0.0000000000         0.0126964694
        2.1376000000         0.0000000000         0.0000000000         0.0092039307
        2.4048000000         0.0000000000         0.0000000000         0.0063698309
        2.6720000000         0.0000000000         0.0000000000         0.0048403970
        2.9392000000         0.0000000000         0.0000000000         0.0037574132
        3.2064000000         0.0000000000         0.0000000000         0.0027916292
        3.4736000000         0.0000000000         0.0000000000         0.0022063984
        3.7408000000         0.0000000000         0.0000000000         0.0020226203
        4.0080000000         0.0000000000         0.0000000000         0.0018711641
        4.2752000000         0.0000000000         0.0000000000         0.0020226203
        4.5424000000         0.0000000000         0.0000000000         0.0022063984
        4.8096000000         0.0000000000         0.0000000000         0.0027916292
        5.0768000000         0.0000000000         0.0000000000         0.0037574132
        5.3440000000         0.0000000000         0.0000000000         0.0048403970
        5.6112000000         0.0000000000         0.0000000000         0.0063698309
        5.8784000000         0.0000000000         0.0000000000         0.0092039307
        6.1456000000         0.0000000000         0.0000000000         0.0126964694
        6.4128000000         0.0000000000         0.0000000000         0.0041115088
        6.6800000000         0.0000000000         0.0000000000         0.0099633491
        6.9472000000         0.0000000000         0.0000000000         0.0766473157
        7.2144000000         0.0000000000         0.0000000000         0.2039522389
        7.4816000000         0.0000000000         0.0000000000         0.4150046884
        7.7488000000         0.0000000000         0.0000000000         0.5685997591
        0.0000000000         0.2672000000         0.0000000000         0.5685997591
        0.2672000000         0.2672000000         0.0000000000         0.5180630136
        0.5344000000         0.2672000000         0.0000000000         0.3653429211
        0.8016000000         0.2672000000         0.0000000000         0.1752704856
        1.0688000000         0.2672000000         0.0000000000         0.0665904411
        1.3360000000         0.2672000000         0.0000000000         0.0055359849
        1.6032000000         0.2672000000         0.0000000000         0.0055148918
        1.8704000000         0.2672000000         0.0000000000         0.0125148326
        2.1376000000         0.2672000000         0.0000000000         0.0089705255
        2.4048000000         0.2672000000         0.0000000000         0.0062630513
        2.6720000000         0.2672000000         0.0000000000         0.0047627109
        2.9392000000         0.2672000000         0.0000000000         0.0036663313
        3.2064000000         0.2672000000         0.0000000000         0.0027175619
        3.4736000000         0.2672000000         0.0000000000         0.0021886284
        3.7408000000         0.2672000000         0.0000000000         0.0020266418
        4.0080000000         0.2672000000         0.0000000000         0.0019050733
        4.2752000000         0.2672000000         0.0000000000         0.0020266418
        4.5424000000         0.2672000000         0.0000000000         0.0021886284
        4.8096000000         0.2672000000         0.0000000000         0.0027175619
        5.0768000000         0.2672000000         0.0000000000         0.0036663313
        5.3440000000         0.2672000000         0.0000000000         0.0047627109
        5.6112000000         0.2672000000         0.0000000000         0.0062630513
        5.8784000000         0.2672000000         0.0000000000         0.0089705255
        6.1456000000         0.2672000000         0.0000000000         0.0125148326
        6.4128000000         0.2672000000         0.0000000000         0.0055148918
        6.6800000000         0.2672000000         0.0000000000         0.0055359849
        6.9472000000         0.2672000000         0.0000000000         0.0665904411
        7.2144000000         0.2672000000         0.0000000000         0.1752704856
        7.4816000000         0.2672000000         0.0000000000         0.3653429211
        7.7488000000         0.2672000000         0.0000000000         0.5180630136
        0.0000000000         0.5344000000         0.0000000000         0.4150046884
        0.2672000000         0.5344000000         0.0000000000         0.3653429211
        0.5344000000         0.5344000000         0.0000000000         0.2374420449
        0.8016000000         0.5344000000         0.0000000000         0.1136955990
        1.0688000000         0.5344000000         0.0000000000         0.0414715674
        1.3360000000         0.5344000000         0.0000000000         0.0011381600
        1.6032000000         0.5344000000         0.0000000000         0.0095725183
        1.8704000000         0.5344000000         0.0000000000         0.0118650367
        2.1376000000         0.5344000000         0.0000000000         0.0083455430
        2.4048000000         0.5344000000         0.0000000000         0.0059456677
        2.6720000000         0.5344000000         0.0000000000         0.0045271495
        2.9392000000         0.5344000000         0.0000000000         0.0034785279
        3.2064000000         0.5344000000         0.0000000000         0.0025966233
        3.4736000000         0.5344000000         0.0000000000         0.0021332400
        3.7408000000         0.5344000000         0.0000000000         0.0019728449
        4.0080000000         0.5344000000         0.0000000000         0.0018847657
        4.2752000000         0.5344000000         0.0000000000         0.0019728449
        4.5424000000         0.5344000000         0.0000000000         0.0021332400
        4.8096000000         0.5344000000         0.0000000000         0.0025966233
        5.0768000000         0.5344000000         0.0000000000         0.0034785279
        5.3440000000         0.5344000000         0.0000000000         0.0045271495
        5.6112000000         0.5344000000         0.0000000000         0.0059456677
        5.8784000000         0.5344000000         0.0000000000         0.0083455430
        6.1456000000         0.5344000000         0.0000000000         0.0118650367
        6.4128000000         0.5344000000         0.0000000000         0.0095725183
        6.6800000000         0.5344000000         0.0000000000         0.0011381600
        6.9472000000         0.5344000000         0.0000000000         0.0414715674
        7.2144000000         0.5344000000         0.0000000000         0.1136955990
        7.4816000000         0.5344000000         0.0000000000         0.2374420449
        7.7488000000         0.5344000000         0.0000000000         0.3653429211
        0.0000000000         0.8016000000         0.0000000000         0.2039522389
        0.2672000000         0.8016000000         0.0000000000         0.1752704856
        0.5344000000         0.8016000000         0.0000000000         0.1136955990
        0.8016000000         0.8016000000         0.0000000000         0.0577198333
        1.0688000000         0.8016000000         0.0000000000         0.0098735508
        1.3360000000         0.8016000000         0.0000000000         0.0023120821
        1.6032000000         0.8016000000         0.0000000000         0.0127726007
        1.8704000000         0.8016000000         0.0000000000         0.0106113418
        2.1376000000         0.8016000000         0.0000000000         0.0074042239
        2.4048000000         0.8016000000         0.0000000000         0.0054406634
        2.6720000000         0.8016000000         0.0000000000         0.0041640180
        2.9392000000         0.8016000000         0.0000000000         0.0032430515
        3.2064000000         0.8016000000         0.0000000000         0.0024318562
        3.4736000000         0.8016000000         0.0000000000         0.0020591208
        3.7408000000         0.8016000000         0.0000000000         0.0018938888
        4.0080000000         0.8016000000         0.0000000000         0.0018237047
        4.2752000000         0.8016000000         0.0000000000         0.0018938888
        4.5424000000         0.8016000000         0.0000000000         0.0020591208
        4.8096000000         0.8016000000         0.0000000000         0.0024318562
        5.0768000000         0.8016000000         0.0000000000         0.0032430515
        5.3440000000         0.8016000000         0.0000000000         0.0041640180
        5.6112000000         0.8016000000         0.0000000000         0.0054406634
        5.8784000000         0.8016000000         0.0000000000         0.0074042239
        6.1456000000         0.8016000000         0.0000000000         0.0106113418
        6.4128000000         0.8016000000         0.0000000000         0.0127726007
        6.6800000000         0.8016000000         0.0000000000         0.0023120821
        6.9472000000         0.8016000000         0.0000000000         0.0098735508
        7.2144000000         0.8016000000         0.0000000000         0.0577198333
        7.4816000000         0.8016000000         0.0000000000         0.1136955990
        7.7488000000         0.8016000000         0.0000000000         0.1752704856
        0.0000000000         1.0688000000         0.0000000000         0.0766473157
        0.2672000000         1.0688000000         0.0000000000         0.0665904411
        0.5344000000         1.0688000000         0.0000000000         0.0414715674
        0.8016000000         1.0688000000         0.0000000000         0.0098735508
        1.0688000000         1.0688000000         0.0000000000         0.0010631267
        1.3360000000         1.0688000000         0.0000000000         0.0104223376
        1.6032000000         1.0688000000         0.0000000000         0.0121495547
        1.8704000000         1.0688000000         0.0000000000         0.0089537927
        2.1376000000         1.0688000000         0.0000000000         0.0063449049
        2.4048000000         1.0688000000         0.0000000000         0.0048220554
        2.6720000000         1.0688000000         0.0000000000         0.0037217320
        2.9392000000         1.0688000000         0.0000000000         0.0028527109
        3.2064000000         1.0688000000         0.0000000000         0.0022220700
        3.4736000000         1.0688000000         0.0000000000         0.0019654428
        3.7408000000         1.0688000000         0.0000000000         0.0018135295
        4.0080000000         1.0688000000         0.0000000000         0.0017633540
        4.2752000000         1.0688000000         0.0000000000         0.0018135295
        4.5424000000         1.0688000000         0.0000000000         0.0019654428
        4.8096000000         1.0688000000         0.0000000000         0.0022220700
        5.0768000000         1.0688000000         0.0000000000         0.0028527109
        5.3440000000         1.0688000000         0.0000000000         0.0037217320
        5.6112000000         1.0688000000         0.0000000000         0.0048220554
        5.8784000000         1.0688000000         0.0000000000         0.0063449049
        6.1456000000         1.0688000000         0.0000000000         0.0089537927
        6.4128000000         1.0688000000         0.0000000000         0.0121495547
        6.6800000000         1.0688000000         0.0000000000         0.0104223376
