#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000        -4.0573430125
        0.2672000000         0.0000000000         0.0000000000        -3.6869168708
        0.5344000000         0.0000000000         0.0000000000        -2.7793288998
        0.8016000000         0.0000000000         0.0000000000        -1.7697271550
        1.0688000000         0.0000000000         0.0000000000        -0.9939602527
        1.3360000000         0.0000000000         0.0000000000        -0.5324408350
        1.6032000000         0.0000000000         0.0000000000        -0.2966371150
        1.8704000000         0.0000000000         0.0000000000        -0.1764901548
        2.1376000000         0.0000000000         0.0000000000        -0.1075017177
        2.4048000000         0.0000000000         0.0000000000        -0.0649456132
        2.6720000000         0.0000000000         0.0000000000        -0.0395861575
        2.9392000000         0.0000000000         0.0000000000        -0.0248065384
        3.2064000000         0.0000000000         0.0000000000        -0.0156897314
        3.4736000000         0.0000000000         0.0000000000        -0.0100051842
        3.7408000000         0.0000000000         0.0000000000        -0.0070373858
        4.0080000000         0.0000000000         0.0000000000        -0.0061752613
        4.2752000000         0.0000000000         0.0000000000        -0.0070373858
        4.5424000000         0.0000000000         0.0000000000        -0.0100051842
        4.8096000000         0.0000000000         0.0000000000        -0.0156897314
        5.0768000000         0.0000000000         0.0000000000        -0.0248065384
        5.3440000000         0.0000000000         0.0000000000        -0.0395861575
        5.6112000000         0.0000000000         0.0000000000        -0.0649456132
        5.8784000000         0.0000000000         0.0000000000        -0.1075017177
        6.1456000000         0.0000000000         0.0000000000        -0.1764901548
        6.4128000000         0.0000000000         0.0000000000        -0.2966371150
        6.6800000000         0.0000000000         0.0000000000        -0.5324408350
        6.9472000000         0.0000000000         0.0000000000        -0.9939602527
        7.2144000000         0.0000000000         0.0000000000        -1.7697271550
        7.4816000000         0.0000000000         0.0000000000        -2.7793288998
        7.7488000000         0.0000000000         0.0000000000        -3.6869168708
        0.0000000000         0.2672000000         0.0000000000        -3.6869168708
        0.2672000000         0.2672000000         0.0000000000        -3.3527582357
        0.5344000000         0.2672000000         0.0000000000        -2.5340070335
        0.8016000000         0.2672000000         0.0000000000        -1.6227634877
        1.0688000000         0.2672000000         0.0000000000        -0.9210683266
        1.3360000000         0.2672000000         0.0000000000        -0.5010602786
        1.6032000000         0.2672000000         0.0000000000        -0.2835555828
        1.8704000000         0.2672000000         0.0000000000        -0.1703730334
        2.1376000000         0.2672000000         0.0000000000        -0.1042167647
        2.4048000000         0.2672000000         0.0000000000        -0.0631563711
        2.6720000000         0.2672000000         0.0000000000        -0.0386523911
        2.9392000000         0.2672000000         0.0000000000        -0.0243037734
        3.2064000000         0.2672000000         0.0000000000        -0.0153934845
        3.4736000000         0.2672000000         0.0000000000        -0.0098240509
        3.7408000000         0.2672000000         0.0000000000        -0.0069192249
        4.0080000000         0.2672000000         0.0000000000        -0.0060762338
        4.2752000000         0.2672000000         0.0000000000        -0.0069192249
        4.5424000000         0.2672000000         0.0000000000        -0.0098240509
        4.8096000000         0.2672000000         0.0000000000        -0.0153934845
        5.0768000000         0.2672000000         0.0000000000        -0.0243037734
        5.3440000000         0.2672000000         0.0000000000        -0.0386523911
        5.6112000000         0.2672000000         0.0000000000        -0.0631563711
        5.8784000000         0.2672000000         0.0000000000        -0.1042167647
        6.1456000000         0.2672000000         0.0000000000        -0.1703730334
        6.4128000000         0.2672000000         0.0000000000        -0.2835555828
        6.6800000000         0.2672000000         0.0000000000        -0.5010602786
        6.9472000000         0.2672000000         0.0000000000        -0.9210683266
        7.2144000000         0.2672000000         0.0000000000        -1.6227634877
        7.4816000000         0.2672000000         0.0000000000        -2.5340070335
