#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.7806530696
        0.1484444444         0.0000000000         0.0000000000         0.6684789342
        0.2968888889         0.0000000000         0.0000000000         0.4231987323
        0.4453333333         0.0000000000         0.0000000000         0.2046111910
        0.5937777778         0.0000000000         0.0000000000         0.0817290588
        0.7422222222         0.0000000000         0.0000000000         0.0309587565
        0.8906666667         0.0000000000         0.0000000000         0.0127320075
        1.0391111111         0.0000000000         0.0000000000         0.0057652767
        1.1875555556         0.0000000000         0.0000000000         0.0026547645
        1.3360000000         0.0000000000         0.0000000000         0.0012073477
        1.4844444444         0.0000000000         0.0000000000         0.0005652498
        1.6328888889         0.0000000000         0.0000000000         0.0002744484
        1.7813333333         0.0000000000         0.0000000000         0.0001311882
        1.9297777778         0.0000000000         0.0000000000         0.0000613450
        2.0782222222         0.0000000000         0.0000000000         0.0000299328
        2.2266666667         0.0000000000         0.0000000000         0.0000152859
        2.3751111111         0.0000000000         0.0000000000         0.0000074604
        2.5235555556         0.0000000000         0.0000000000         0.0000034519
        2.6720000000         0.0000000000         0.0000000000         0.0000017256
        2.8204444444         0.0000000000         0.0000000000         0.0000009462
        2.9688888889         0.0000000000         0.0000000000         0.0000004728
        3.1173333333         0.0000000000         0.0000000000         0.0000002086
        3.2657777778         0.0000000000         0.0000000000         0.0000001071
        3.4142222222         0.0000000000         0.0000000000         0.0000000669
        3.5626666667         0.0000000000         0.0000000000         0.0000000340
        3.7111111111         0.0000000000         0.0000000000         0.0000000137
        3.8595555556         0.0000000000         0.0000000000         0.0000000107
        4.0080000000         0.0000000000         0.0000000000         0.0000000129
        4.1564444444         0.0000000000         0.0000000000         0.0000000107
        4.3048888889         0.0000000000         0.0000000000         0.0000000137
        4.4533333333         0.0000000000         0.0000000000         0.0000000340
        4.6017777778         0.0000000000         0.0000000000         0.0000000669
        4.7502222222         0.0000000000         0.0000000000         0.0000001071
        4.8986666667         0.0000000000         0.0000000000         0.0000002086
        5.0471111111         0.0000000000         0.0000000000         0.0000004728
        5.1955555556         0.0000000000         0.0000000000         0.0000009462
        5.3440000000         0.0000000000         0.0000000000         0.0000017256
        5.4924444444         0.0000000000         0.0000000000         0.0000034519
        5.6408888889         0.0000000000         0.0000000000         0.0000074604
        5.7893333333         0.0000000000         0.0000000000         0.0000152859
        5.9377777778         0.0000000000         0.0000000000         0.0000299328
        6.0862222222         0.0000000000         0.0000000000         0.0000613450
        6.2346666667         0.0000000000         0.0000000000         0.0001311882
        6.3831111111         0.0000000000         0.0000000000         0.0002744484
        6.5315555556         0.0000000000         0.0000000000         0.0005652498
        6.6800000000         0.0000000000         0.0000000000         0.0012073477
        6.8284444444         0.0000000000         0.0000000000         0.0026547645
        6.9768888889         0.0000000000         0.0000000000         0.0057652767
        7.1253333333         0.0000000000         0.0000000000         0.0127320075
        7.2737777778         0.0000000000         0.0000000000         0.0309587565
        7.4222222222         0.0000000000         0.0000000000         0.0817290588
        7.5706666667         0.0000000000         0.0000000000         0.2046111910
        7.7191111111         0.0000000000         0.0000000000         0.4231987323
        7.8675555556         0.0000000000         0.0000000000         0.6684789342
        0.0000000000         0.1484444444         0.0000000000         0.6684789342
        0.1484444444         0.1484444444         0.0000000000         0.5731570360
        0.2968888889         0.1484444444         0.0000000000         0.3645326181
        0.4453333333         0.1484444444         0.0000000000         0.1780733529
        0.5937777778         0.1484444444         0.0000000000         0.0724939022
        0.7422222222         0.1484444444         0.0000000000         0.0282063352
        0.8906666667         0.1484444444         0.0000000000         0.0118909166
        1.0391111111         0.1484444444         0.0000000000         0.0054580310
        1.1875555556         0.1484444444         0.0000000000         0.0025280753
        1.3360000000         0.1484444444         0.0000000000         0.0011564434
        1.4844444444         0.1484444444         0.0000000000         0.0005451370
        1.6328888889         0.1484444444         0.0000000000         0.0002657690
        1.7813333333         0.1484444444         0.0000000000         0.0001272306
        1.9297777778         0.1484444444         0.0000000000         0.0000596649
        2.0782222222         0.1484444444         0.0000000000         0.0000292394
        2.2266666667         0.1484444444         0.0000000000         0.0000149559
        2.3751111111         0.1484444444         0.0000000000         0.0000072958
        2.5235555556         0.1484444444         0.0000000000         0.0000033861
        2.6720000000         0.1484444444         0.0000000000         0.0000017032
        2.8204444444         0.1484444444         0.0000000000         0.0000009342
        2.9688888889         0.1484444444         0.0000000000         0.0000004639
        3.1173333333         0.1484444444         0.0000000000         0.0000002042
        3.2657777778         0.1484444444         0.0000000000         0.0000001056
        3.4142222222         0.1484444444         0.0000000000         0.0000000659
        3.5626666667         0.1484444444         0.0000000000         0.0000000331
        3.7111111111         0.1484444444         0.0000000000         0.0000000130
        3.8595555556         0.1484444444         0.0000000000         0.0000000099
        4.0080000000         0.1484444444         0.0000000000         0.0000000119
        4.1564444444         0.1484444444         0.0000000000         0.0000000099
        4.3048888889         0.1484444444         0.0000000000         0.0000000130
        4.4533333333         0.1484444444         0.0000000000         0.0000000331
        4.6017777778         0.1484444444         0.0000000000         0.0000000659
        4.7502222222         0.1484444444         0.0000000000         0.0000001056
        4.8986666667         0.1484444444         0.0000000000         0.0000002042
        5.0471111111         0.1484444444         0.0000000000         0.0000004639
        5.1955555556         0.1484444444         0.0000000000         0.0000009342
        5.3440000000         0.1484444444         0.0000000000         0.0000017032
        5.4924444444         0.1484444444         0.0000000000         0.0000033861
        5.6408888889         0.1484444444         0.0000000000         0.0000072958
        5.7893333333         0.1484444444         0.0000000000         0.0000149559
        5.9377777778         0.1484444444         0.0000000000         0.0000292394
        6.0862222222         0.1484444444         0.0000000000         0.0000596649
        6.2346666667         0.1484444444         0.0000000000         0.0001272306
        6.3831111111         0.1484444444         0.0000000000         0.0002657690
        6.5315555556         0.1484444444         0.0000000000         0.0005451370
        6.6800000000         0.1484444444         0.0000000000         0.0011564434
        6.8284444444         0.1484444444         0.0000000000         0.0025280753
        6.9768888889         0.1484444444         0.0000000000         0.0054580310
        7.1253333333         0.1484444444         0.0000000000         0.0118909166
        7.2737777778         0.1484444444         0.0000000000         0.0282063352
        7.4222222222         0.1484444444         0.0000000000         0.0724939022
