#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.7055480390
        0.1484444444         0.0000000000         0.0000000000         0.6190570133
        0.2968888889         0.0000000000         0.0000000000         0.4056159966
        0.4453333333         0.0000000000         0.0000000000         0.1924471581
        0.5937777778         0.0000000000         0.0000000000         0.0789656334
        0.7422222222         0.0000000000         0.0000000000         0.0319823197
        0.8906666667         0.0000000000         0.0000000000         0.0089557338
        1.0391111111         0.0000000000         0.0000000000         0.0034771148
        1.1875555556         0.0000000000         0.0000000000         0.0033804260
        1.3360000000         0.0000000000         0.0000000000         0.0038270214
        1.4844444444         0.0000000000         0.0000000000         0.0035216193
        1.6328888889         0.0000000000         0.0000000000         0.0025774429
        1.7813333333         0.0000000000         0.0000000000         0.0015820407
        1.9297777778         0.0000000000         0.0000000000         0.0010096652
        2.0782222222         0.0000000000         0.0000000000         0.0008655418
        2.2266666667         0.0000000000         0.0000000000         0.0008847448
        2.3751111111         0.0000000000         0.0000000000         0.0008485520
        2.5235555556         0.0000000000         0.0000000000         0.0006918766
        2.6720000000         0.0000000000         0.0000000000         0.0004562215
        2.8204444444         0.0000000000         0.0000000000         0.0002394033
        2.9688888889         0.0000000000         0.0000000000         0.0001457031
        3.1173333333         0.0000000000         0.0000000000         0.0001457091
        3.2657777778         0.0000000000         0.0000000000         0.0001677629
        3.4142222222         0.0000000000         0.0000000000         0.0001611315
        3.5626666667         0.0000000000         0.0000000000         0.0001238391
        3.7111111111         0.0000000000         0.0000000000         0.0000836540
        3.8595555556         0.0000000000         0.0000000000         0.0000534519
        4.0080000000         0.0000000000         0.0000000000         0.0000436243
        4.1564444444         0.0000000000         0.0000000000         0.0000534519
        4.3048888889         0.0000000000         0.0000000000         0.0000836540
        4.4533333333         0.0000000000         0.0000000000         0.0001238391
        4.6017777778         0.0000000000         0.0000000000         0.0001611315
        4.7502222222         0.0000000000         0.0000000000         0.0001677629
        4.8986666667         0.0000000000         0.0000000000         0.0001457091
        5.0471111111         0.0000000000         0.0000000000         0.0001457031
        5.1955555556         0.0000000000         0.0000000000         0.0002394033
        5.3440000000         0.0000000000         0.0000000000         0.0004562215
        5.4924444444         0.0000000000         0.0000000000         0.0006918766
        5.6408888889         0.0000000000         0.0000000000         0.0008485520
        5.7893333333         0.0000000000         0.0000000000         0.0008847448
        5.9377777778         0.0000000000         0.0000000000         0.0008655418
        6.0862222222         0.0000000000         0.0000000000         0.0010096652
        6.2346666667         0.0000000000         0.0000000000         0.0015820407
        6.3831111111         0.0000000000         0.0000000000         0.0025774429
        6.5315555556         0.0000000000         0.0000000000         0.0035216193
        6.6800000000         0.0000000000         0.0000000000         0.0038270214
        6.8284444444         0.0000000000         0.0000000000         0.0033804260
        6.9768888889         0.0000000000         0.0000000000         0.0034771148
        7.1253333333         0.0000000000         0.0000000000         0.0089557338
        7.2737777778         0.0000000000         0.0000000000         0.0319823197
        7.4222222222         0.0000000000         0.0000000000         0.0789656334
        7.5706666667         0.0000000000         0.0000000000         0.1924471581
        7.7191111111         0.0000000000         0.0000000000         0.4056159966
        7.8675555556         0.0000000000         0.0000000000         0.6190570133
        0.0000000000         0.1484444444         0.0000000000         0.6190570133
        0.1484444444         0.1484444444         0.0000000000         0.5406317527
        0.2968888889         0.1484444444         0.0000000000         0.3497293473
        0.4453333333         0.1484444444         0.0000000000         0.1662027544
        0.5937777778         0.1484444444         0.0000000000         0.0709865470
        0.7422222222         0.1484444444         0.0000000000         0.0284881272
        0.8906666667         0.1484444444         0.0000000000         0.0079879487
        1.0391111111         0.1484444444         0.0000000000         0.0034019242
        1.1875555556         0.1484444444         0.0000000000         0.0034143981
        1.3360000000         0.1484444444         0.0000000000         0.0038333250
        1.4844444444         0.1484444444         0.0000000000         0.0034860381
        1.6328888889         0.1484444444         0.0000000000         0.0025286694
        1.7813333333         0.1484444444         0.0000000000         0.0015474675
        1.9297777778         0.1484444444         0.0000000000         0.0009977071
        2.0782222222         0.1484444444         0.0000000000         0.0008656589
        2.2266666667         0.1484444444         0.0000000000         0.0008857140
        2.3751111111         0.1484444444         0.0000000000         0.0008460485
        2.5235555556         0.1484444444         0.0000000000         0.0006853059
        2.6720000000         0.1484444444         0.0000000000         0.0004495132
        2.8204444444         0.1484444444         0.0000000000         0.0002367434
        2.9688888889         0.1484444444         0.0000000000         0.0001461565
        3.1173333333         0.1484444444         0.0000000000         0.0001470744
        3.2657777778         0.1484444444         0.0000000000         0.0001681501
        3.4142222222         0.1484444444         0.0000000000         0.0001601309
        3.5626666667         0.1484444444         0.0000000000         0.0001225603
        3.7111111111         0.1484444444         0.0000000000         0.0000828843
        3.8595555556         0.1484444444         0.0000000000         0.0000533653
        4.0080000000         0.1484444444         0.0000000000         0.0000437352
        4.1564444444         0.1484444444         0.0000000000         0.0000533653
        4.3048888889         0.1484444444         0.0000000000         0.0000828843
        4.4533333333         0.1484444444         0.0000000000         0.0001225603
        4.6017777778         0.1484444444         0.0000000000         0.0001601309
        4.7502222222         0.1484444444         0.0000000000         0.0001681501
        4.8986666667         0.1484444444         0.0000000000         0.0001470744
        5.0471111111         0.1484444444         0.0000000000         0.0001461565
        5.1955555556         0.1484444444         0.0000000000         0.0002367434
        5.3440000000         0.1484444444         0.0000000000         0.0004495132
        5.4924444444         0.1484444444         0.0000000000         0.0006853059
        5.6408888889         0.1484444444         0.0000000000         0.0008460485
        5.7893333333         0.1484444444         0.0000000000         0.0008857140
        5.9377777778         0.1484444444         0.0000000000         0.0008656589
        6.0862222222         0.1484444444         0.0000000000         0.0009977071
        6.2346666667         0.1484444444         0.0000000000         0.0015474675
        6.3831111111         0.1484444444         0.0000000000         0.0025286694
        6.5315555556         0.1484444444         0.0000000000         0.0034860381
        6.6800000000         0.1484444444         0.0000000000         0.0038333250
        6.8284444444         0.1484444444         0.0000000000         0.0034143981
        6.9768888889         0.1484444444         0.0000000000         0.0034019242
        7.1253333333         0.1484444444         0.0000000000         0.0079879487
        7.2737777778         0.1484444444         0.0000000000         0.0284881272
        7.4222222222         0.1484444444         0.0000000000         0.0709865470
        7.5706666667         0.1484444444         0.0000000000         0.1662027544
        7.7191111111         0.1484444444         0.0000000000         0.3497293473
        7.8675555556         0.1484444444         0.0000000000         0.5406317527
        0.0000000000         0.2968888889         0.0000000000         0.4056159966
        0.1484444444         0.2968888889         0.0000000000         0.3497293473
        0.2968888889         0.2968888889         0.0000000000         0.2227486825
        0.4453333333         0.2968888889         0.0000000000         0.1112695898
        0.5937777778         0.2968888889         0.0000000000         0.0534814240
        0.7422222222         0.2968888889         0.0000000000         0.0204525979
        0.8906666667         0.2968888889         0.0000000000         0.0058341343
        1.0391111111         0.2968888889         0.0000000000         0.0032701818
        1.1875555556         0.2968888889         0.0000000000         0.0035221587
        1.3360000000         0.2968888889         0.0000000000         0.0038373292
        1.4844444444         0.2968888889         0.0000000000         0.0033740243
        1.6328888889         0.2968888889         0.0000000000         0.0023883745
        1.7813333333         0.2968888889         0.0000000000         0.0014537186
        1.9297777778         0.2968888889         0.0000000000         0.0009691972
        2.0782222222         0.2968888889         0.0000000000         0.0008683606
        2.2266666667         0.2968888889         0.0000000000         0.0008887314
        2.3751111111         0.2968888889         0.0000000000         0.0008388463
        2.5235555556         0.2968888889         0.0000000000         0.0006671848
        2.6720000000         0.2968888889         0.0000000000         0.0004321915
        2.8204444444         0.2968888889         0.0000000000         0.0002295026
        2.9688888889         0.2968888889         0.0000000000         0.0001485793
        3.1173333333         0.2968888889         0.0000000000         0.0001525174
        3.2657777778         0.2968888889         0.0000000000         0.0001697215
        3.4142222222         0.2968888889         0.0000000000         0.0001557898
        3.5626666667         0.2968888889         0.0000000000         0.0001158749
        3.7111111111         0.2968888889         0.0000000000         0.0000774777
        3.8595555556         0.2968888889         0.0000000000         0.0000501579
        4.0080000000         0.2968888889         0.0000000000         0.0000411671
        4.1564444444         0.2968888889         0.0000000000         0.0000501579
        4.3048888889         0.2968888889         0.0000000000         0.0000774777
        4.4533333333         0.2968888889         0.0000000000         0.0001158749
        4.6017777778         0.2968888889         0.0000000000         0.0001557898
        4.7502222222         0.2968888889         0.0000000000         0.0001697215
        4.8986666667         0.2968888889         0.0000000000         0.0001525174
        5.0471111111         0.2968888889         0.0000000000         0.0001485793
        5.1955555556         0.2968888889         0.0000000000         0.0002295026
        5.3440000000         0.2968888889         0.0000000000         0.0004321915
        5.4924444444         0.2968888889         0.0000000000         0.0006671848
        5.6408888889         0.2968888889         0.0000000000         0.0008388463
        5.7893333333         0.2968888889         0.0000000000         0.0008887314
        5.9377777778         0.2968888889         0.0000000000         0.0008683606
        6.0862222222         0.2968888889         0.0000000000         0.0009691972
        6.2346666667         0.2968888889         0.0000000000         0.0014537186
        6.3831111111         0.2968888889         0.0000000000         0.0023883745
        6.5315555556         0.2968888889         0.0000000000         0.0033740243
        6.6800000000         0.2968888889         0.0000000000         0.0038373292
        6.8284444444         0.2968888889         0.0000000000         0.0035221587
        6.9768888889         0.2968888889         0.0000000000         0.0032701818
        7.1253333333         0.2968888889         0.0000000000         0.0058341343
        7.2737777778         0.2968888889         0.0000000000         0.0204525979
        7.4222222222         0.2968888889         0.0000000000         0.0534814240
        7.5706666667         0.2968888889         0.0000000000         0.1112695898
        7.7191111111         0.2968888889         0.0000000000         0.2227486825
        7.8675555556         0.2968888889         0.0000000000         0.3497293473
        0.0000000000         0.4453333333         0.0000000000         0.1924471581
        0.1484444444         0.4453333333         0.0000000000         0.1662027544
        0.2968888889         0.4453333333         0.0000000000         0.1112695898
        0.4453333333         0.4453333333         0.0000000000         0.0644716526
        0.5937777778         0.4453333333         0.0000000000         0.0319655398
        0.7422222222         0.4453333333         0.0000000000         0.0113028833
        0.8906666667         0.4453333333         0.0000000000         0.0040397769
        1.0391111111         0.4453333333         0.0000000000         0.0032406231
        1.1875555556         0.4453333333         0.0000000000         0.0036841061
        1.3360000000         0.4453333333         0.0000000000         0.0037890110
        1.4844444444         0.4453333333         0.0000000000         0.0031600715
        1.6328888889         0.4453333333         0.0000000000         0.0021561224
        1.7813333333         0.4453333333         0.0000000000         0.0013111167
        1.9297777778         0.4453333333         0.0000000000         0.0009277973
        2.0782222222         0.4453333333         0.0000000000         0.0008705527
        2.2266666667         0.4453333333         0.0000000000         0.0008876548
        2.3751111111         0.4453333333         0.0000000000         0.0008211172
        2.5235555556         0.4453333333         0.0000000000         0.0006376356
        2.6720000000         0.4453333333         0.0000000000         0.0004049148
        2.8204444444         0.4453333333         0.0000000000         0.0002192298
        2.9688888889         0.4453333333         0.0000000000         0.0001542894
        3.1173333333         0.4453333333         0.0000000000         0.0001612603
        3.2657777778         0.4453333333         0.0000000000         0.0001709550
        3.4142222222         0.4453333333         0.0000000000         0.0001482967
        3.5626666667         0.4453333333         0.0000000000         0.0001059230
        3.7111111111         0.4453333333         0.0000000000         0.0000695449
        3.8595555556         0.4453333333         0.0000000000         0.0000460845
        4.0080000000         0.4453333333         0.0000000000         0.0000387863
        4.1564444444         0.4453333333         0.0000000000         0.0000460845
        4.3048888889         0.4453333333         0.0000000000         0.0000695449
        4.4533333333         0.4453333333         0.0000000000         0.0001059230
        4.6017777778         0.4453333333         0.0000000000         0.0001482967
        4.7502222222         0.4453333333         0.0000000000         0.0001709550
        4.8986666667         0.4453333333         0.0000000000         0.0001612603
        5.0471111111         0.4453333333         0.0000000000         0.0001542894
        5.1955555556         0.4453333333         0.0000000000         0.0002192298
        5.3440000000         0.4453333333         0.0000000000         0.0004049148
        5.4924444444         0.4453333333         0.0000000000         0.0006376356
        5.6408888889         0.4453333333         0.0000000000         0.0008211172
        5.7893333333         0.4453333333         0.0000000000         0.0008876548
        5.9377777778         0.4453333333         0.0000000000         0.0008705527
        6.0862222222         0.4453333333         0.0000000000         0.0009277973
        6.2346666667         0.4453333333         0.0000000000         0.0013111167
        6.3831111111         0.4453333333         0.0000000000         0.0021561224
        6.5315555556         0.4453333333         0.0000000000         0.0031600715
        6.6800000000         0.4453333333         0.0000000000         0.0037890110
        6.8284444444         0.4453333333         0.0000000000         0.0036841061
        6.9768888889         0.4453333333         0.0000000000         0.0032406231
        7.1253333333         0.4453333333         0.0000000000         0.0040397769
        7.2737777778         0.4453333333         0.0000000000         0.0113028833
        7.4222222222         0.4453333333         0.0000000000         0.0319655398
        7.5706666667         0.4453333333         0.0000000000         0.0644716526
        7.7191111111         0.4453333333         0.0000000000         0.1112695898
        7.8675555556         0.4453333333         0.0000000000         0.1662027544
        0.0000000000         0.5937777778         0.0000000000         0.0789656334
        0.1484444444         0.5937777778         0.0000000000         0.0709865470
        0.2968888889         0.5937777778         0.0000000000         0.0534814240
        0.4453333333         0.5937777778         0.0000000000         0.0319655398
        0.5937777778         0.5937777778         0.0000000000         0.0142960684
        0.7422222222         0.5937777778         0.0000000000         0.0053215705
        0.8906666667         0.5937777778         0.0000000000         0.0032962519
        1.0391111111         0.5937777778         0.0000000000         0.0034124494
        1.1875555556         0.5937777778         0.0000000000         0.0038222878
        1.3360000000         0.5937777778         0.0000000000         0.0036267481
        1.4844444444         0.5937777778         0.0000000000         0.0028271671
        1.6328888889         0.5937777778         0.0000000000         0.0018490200
        1.7813333333         0.5937777778         0.0000000000         0.0011474001
        1.9297777778         0.5937777778         0.0000000000         0.0008854933
        2.0782222222         0.5937777778         0.0000000000         0.0008740851
        2.2266666667         0.5937777778         0.0000000000         0.0008806255
        2.3751111111         0.5937777778         0.0000000000         0.0007896918
        2.5235555556         0.5937777778         0.0000000000         0.0005919553
        2.6720000000         0.5937777778         0.0000000000         0.0003654416
        2.8204444444         0.5937777778         0.0000000000         0.0002060760
        2.9688888889         0.5937777778         0.0000000000         0.0001601514
        3.1173333333         0.5937777778         0.0000000000         0.0001700441
        3.2657777778         0.5937777778         0.0000000000         0.0001699293
        3.4142222222         0.5937777778         0.0000000000         0.0001371635
        3.5626666667         0.5937777778         0.0000000000         0.0000939856
        3.7111111111         0.5937777778         0.0000000000         0.0000617623
        3.8595555556         0.5937777778         0.0000000000         0.0000443589
        4.0080000000         0.5937777778         0.0000000000         0.0000396512
        4.1564444444         0.5937777778         0.0000000000         0.0000443589
        4.3048888889         0.5937777778         0.0000000000         0.0000617623
        4.4533333333         0.5937777778         0.0000000000         0.0000939856
        4.6017777778         0.5937777778         0.0000000000         0.0001371635
        4.7502222222         0.5937777778         0.0000000000         0.0001699293
        4.8986666667         0.5937777778         0.0000000000         0.0001700441
        5.0471111111         0.5937777778         0.0000000000         0.0001601514
        5.1955555556         0.5937777778         0.0000000000         0.0002060760
        5.3440000000         0.5937777778         0.0000000000         0.0003654416
        5.4924444444         0.5937777778         0.0000000000         0.0005919553
        5.6408888889         0.5937777778         0.0000000000         0.0007896918
