#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.6001851111
        0.1670000000         0.0000000000         0.0000000000         0.6002703295
        0.3340000000         0.0000000000         0.0000000000         0.6005729953
        0.5010000000         0.0000000000         0.0000000000         0.6006783296
        0.6680000000         0.0000000000         0.0000000000         0.6000271923
        0.8350000000         0.0000000000         0.0000000000         0.5978814001
        1.0020000000         0.0000000000         0.0000000000         0.5933751971
        1.1690000000         0.0000000000         0.0000000000         0.5855996399
        1.3360000000         0.0000000000         0.0000000000         0.5736866654
        1.5030000000         0.0000000000         0.0000000000         0.5568927445
        1.6700000000         0.0000000000         0.0000000000         0.5347252531
        1.8370000000         0.0000000000         0.0000000000         0.5064176237
        2.0040000000         0.0000000000         0.0000000000         0.4701828066
        2.1710000000         0.0000000000         0.0000000000         0.4256052205
        2.3380000000         0.0000000000         0.0000000000         0.3741414975
        2.5050000000         0.0000000000         0.0000000000         0.3184022112
        2.6720000000         0.0000000000         0.0000000000         0.2616262636
        2.8390000000         0.0000000000         0.0000000000         0.2070718236
        3.0060000000         0.0000000000         0.0000000000         0.1576374083
        3.1730000000         0.0000000000         0.0000000000         0.1154604419
        3.3400000000         0.0000000000         0.0000000000         0.0817947227
        3.5070000000         0.0000000000         0.0000000000         0.0569389939
        3.6740000000         0.0000000000         0.0000000000         0.0403791474
        3.8410000000         0.0000000000         0.0000000000         0.0311123130
        4.0080000000         0.0000000000         0.0000000000         0.0281648673
        4.1750000000         0.0000000000         0.0000000000         0.0311123130
        4.3420000000         0.0000000000         0.0000000000         0.0403791474
        4.5090000000         0.0000000000         0.0000000000         0.0569389939
        4.6760000000         0.0000000000         0.0000000000         0.0817947227
        4.8430000000         0.0000000000         0.0000000000         0.1154604419
        5.0100000000         0.0000000000         0.0000000000         0.1576374083
        5.1770000000         0.0000000000         0.0000000000         0.2070718236
        5.3440000000         0.0000000000         0.0000000000         0.2616262636
        5.5110000000         0.0000000000         0.0000000000         0.3184022112
        5.6780000000         0.0000000000         0.0000000000         0.3741414975
        5.8450000000         0.0000000000         0.0000000000         0.4256052205
        6.0120000000         0.0000000000         0.0000000000         0.4701828066
        6.1790000000         0.0000000000         0.0000000000         0.5064176237
        6.3460000000         0.0000000000         0.0000000000         0.5347252531
        6.5130000000         0.0000000000         0.0000000000         0.5568927445
        6.6800000000         0.0000000000         0.0000000000         0.5736866654
        6.8470000000         0.0000000000         0.0000000000         0.5855996399
        7.0140000000         0.0000000000         0.0000000000         0.5933751971
        7.1810000000         0.0000000000         0.0000000000         0.5978814001
        7.3480000000         0.0000000000         0.0000000000         0.6000271923
        7.5150000000         0.0000000000         0.0000000000         0.6006783296
        7.6820000000         0.0000000000         0.0000000000         0.6005729953
        7.8490000000         0.0000000000         0.0000000000         0.6002703295
        0.0000000000         0.1670000000         0.0000000000         0.6002703295
        0.1670000000         0.1670000000         0.0000000000         0.6003709368
        0.3340000000         0.1670000000         0.0000000000         0.6006324627
        0.5010000000         0.1670000000         0.0000000000         0.6006351535
        0.6680000000         0.1670000000         0.0000000000         0.5998574061
        0.8350000000         0.1670000000         0.0000000000         0.5975454033
        1.0020000000         0.1670000000         0.0000000000         0.5928583685
        1.1690000000         0.1670000000         0.0000000000         0.5848924841
        1.3360000000         0.1670000000         0.0000000000         0.5727899211
        1.5030000000         0.1670000000         0.0000000000         0.5558035811
        1.6700000000         0.1670000000         0.0000000000         0.5334623363
        1.8370000000         0.1670000000         0.0000000000         0.5050359736
        2.0040000000         0.1670000000         0.0000000000         0.4687478841
        2.1710000000         0.1670000000         0.0000000000         0.4241688789
        2.3380000000         0.1670000000         0.0000000000         0.3727466096
        2.5050000000         0.1670000000         0.0000000000         0.3170838392
        2.6720000000         0.1670000000         0.0000000000         0.2604152207
        2.8390000000         0.1670000000         0.0000000000         0.2059896708
        3.0060000000         0.1670000000         0.0000000000         0.1566865050
        3.1730000000         0.1670000000         0.0000000000         0.1146383976
        3.3400000000         0.1670000000         0.0000000000         0.0810912695
        3.5070000000         0.1670000000         0.0000000000         0.0563359052
        3.6740000000         0.1670000000         0.0000000000         0.0398591776
        3.8410000000         0.1670000000         0.0000000000         0.0306473978
        4.0080000000         0.1670000000         0.0000000000         0.0277176460
        4.1750000000         0.1670000000         0.0000000000         0.0306473978
        4.3420000000         0.1670000000         0.0000000000         0.0398591776
        4.5090000000         0.1670000000         0.0000000000         0.0563359052
        4.6760000000         0.1670000000         0.0000000000         0.0810912695
        4.8430000000         0.1670000000         0.0000000000         0.1146383976
        5.0100000000         0.1670000000         0.0000000000         0.1566865050
        5.1770000000         0.1670000000         0.0000000000         0.2059896708
        5.3440000000         0.1670000000         0.0000000000         0.2604152207
        5.5110000000         0.1670000000         0.0000000000         0.3170838392
        5.6780000000         0.1670000000         0.0000000000         0.3727466096
        5.8450000000         0.1670000000         0.0000000000         0.4241688789
        6.0120000000         0.1670000000         0.0000000000         0.4687478841
        6.1790000000         0.1670000000         0.0000000000         0.5050359736
        6.3460000000         0.1670000000         0.0000000000         0.5334623363
        6.5130000000         0.1670000000         0.0000000000         0.5558035811
        6.6800000000         0.1670000000         0.0000000000         0.5727899211
        6.8470000000         0.1670000000         0.0000000000         0.5848924841
        7.0140000000         0.1670000000         0.0000000000         0.5928583685
        7.1810000000         0.1670000000         0.0000000000         0.5975454033
        7.3480000000         0.1670000000         0.0000000000         0.5998574061
        7.5150000000         0.1670000000         0.0000000000         0.6006351535
        7.6820000000         0.1670000000         0.0000000000         0.6006324627
        7.8490000000         0.1670000000         0.0000000000         0.6003709368
        0.0000000000         0.3340000000         0.0000000000         0.6005729953
        0.1670000000         0.3340000000         0.0000000000         0.6006324627
        0.3340000000         0.3340000000         0.0000000000         0.6007008951
        0.5010000000         0.3340000000         0.0000000000         0.6004098419
        0.6680000000         0.3340000000         0.0000000000         0.5992534887
        0.8350000000         0.3340000000         0.0000000000         0.5964594309
        1.0020000000         0.3340000000         0.0000000000         0.5912404070
        1.1690000000         0.3340000000         0.0000000000         0.5826984914
        1.3360000000         0.3340000000         0.0000000000         0.5700176906
        1.5030000000         0.3340000000         0.0000000000         0.5524670258
        1.6700000000         0.3340000000         0.0000000000         0.5296258109
        1.8370000000         0.3340000000         0.0000000000         0.5008449720
        2.0040000000         0.3340000000         0.0000000000         0.4644032891
