#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000        -3.2525568507
        0.1670000000         0.0000000000         0.0000000000        -3.2509070808
        0.3340000000         0.0000000000         0.0000000000        -3.2472064327
        0.5010000000         0.0000000000         0.0000000000        -3.2326317281
        0.6680000000         0.0000000000         0.0000000000        -3.1941079630
        0.8350000000         0.0000000000         0.0000000000        -3.1187471835
        1.0020000000         0.0000000000         0.0000000000        -2.9926029569
        1.1690000000         0.0000000000         0.0000000000        -2.8073133222
        1.3360000000         0.0000000000         0.0000000000        -2.5590439566
        1.5030000000         0.0000000000         0.0000000000        -2.2533155857
        1.6700000000         0.0000000000         0.0000000000        -1.9027156448
        1.8370000000         0.0000000000         0.0000000000        -1.5277999385
        2.0040000000         0.0000000000         0.0000000000        -1.1528488735
        2.1710000000         0.0000000000         0.0000000000        -0.8035054369
        2.3380000000         0.0000000000         0.0000000000        -0.5026322061
        2.5050000000         0.0000000000         0.0000000000        -0.2672300928
        2.6720000000         0.0000000000         0.0000000000        -0.1069666172
        2.8390000000         0.0000000000         0.0000000000        -0.0223734791
        3.0060000000         0.0000000000         0.0000000000        -0.0065732857
        3.1730000000         0.0000000000         0.0000000000        -0.0436443333
        3.3400000000         0.0000000000         0.0000000000        -0.1125730044
        3.5070000000         0.0000000000         0.0000000000        -0.1867130537
        3.6740000000         0.0000000000         0.0000000000        -0.2427407062
        3.8410000000         0.0000000000         0.0000000000        -0.2652303711
        4.0080000000         0.0000000000         0.0000000000        -0.2662430665
        4.1750000000         0.0000000000         0.0000000000        -0.2652303711
        4.3420000000         0.0000000000         0.0000000000        -0.2427407062
        4.5090000000         0.0000000000         0.0000000000        -0.1867130537
        4.6760000000         0.0000000000         0.0000000000        -0.1125730044
        4.8430000000         0.0000000000         0.0000000000        -0.0436443333
        5.0100000000         0.0000000000         0.0000000000        -0.0065732857
        5.1770000000         0.0000000000         0.0000000000        -0.0223734791
        5.3440000000         0.0000000000         0.0000000000        -0.1069666172
        5.5110000000         0.0000000000         0.0000000000        -0.2672300928
        5.6780000000         0.0000000000         0.0000000000        -0.5026322061
        5.8450000000         0.0000000000         0.0000000000        -0.8035054369
        6.0120000000         0.0000000000         0.0000000000        -1.1528488735
        6.1790000000         0.0000000000         0.0000000000        -1.5277999385
        6.3460000000         0.0000000000         0.0000000000        -1.9027156448
