#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.7610411943
        0.1670000000         0.0000000000         0.0000000000         0.7515979421
        0.3340000000         0.0000000000         0.0000000000         0.7238314204
        0.5010000000         0.0000000000         0.0000000000         0.6794294134
        0.6680000000         0.0000000000         0.0000000000         0.6211659275
        0.8350000000         0.0000000000         0.0000000000         0.5527566684
        1.0020000000         0.0000000000         0.0000000000         0.4785578468
        1.1690000000         0.0000000000         0.0000000000         0.4031157261
        1.3360000000         0.0000000000         0.0000000000         0.3306375426
        1.5030000000         0.0000000000         0.0000000000         0.2645003430
        1.6700000000         0.0000000000         0.0000000000         0.2069235019
        1.8370000000         0.0000000000         0.0000000000         0.1588862076
        2.0040000000         0.0000000000         0.0000000000         0.1202847324
        2.1710000000         0.0000000000         0.0000000000         0.0902439717
        2.3380000000         0.0000000000         0.0000000000         0.0674686157
        2.5050000000         0.0000000000         0.0000000000         0.0505439636
        2.6720000000         0.0000000000         0.0000000000         0.0381433868
        2.8390000000         0.0000000000         0.0000000000         0.0291394298
        3.0060000000         0.0000000000         0.0000000000         0.0226386791
        3.1730000000         0.0000000000         0.0000000000         0.0179689812
        3.3400000000         0.0000000000         0.0000000000         0.0146453176
        3.5070000000         0.0000000000         0.0000000000         0.0123318914
        3.6740000000         0.0000000000         0.0000000000         0.0108081386
        3.8410000000         0.0000000000         0.0000000000         0.0099401839
        4.0080000000         0.0000000000         0.0000000000         0.0096580310
        4.1750000000         0.0000000000         0.0000000000         0.0099401839
        4.3420000000         0.0000000000         0.0000000000         0.0108081386
        4.5090000000         0.0000000000         0.0000000000         0.0123318914
        4.6760000000         0.0000000000         0.0000000000         0.0146453176
        4.8430000000         0.0000000000         0.0000000000         0.0179689812
        5.0100000000         0.0000000000         0.0000000000         0.0226386791
        5.1770000000         0.0000000000         0.0000000000         0.0291394298
        5.3440000000         0.0000000000         0.0000000000         0.0381433868
        5.5110000000         0.0000000000         0.0000000000         0.0505439636
        5.6780000000         0.0000000000         0.0000000000         0.0674686157
        5.8450000000         0.0000000000         0.0000000000         0.0902439717
        6.0120000000         0.0000000000         0.0000000000         0.1202847324
        6.1790000000         0.0000000000         0.0000000000         0.1588862076
        6.3460000000         0.0000000000         0.0000000000         0.2069235019
        6.5130000000         0.0000000000         0.0000000000         0.2645003430
        6.6800000000         0.0000000000         0.0000000000         0.3306375426
        6.8470000000         0.0000000000         0.0000000000         0.4031157261
        7.0140000000         0.0000000000         0.0000000000         0.4785578468
        7.1810000000         0.0000000000         0.0000000000         0.5527566684
        7.3480000000         0.0000000000         0.0000000000         0.6211659275
        7.5150000000         0.0000000000         0.0000000000         0.6794294134
        7.6820000000         0.0000000000         0.0000000000         0.7238314204
        7.8490000000         0.0000000000         0.0000000000         0.7515979421
        0.0000000000         0.1670000000         0.0000000000         0.7515979421
        0.1670000000         0.1670000000         0.0000000000         0.7422485182
        0.3340000000         0.1670000000         0.0000000000         0.7147636247
        0.5010000000         0.1670000000         0.0000000000         0.6708289096
        0.6680000000         0.1670000000         0.0000000000         0.6132080232
        0.8350000000         0.1670000000         0.0000000000         0.5455925686
        1.0020000000         0.1670000000         0.0000000000         0.4722988757
        1.1690000000         0.1670000000         0.0000000000         0.3978201209
        1.3360000000         0.1670000000         0.0000000000         0.3263039972
        1.5030000000         0.1670000000         0.0000000000         0.2610709438
        1.6700000000         0.1670000000         0.0000000000         0.2042959814
        1.8370000000         0.1670000000         0.0000000000         0.1569322400
        2.0040000000         0.1670000000         0.0000000000         0.1188691036
        2.1710000000         0.1670000000         0.0000000000         0.0892400260
        2.3380000000         0.1670000000         0.0000000000         0.0667677306
        2.5050000000         0.1670000000         0.0000000000         0.0500592176
        2.6720000000         0.1670000000         0.0000000000         0.0378089581
        2.8390000000         0.1670000000         0.0000000000         0.0289075747
        3.0060000000         0.1670000000         0.0000000000         0.0224758409
        3.1730000000         0.1670000000         0.0000000000         0.0178520507
        3.3400000000         0.1670000000         0.0000000000         0.0145585400
        3.5070000000         0.1670000000         0.0000000000         0.0122645132
        3.6740000000         0.1670000000         0.0000000000         0.0107526794
        3.8410000000         0.1670000000         0.0000000000         0.0098911699
        4.0080000000         0.1670000000         0.0000000000         0.0096110550
        4.1750000000         0.1670000000         0.0000000000         0.0098911699
        4.3420000000         0.1670000000         0.0000000000         0.0107526794
        4.5090000000         0.1670000000         0.0000000000         0.0122645132
        4.6760000000         0.1670000000         0.0000000000         0.0145585400
        4.8430000000         0.1670000000         0.0000000000         0.0178520507
        5.0100000000         0.1670000000         0.0000000000         0.0224758409
