#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.7400729950
        0.1670000000         0.0000000000         0.0000000000         0.7330434504
        0.3340000000         0.0000000000         0.0000000000         0.7121237036
        0.5010000000         0.0000000000         0.0000000000         0.6776740948
        0.6680000000         0.0000000000         0.0000000000         0.6304384016
        0.8350000000         0.0000000000         0.0000000000         0.5716001885
        1.0020000000         0.0000000000         0.0000000000         0.5025030434
        1.1690000000         0.0000000000         0.0000000000         0.4246503567
        1.3360000000         0.0000000000         0.0000000000         0.3418120208
        1.5030000000         0.0000000000         0.0000000000         0.2640045115
        1.6700000000         0.0000000000         0.0000000000         0.2007593882
        1.8370000000         0.0000000000         0.0000000000         0.1515220407
        2.0040000000         0.0000000000         0.0000000000         0.1124641830
        2.1710000000         0.0000000000         0.0000000000         0.0818296870
        2.3380000000         0.0000000000         0.0000000000         0.0614213732
        2.5050000000         0.0000000000         0.0000000000         0.0508901297
        2.6720000000         0.0000000000         0.0000000000         0.0420212564
        2.8390000000         0.0000000000         0.0000000000         0.0249953996
        3.0060000000         0.0000000000         0.0000000000         0.0149760989
        3.1730000000         0.0000000000         0.0000000000         0.0228546357
        3.3400000000         0.0000000000         0.0000000000         0.0200182817
        3.5070000000         0.0000000000         0.0000000000         0.0130668142
        3.6740000000         0.0000000000         0.0000000000         0.0079459567
        3.8410000000         0.0000000000         0.0000000000         0.0056916367
        4.0080000000         0.0000000000         0.0000000000         0.0052107545
        4.1750000000         0.0000000000         0.0000000000         0.0056916367
        4.3420000000         0.0000000000         0.0000000000         0.0079459567
        4.5090000000         0.0000000000         0.0000000000         0.0130668142
        4.6760000000         0.0000000000         0.0000000000         0.0200182817
        4.8430000000         0.0000000000         0.0000000000         0.0228546357
        5.0100000000         0.0000000000         0.0000000000         0.0149760989
        5.1770000000         0.0000000000         0.0000000000         0.0249953996
        5.3440000000         0.0000000000         0.0000000000         0.0420212564
        5.5110000000         0.0000000000         0.0000000000         0.0508901297
        5.6780000000         0.0000000000         0.0000000000         0.0614213732
        5.8450000000         0.0000000000         0.0000000000         0.0818296870
        6.0120000000         0.0000000000         0.0000000000         0.1124641830
        6.1790000000         0.0000000000         0.0000000000         0.1515220407
        6.3460000000         0.0000000000         0.0000000000         0.2007593882
        6.5130000000         0.0000000000         0.0000000000         0.2640045115
        6.6800000000         0.0000000000         0.0000000000         0.3418120208
        6.8470000000         0.0000000000         0.0000000000         0.4246503567
        7.0140000000         0.0000000000         0.0000000000         0.5025030434
        7.1810000000         0.0000000000         0.0000000000         0.5716001885
        7.3480000000         0.0000000000         0.0000000000         0.6304384016
        7.5150000000         0.0000000000         0.0000000000         0.6776740948
        7.6820000000         0.0000000000         0.0000000000         0.7121237036
        7.8490000000         0.0000000000         0.0000000000         0.7330434504
        0.0000000000         0.1670000000         0.0000000000         0.7330434504
        0.1670000000         0.1670000000         0.0000000000         0.7260459683
        0.3340000000         0.1670000000         0.0000000000         0.7051904973
        0.5010000000         0.1670000000         0.0000000000         0.6708459618
        0.6680000000         0.1670000000         0.0000000000         0.6237865516
        0.8350000000         0.1670000000         0.0000000000         0.5651813674
        1.0020000000         0.1670000000         0.0000000000         0.4963504838
        1.1690000000         0.1670000000         0.0000000000         0.4188313768
        1.3360000000         0.1670000000         0.0000000000         0.3366736134
        1.5030000000         0.1670000000         0.0000000000         0.2600828955
        1.6700000000         0.1670000000         0.0000000000         0.1980268748
        1.8370000000         0.1670000000         0.0000000000         0.1495613139
        2.0040000000         0.1670000000         0.0000000000         0.1110120466
        2.1710000000         0.1670000000         0.0000000000         0.0808100048
        2.3380000000         0.1670000000         0.0000000000         0.0609206444
        2.5050000000         0.1670000000         0.0000000000         0.0506379436
        2.6720000000         0.1670000000         0.0000000000         0.0416529187
        2.8390000000         0.1670000000         0.0000000000         0.0243216317
        3.0060000000         0.1670000000         0.0000000000         0.0151552592
        3.1730000000         0.1670000000         0.0000000000         0.0228606393
        3.3400000000         0.1670000000         0.0000000000         0.0198371827
        3.5070000000         0.1670000000         0.0000000000         0.0129061463
        3.6740000000         0.1670000000         0.0000000000         0.0078599244
        3.8410000000         0.1670000000         0.0000000000         0.0056532215
        4.0080000000         0.1670000000         0.0000000000         0.0051860209
        4.1750000000         0.1670000000         0.0000000000         0.0056532215
        4.3420000000         0.1670000000         0.0000000000         0.0078599244
        4.5090000000         0.1670000000         0.0000000000         0.0129061463
        4.6760000000         0.1670000000         0.0000000000         0.0198371827
        4.8430000000         0.1670000000         0.0000000000         0.0228606393
        5.0100000000         0.1670000000         0.0000000000         0.0151552592
        5.1770000000         0.1670000000         0.0000000000         0.0243216317
        5.3440000000         0.1670000000         0.0000000000         0.0416529187
        5.5110000000         0.1670000000         0.0000000000         0.0506379436
        5.6780000000         0.1670000000         0.0000000000         0.0609206444
        5.8450000000         0.1670000000         0.0000000000         0.0808100048
        6.0120000000         0.1670000000         0.0000000000         0.1110120466
        6.1790000000         0.1670000000         0.0000000000         0.1495613139
        6.3460000000         0.1670000000         0.0000000000         0.1980268748
        6.5130000000         0.1670000000         0.0000000000         0.2600828955
        6.6800000000         0.1670000000         0.0000000000         0.3366736134
        6.8470000000         0.1670000000         0.0000000000         0.4188313768
        7.0140000000         0.1670000000         0.0000000000         0.4963504838
        7.1810000000         0.1670000000         0.0000000000         0.5651813674
        7.3480000000         0.1670000000         0.0000000000         0.6237865516
        7.5150000000         0.1670000000         0.0000000000         0.6708459618
        7.6820000000         0.1670000000         0.0000000000         0.7051904973
        7.8490000000         0.1670000000         0.0000000000         0.7260459683
        0.0000000000         0.3340000000         0.0000000000         0.7121237036
        0.1670000000         0.3340000000         0.0000000000         0.7051904973
        0.3340000000         0.3340000000         0.0000000000         0.6845122057
        0.5010000000         0.3340000000         0.0000000000         0.6505090784
        0.6680000000         0.3340000000         0.0000000000         0.6039900613
        0.8350000000         0.3340000000         0.0000000000         0.5460775070
        1.0020000000         0.3340000000         0.0000000000         0.4780349479
        1.1690000000         0.3340000000         0.0000000000         0.4015756215
        1.3360000000         0.3340000000         0.0000000000         0.3216469141
        1.5030000000         0.3340000000         0.0000000000         0.2487616834
        1.6700000000         0.3340000000         0.0000000000         0.1901135688
        1.8370000000         0.3340000000         0.0000000000         0.1438331406
        2.0040000000         0.3340000000         0.0000000000         0.1067569684
        2.1710000000         0.3340000000         0.0000000000         0.0778697020
        2.3380000000         0.3340000000         0.0000000000         0.0595176326
        2.5050000000         0.3340000000         0.0000000000         0.0498921470
        2.6720000000         0.3340000000         0.0000000000         0.0404789866
        2.8390000000         0.3340000000         0.0000000000         0.0222872587
        3.0060000000         0.3340000000         0.0000000000         0.0157417177
        3.1730000000         0.3340000000         0.0000000000         0.0228373398
        3.3400000000         0.3340000000         0.0000000000         0.0192902496
        3.5070000000         0.3340000000         0.0000000000         0.0124379302
        3.6740000000         0.3340000000         0.0000000000         0.0076137622
        3.8410000000         0.3340000000         0.0000000000         0.0055431638
        4.0080000000         0.3340000000         0.0000000000         0.0051131242
        4.1750000000         0.3340000000         0.0000000000         0.0055431638
        4.3420000000         0.3340000000         0.0000000000         0.0076137622
        4.5090000000         0.3340000000         0.0000000000         0.0124379302
        4.6760000000         0.3340000000         0.0000000000         0.0192902496
        4.8430000000         0.3340000000         0.0000000000         0.0228373398
        5.0100000000         0.3340000000         0.0000000000         0.0157417177
        5.1770000000         0.3340000000         0.0000000000         0.0222872587
        5.3440000000         0.3340000000         0.0000000000         0.0404789866
        5.5110000000         0.3340000000         0.0000000000         0.0498921470
        5.6780000000         0.3340000000         0.0000000000         0.0595176326
        5.8450000000         0.3340000000         0.0000000000         0.0778697020
        6.0120000000         0.3340000000         0.0000000000         0.1067569684
        6.1790000000         0.3340000000         0.0000000000         0.1438331406
        6.3460000000         0.3340000000         0.0000000000         0.1901135688
        6.5130000000         0.3340000000         0.0000000000         0.2487616834
        6.6800000000         0.3340000000         0.0000000000         0.3216469141
        6.8470000000         0.3340000000         0.0000000000         0.4015756215
        7.0140000000         0.3340000000         0.0000000000         0.4780349479
        7.1810000000         0.3340000000         0.0000000000         0.5460775070
        7.3480000000         0.3340000000         0.0000000000         0.6039900613
        7.5150000000         0.3340000000         0.0000000000         0.6505090784
        7.6820000000         0.3340000000         0.0000000000         0.6845122057
        7.8490000000         0.3340000000         0.0000000000         0.7051904973
        0.0000000000         0.5010000000         0.0000000000         0.6776740948
        0.1670000000         0.5010000000         0.0000000000         0.6708459618
        0.3340000000         0.5010000000         0.0000000000         0.6505090784
        0.5010000000         0.5010000000         0.0000000000         0.6171354394
        0.6680000000         0.5010000000         0.0000000000         0.5715268556
        0.8350000000         0.5010000000         0.0000000000         0.5147380165
        1.0020000000         0.5010000000         0.0000000000         0.4480031448
        1.1690000000         0.5010000000         0.0000000000         0.3735993382
        1.3360000000         0.5010000000         0.0000000000         0.2979945490
        1.5030000000         0.5010000000         0.0000000000         0.2313054579
