#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.6686547497
        0.1670000000         0.0000000000         0.0000000000         0.6624712571
        0.3340000000         0.0000000000         0.0000000000         0.6440538989
        0.5010000000         0.0000000000         0.0000000000         0.6137805703
        0.6680000000         0.0000000000         0.0000000000         0.5723544216
        0.8350000000         0.0000000000         0.0000000000         0.5207815265
        1.0020000000         0.0000000000         0.0000000000         0.4601842328
        1.1690000000         0.0000000000         0.0000000000         0.3919590711
        1.3360000000         0.0000000000         0.0000000000         0.3196894959
        1.5030000000         0.0000000000         0.0000000000         0.2516480256
        1.6700000000         0.0000000000         0.0000000000         0.1952465923
        1.8370000000         0.0000000000         0.0000000000         0.1503165344
        2.0040000000         0.0000000000         0.0000000000         0.1135291653
        2.1710000000         0.0000000000         0.0000000000         0.0830978606
        2.3380000000         0.0000000000         0.0000000000         0.0624794998
        2.5050000000         0.0000000000         0.0000000000         0.0522228298
        2.6720000000         0.0000000000         0.0000000000         0.0445291642
        2.8390000000         0.0000000000         0.0000000000         0.0335106290
        3.0060000000         0.0000000000         0.0000000000         0.0220468981
        3.1730000000         0.0000000000         0.0000000000         0.0145571123
        3.3400000000         0.0000000000         0.0000000000         0.0095686186
        3.5070000000         0.0000000000         0.0000000000         0.0063453391
        3.6740000000         0.0000000000         0.0000000000         0.0045732013
        3.8410000000         0.0000000000         0.0000000000         0.0037242628
        4.0080000000         0.0000000000         0.0000000000         0.0034581137
        4.1750000000         0.0000000000         0.0000000000         0.0037242628
        4.3420000000         0.0000000000         0.0000000000         0.0045732013
        4.5090000000         0.0000000000         0.0000000000         0.0063453391
        4.6760000000         0.0000000000         0.0000000000         0.0095686186
        4.8430000000         0.0000000000         0.0000000000         0.0145571123
        5.0100000000         0.0000000000         0.0000000000         0.0220468981
        5.1770000000         0.0000000000         0.0000000000         0.0335106290
        5.3440000000         0.0000000000         0.0000000000         0.0445291642
        5.5110000000         0.0000000000         0.0000000000         0.0522228298
        5.6780000000         0.0000000000         0.0000000000         0.0624794998
        5.8450000000         0.0000000000         0.0000000000         0.0830978606
        6.0120000000         0.0000000000         0.0000000000         0.1135291653
        6.1790000000         0.0000000000         0.0000000000         0.1503165344
        6.3460000000         0.0000000000         0.0000000000         0.1952465923
        6.5130000000         0.0000000000         0.0000000000         0.2516480256
        6.6800000000         0.0000000000         0.0000000000         0.3196894959
        6.8470000000         0.0000000000         0.0000000000         0.3919590711
        7.0140000000         0.0000000000         0.0000000000         0.4601842328
        7.1810000000         0.0000000000         0.0000000000         0.5207815265
        7.3480000000         0.0000000000         0.0000000000         0.5723544216
        7.5150000000         0.0000000000         0.0000000000         0.6137805703
        7.6820000000         0.0000000000         0.0000000000         0.6440538989
        7.8490000000         0.0000000000         0.0000000000         0.6624712571
        0.0000000000         0.1670000000         0.0000000000         0.6624712571
        0.1670000000         0.1670000000         0.0000000000         0.6563105731
        0.3340000000         0.1670000000         0.0000000000         0.6379548649
        0.5010000000         0.1670000000         0.0000000000         0.6077894187
        0.6680000000         0.1670000000         0.0000000000         0.5665258795
        0.8350000000         0.1670000000         0.0000000000         0.5151587303
        1.0020000000         0.1670000000         0.0000000000         0.4547952972
        1.1690000000         0.1670000000         0.0000000000         0.3868830676
        1.3360000000         0.1670000000         0.0000000000         0.3152293794
        1.5030000000         0.1670000000         0.0000000000         0.2482000266
        1.6700000000         0.1670000000         0.0000000000         0.1927778231
        1.8370000000         0.1670000000         0.0000000000         0.1485021944
        2.0040000000         0.1670000000         0.0000000000         0.1121282877
        2.1710000000         0.1670000000         0.0000000000         0.0820644078
        2.3380000000         0.1670000000         0.0000000000         0.0619563914
        2.5050000000         0.1670000000         0.0000000000         0.0519512590
        2.6720000000         0.1670000000         0.0000000000         0.0442461129
