#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.6184856494
        0.0890666667         0.0000000000         0.0000000000         0.6128683722
        0.1781333333         0.0000000000         0.0000000000         0.5959868671
        0.2672000000         0.0000000000         0.0000000000         0.5678572762
        0.3562666667         0.0000000000         0.0000000000         0.5287504580
        0.4453333333         0.0000000000         0.0000000000         0.4794828798
        0.5344000000         0.0000000000         0.0000000000         0.4216831525
        0.6234666667         0.0000000000         0.0000000000         0.3579177528
        0.7125333333         0.0000000000         0.0000000000         0.2915979546
        0.8016000000         0.0000000000         0.0000000000         0.2266319797
        0.8906666667         0.0000000000         0.0000000000         0.1668789843
        0.9797333333         0.0000000000         0.0000000000         0.1155284860
        1.0688000000         0.0000000000         0.0000000000         0.0745771021
        1.1578666667         0.0000000000         0.0000000000         0.0445523703
        1.2469333333         0.0000000000         0.0000000000         0.0245701343
        1.3360000000         0.0000000000         0.0000000000         0.0127068277
        1.4250666667         0.0000000000         0.0000000000         0.0065818515
        1.5141333333         0.0000000000         0.0000000000         0.0039842662
        1.6032000000         0.0000000000         0.0000000000         0.0033381081
        1.6922666667         0.0000000000         0.0000000000         0.0037620229
        1.7813333333         0.0000000000         0.0000000000         0.0047381900
        1.8704000000         0.0000000000         0.0000000000         0.0058369297
        1.9594666667         0.0000000000         0.0000000000         0.0067216521
        2.0485333333         0.0000000000         0.0000000000         0.0072195678
        2.1376000000         0.0000000000         0.0000000000         0.0073062219
        2.2266666667         0.0000000000         0.0000000000         0.0070399001
        2.3157333333         0.0000000000         0.0000000000         0.0065158942
        2.4048000000         0.0000000000         0.0000000000         0.0058413113
        2.4938666667         0.0000000000         0.0000000000         0.0051138394
        2.5829333333         0.0000000000         0.0000000000         0.0044094301
        2.6720000000         0.0000000000         0.0000000000         0.0037771772
        2.7610666667         0.0000000000         0.0000000000         0.0032410211
        2.8501333333         0.0000000000         0.0000000000         0.0028048191
        2.9392000000         0.0000000000         0.0000000000         0.0024590632
        3.0282666667         0.0000000000         0.0000000000         0.0021869460
        3.1173333333         0.0000000000         0.0000000000         0.0019693863
        3.2064000000         0.0000000000         0.0000000000         0.0017884899
        3.2954666667         0.0000000000         0.0000000000         0.0016299290
        3.3845333333         0.0000000000         0.0000000000         0.0014841872
        3.4736000000         0.0000000000         0.0000000000         0.0013469571
        3.5626666667         0.0000000000         0.0000000000         0.0012185470
        3.6517333333         0.0000000000         0.0000000000         0.0011026534
        3.7408000000         0.0000000000         0.0000000000         0.0010046649
        3.8298666667         0.0000000000         0.0000000000         0.0009301216
        3.9189333333         0.0000000000         0.0000000000         0.0008835069
        4.0080000000         0.0000000000         0.0000000000         0.0008676529
        4.0970666667         0.0000000000         0.0000000000         0.0008835069
        4.1861333333         0.0000000000         0.0000000000         0.0009301216
        4.2752000000         0.0000000000         0.0000000000         0.0010046649
        4.3642666667         0.0000000000         0.0000000000         0.0011026534
        4.4533333333         0.0000000000         0.0000000000         0.0012185470
        4.5424000000         0.0000000000         0.0000000000         0.0013469571
        4.6314666667         0.0000000000         0.0000000000         0.0014841872
        4.7205333333         0.0000000000         0.0000000000         0.0016299290
        4.8096000000         0.0000000000         0.0000000000         0.0017884899
        4.8986666667         0.0000000000         0.0000000000         0.0019693863
        4.9877333333         0.0000000000         0.0000000000         0.0021869460
        5.0768000000         0.0000000000         0.0000000000         0.0024590632
        5.1658666667         0.0000000000         0.0000000000         0.0028048191
        5.2549333333         0.0000000000         0.0000000000         0.0032410211
        5.3440000000         0.0000000000         0.0000000000         0.0037771772
        5.4330666667         0.0000000000         0.0000000000         0.0044094301
        5.5221333333         0.0000000000         0.0000000000         0.0051138394
        5.6112000000         0.0000000000         0.0000000000         0.0058413113
        5.7002666667         0.0000000000         0.0000000000         0.0065158942
        5.7893333333         0.0000000000         0.0000000000         0.0070399001
        5.8784000000         0.0000000000         0.0000000000         0.0073062219
        5.9674666667         0.0000000000         0.0000000000         0.0072195678
        6.0565333333         0.0000000000         0.0000000000         0.0067216521
        6.1456000000         0.0000000000         0.0000000000         0.0058369297
        6.2346666667         0.0000000000         0.0000000000         0.0047381900
        6.3237333333         0.0000000000         0.0000000000         0.0037620229
        6.4128000000         0.0000000000         0.0000000000         0.0033381081
        6.5018666667         0.0000000000         0.0000000000         0.0039842662
        6.5909333333         0.0000000000         0.0000000000         0.0065818515
        6.6800000000         0.0000000000         0.0000000000         0.0127068277
        6.7690666667         0.0000000000         0.0000000000         0.0245701343
        6.8581333333         0.0000000000         0.0000000000         0.0445523703
        6.9472000000         0.0000000000         0.0000000000         0.0745771021
        7.0362666667         0.0000000000         0.0000000000         0.1155284860
        7.1253333333         0.0000000000         0.0000000000         0.1668789843
        7.2144000000         0.0000000000         0.0000000000         0.2266319797
        7.3034666667         0.0000000000         0.0000000000         0.2915979546
        7.3925333333         0.0000000000         0.0000000000         0.3579177528
        7.4816000000         0.0000000000         0.0000000000         0.4216831525
        7.5706666667         0.0000000000         0.0000000000         0.4794828798
        7.6597333333         0.0000000000         0.0000000000         0.5287504580
        7.7488000000         0.0000000000         0.0000000000         0.5678572762
        7.8378666667         0.0000000000         0.0000000000         0.5959868671
        7.9269333333         0.0000000000         0.0000000000         0.6128683722
        0.0000000000         0.0000000000         0.0000000000         0.6184856494
        0.0000000000         0.0890666667         0.0890666667         0.6072444605
        0.0000000000         0.1781333333         0.1781333333         0.5734765146
        0.0000000000         0.2672000000         0.2672000000         0.5176836551
        0.0000000000         0.3562666667         0.3562666667         0.4423419405
        0.0000000000         0.4453333333         0.4453333333         0.3532536807
        0.0000000000         0.5344000000         0.5344000000         0.2596735452
        0.0000000000         0.6234666667         0.6234666667         0.1725798472
        0.0000000000         0.7125333333         0.7125333333         0.1015473823
        0.0000000000         0.8016000000         0.8016000000         0.0517102496
        0.0000000000         0.8906666667         0.8906666667         0.0224805081
        0.0000000000         0.9797333333         0.9797333333         0.0087706892
        0.0000000000         1.0688000000         1.0688000000         0.0040429858
        0.0000000000         1.1578666667         1.1578666667         0.0034128512
        0.0000000000         1.2469333333         1.2469333333         0.0045136363
        0.0000000000         1.3360000000         1.3360000000         0.0060328538
        0.0000000000         1.4250666667         1.4250666667         0.0070530540
        0.0000000000         1.5141333333         1.5141333333         0.0072665008
        0.0000000000         1.6032000000         1.6032000000         0.0067931765
        0.0000000000         1.6922666667         1.6922666667         0.0059055485
        0.0000000000         1.7813333333         1.7813333333         0.0048842858
        0.0000000000         1.8704000000         1.8704000000         0.0039339391
        0.0000000000         1.9594666667         1.9594666667         0.0031580094
        0.0000000000         2.0485333333         2.0485333333         0.0025764014
        0.0000000000         2.1376000000         2.1376000000         0.0021591540
        0.0000000000         2.2266666667         2.2266666667         0.0018571380
        0.0000000000         2.3157333333         2.3157333333         0.0016225185
        0.0000000000         2.4048000000         2.4048000000         0.0014196396
        0.0000000000         2.4938666667         2.4938666667         0.0012288372
        0.0000000000         2.5829333333         2.5829333333         0.0010449467
        0.0000000000         2.6720000000         2.6720000000         0.0008722520
