#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.6168301316
        0.0890666667         0.0000000000         0.0000000000         0.6114551592
        0.1781333333         0.0000000000         0.0000000000         0.5952020412
        0.2672000000         0.0000000000         0.0000000000         0.5677740108
        0.3562666667         0.0000000000         0.0000000000         0.5288766326
        0.4453333333         0.0000000000         0.0000000000         0.4784768772
        0.5344000000         0.0000000000         0.0000000000         0.4170864387
        0.6234666667         0.0000000000         0.0000000000         0.3459944412
        0.7125333333         0.0000000000         0.0000000000         0.2673935818
        0.8016000000         0.0000000000         0.0000000000         0.1843452593
        0.8906666667         0.0000000000         0.0000000000         0.1005731868
        0.9797333333         0.0000000000         0.0000000000         0.0201021671
        1.0688000000         0.0000000000         0.0000000000        -0.0531969515
        1.1578666667         0.0000000000         0.0000000000        -0.1160810502
        1.2469333333         0.0000000000         0.0000000000        -0.1663368447
        1.3360000000         0.0000000000         0.0000000000        -0.2030439909
        1.4250666667         0.0000000000         0.0000000000        -0.2266494836
        1.5141333333         0.0000000000         0.0000000000        -0.2388458101
        1.6032000000         0.0000000000         0.0000000000        -0.2422604901
        1.6922666667         0.0000000000         0.0000000000        -0.2399978509
        1.7813333333         0.0000000000         0.0000000000        -0.2350874400
        1.8704000000         0.0000000000         0.0000000000        -0.2299494610
        1.9594666667         0.0000000000         0.0000000000        -0.2260443733
        2.0485333333         0.0000000000         0.0000000000        -0.2239223964
        2.1376000000         0.0000000000         0.0000000000        -0.2235581567
        2.2266666667         0.0000000000         0.0000000000        -0.2246822876
        2.3157333333         0.0000000000         0.0000000000        -0.2269364576
        2.4048000000         0.0000000000         0.0000000000        -0.2299296538
        2.4938666667         0.0000000000         0.0000000000        -0.2332900944
        2.5829333333         0.0000000000         0.0000000000        -0.2366997988
        2.6720000000         0.0000000000         0.0000000000        -0.2399185879
        2.7610666667         0.0000000000         0.0000000000        -0.2427918914
        2.8501333333         0.0000000000         0.0000000000        -0.2452485636
        2.9392000000         0.0000000000         0.0000000000        -0.2472877205
        3.0282666667         0.0000000000         0.0000000000        -0.2489606738
        3.1173333333         0.0000000000         0.0000000000        -0.2503487303
        3.2064000000         0.0000000000         0.0000000000        -0.2515422630
        3.2954666667         0.0000000000         0.0000000000        -0.2526219581
        3.3845333333         0.0000000000         0.0000000000        -0.2536456921
        3.4736000000         0.0000000000         0.0000000000        -0.2546407495
        3.5626666667         0.0000000000         0.0000000000        -0.2556029518
        3.6517333333         0.0000000000         0.0000000000        -0.2565008209
        3.7408000000         0.0000000000         0.0000000000        -0.2572848136
        3.8298666667         0.0000000000         0.0000000000        -0.2578984191
        3.9189333333         0.0000000000         0.0000000000        -0.2582904669
        4.0080000000         0.0000000000         0.0000000000        -0.2584253660
        4.0970666667         0.0000000000         0.0000000000        -0.2582904669
        4.1861333333         0.0000000000         0.0000000000        -0.2578984191
        4.2752000000         0.0000000000         0.0000000000        -0.2572848136
        4.3642666667         0.0000000000         0.0000000000        -0.2565008209
        4.4533333333         0.0000000000         0.0000000000        -0.2556029518
        4.5424000000         0.0000000000         0.0000000000        -0.2546407495
        4.6314666667         0.0000000000         0.0000000000        -0.2536456921
        4.7205333333         0.0000000000         0.0000000000        -0.2526219581
        4.8096000000         0.0000000000         0.0000000000        -0.2515422630
        4.8986666667         0.0000000000         0.0000000000        -0.2503487303
        4.9877333333         0.0000000000         0.0000000000        -0.2489606738
        5.0768000000         0.0000000000         0.0000000000        -0.2472877205
        5.1658666667         0.0000000000         0.0000000000        -0.2452485636
        5.2549333333         0.0000000000         0.0000000000        -0.2427918914
        5.3440000000         0.0000000000         0.0000000000        -0.2399185879
        5.4330666667         0.0000000000         0.0000000000        -0.2366997988
        5.5221333333         0.0000000000         0.0000000000        -0.2332900944
        5.6112000000         0.0000000000         0.0000000000        -0.2299296538
        5.7002666667         0.0000000000         0.0000000000        -0.2269364576
        5.7893333333         0.0000000000         0.0000000000        -0.2246822876
        5.8784000000         0.0000000000         0.0000000000        -0.2235581567
        5.9674666667         0.0000000000         0.0000000000        -0.2239223964
        6.0565333333         0.0000000000         0.0000000000        -0.2260443733
        6.1456000000         0.0000000000         0.0000000000        -0.2299494610
        6.2346666667         0.0000000000         0.0000000000        -0.2350874400
        6.3237333333         0.0000000000         0.0000000000        -0.2399978509
        6.4128000000         0.0000000000         0.0000000000        -0.2422604901
        6.5018666667         0.0000000000         0.0000000000        -0.2388458101
        6.5909333333         0.0000000000         0.0000000000        -0.2266494836
        6.6800000000         0.0000000000         0.0000000000        -0.2030439909
        6.7690666667         0.0000000000         0.0000000000        -0.1663368447
        6.8581333333         0.0000000000         0.0000000000        -0.1160810502
        6.9472000000         0.0000000000         0.0000000000        -0.0531969515
        7.0362666667         0.0000000000         0.0000000000         0.0201021671
        7.1253333333         0.0000000000         0.0000000000         0.1005731868
        7.2144000000         0.0000000000         0.0000000000         0.1843452593
        7.3034666667         0.0000000000         0.0000000000         0.2673935818
        7.3925333333         0.0000000000         0.0000000000         0.3459944412
        7.4816000000         0.0000000000         0.0000000000         0.4170864387
        7.5706666667         0.0000000000         0.0000000000         0.4784768772
        7.6597333333         0.0000000000         0.0000000000         0.5288766326
        7.7488000000         0.0000000000         0.0000000000         0.5677740108
        7.8378666667         0.0000000000         0.0000000000         0.5952020412
        7.9269333333         0.0000000000         0.0000000000         0.6114551592
        0.0000000000         0.0000000000         0.0000000000         0.6168301316
        0.0000000000         0.0890666667         0.0890666667         0.6060573625
        0.0000000000         0.1781333333         0.1781333333         0.5732886618
        0.0000000000         0.2672000000         0.2672000000         0.5176968723
        0.0000000000         0.3562666667         0.3562666667         0.4393327734
        0.0000000000         0.4453333333         0.4453333333         0.3406354148
        0.0000000000         0.5344000000         0.5344000000         0.2274525092
        0.0000000000         0.6234666667         0.6234666667         0.1089548714
        0.0000000000         0.7125333333         0.7125333333        -0.0037639592
        0.0000000000         0.8016000000         0.8016000000        -0.1000564435
        0.0000000000         0.8906666667         0.8906666667        -0.1722741259
        0.0000000000         0.9797333333         0.9797333333        -0.2176034933
        0.0000000000         1.0688000000         1.0688000000        -0.2385450362
        0.0000000000         1.1578666667         1.1578666667        -0.2418548909
        0.0000000000         1.2469333333         1.2469333333        -0.2361845260
        0.0000000000         1.3360000000         1.3360000000        -0.2290685616
        0.0000000000         1.4250666667         1.4250666667        -0.2246264365
        0.0000000000         1.5141333333         1.5141333333        -0.2237249398
        0.0000000000         1.6032000000         1.6032000000        -0.2257364123
        0.0000000000         1.6922666667         1.6922666667        -0.2296398368
        0.0000000000         1.7813333333         1.7813333333        -0.2343829738
        0.0000000000         1.8704000000         1.8704000000        -0.2391047734
        0.0000000000         1.9594666667         1.9594666667        -0.2432504736
        0.0000000000         2.0485333333         2.0485333333        -0.2465855844
        0.0000000000         2.1376000000         2.1376000000        -0.2491353357
        0.0000000000         2.2266666667         2.2266666667        -0.2510847964
        0.0000000000         2.3157333333         2.3157333333        -0.2526732549
        0.0000000000         2.4048000000         2.4048000000        -0.2541097259
        0.0000000000         2.4938666667         2.4938666667        -0.2555246388
        0.0000000000         2.5829333333         2.5829333333        -0.2569595701
        0.0000000000         2.6720000000         2.6720000000        -0.2583861492
        0.0000000000         2.7610666667         2.7610666667        -0.2597403351
        0.0000000000         2.8501333333         2.8501333333        -0.2609576213
        0.0000000000         2.9392000000         2.9392000000        -0.2619978811
        0.0000000000         3.0282666667         3.0282666667        -0.2628549590
        0.0000000000         3.1173333333         3.1173333333        -0.2635522367
        0.0000000000         3.2064000000         3.2064000000        -0.2641291943
        0.0000000000         3.2954666667         3.2954666667        -0.2646259425
        0.0000000000         3.3845333333         3.3845333333        -0.2650715386
        0.0000000000         3.4736000000         3.4736000000        -0.2654790675
        0.0000000000         3.5626666667         3.5626666667        -0.2658473073
        0.0000000000         3.6517333333         3.6517333333        -0.2661665506
        0.0000000000         3.7408000000         3.7408000000        -0.2664251711
        0.0000000000         3.8298666667         3.8298666667        -0.2666141966
        0.0000000000         3.9189333333         3.9189333333        -0.2667287215
        0.0000000000         4.0080000000         4.0080000000        -0.2667669839
        0.0000000000         4.0970666667         4.0970666667        -0.2667287215
        0.0000000000         4.1861333333         4.1861333333        -0.2666141966
        0.0000000000         4.2752000000         4.2752000000        -0.2664251711
        0.0000000000         4.3642666667         4.3642666667        -0.2661665506
        0.0000000000         4.4533333333         4.4533333333        -0.2658473073
        0.0000000000         4.5424000000         4.5424000000        -0.2654790675
        0.0000000000         4.6314666667         4.6314666667        -0.2650715386
        0.0000000000         4.7205333333         4.7205333333        -0.2646259425
        0.0000000000         4.8096000000         4.8096000000        -0.2641291943
        0.0000000000         4.8986666667         4.8986666667        -0.2635522367
        0.0000000000         4.9877333333         4.9877333333        -0.2628549590
        0.0000000000         5.0768000000         5.0768000000        -0.2619978811
        0.0000000000         5.1658666667         5.1658666667        -0.2609576213
        0.0000000000         5.2549333333         5.2549333333        -0.2597403351
        0.0000000000         5.3440000000         5.3440000000        -0.2583861492
        0.0000000000         5.4330666667         5.4330666667        -0.2569595701
        0.0000000000         5.5221333333         5.5221333333        -0.2555246388
        0.0000000000         5.6112000000         5.6112000000        -0.2541097259
        0.0000000000         5.7002666667         5.7002666667        -0.2526732549
