#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.7807043171
        0.2672000000         0.0000000000         0.0000000000         0.6762682711
        0.5344000000         0.0000000000         0.0000000000         0.4426229296
        0.8016000000         0.0000000000         0.0000000000         0.2248968982
        1.0688000000         0.0000000000         0.0000000000         0.0946624020
        1.3360000000         0.0000000000         0.0000000000         0.0371134243
        1.6032000000         0.0000000000         0.0000000000         0.0154334218
        1.8704000000         0.0000000000         0.0000000000         0.0070827958
        2.1376000000         0.0000000000         0.0000000000         0.0033670309
        2.4048000000         0.0000000000         0.0000000000         0.0015810614
        2.6720000000         0.0000000000         0.0000000000         0.0007523831
        2.9392000000         0.0000000000         0.0000000000         0.0003732272
        3.2064000000         0.0000000000         0.0000000000         0.0001877359
        3.4736000000         0.0000000000         0.0000000000         0.0000956008
        3.7408000000         0.0000000000         0.0000000000         0.0000563951
        4.0080000000         0.0000000000         0.0000000000         0.0000463561
        4.2752000000         0.0000000000         0.0000000000         0.0000563951
        4.5424000000         0.0000000000         0.0000000000         0.0000956008
        4.8096000000         0.0000000000         0.0000000000         0.0001877359
        5.0768000000         0.0000000000         0.0000000000         0.0003732272
        5.3440000000         0.0000000000         0.0000000000         0.0007523831
        5.6112000000         0.0000000000         0.0000000000         0.0015810614
        5.8784000000         0.0000000000         0.0000000000         0.0033670309
        6.1456000000         0.0000000000         0.0000000000         0.0070827958
        6.4128000000         0.0000000000         0.0000000000         0.0154334218
        6.6800000000         0.0000000000         0.0000000000         0.0371134243
        6.9472000000         0.0000000000         0.0000000000         0.0946624020
        7.2144000000         0.0000000000         0.0000000000         0.2248968982
        7.4816000000         0.0000000000         0.0000000000         0.4426229296
        7.7488000000         0.0000000000         0.0000000000         0.6762682711
        0.0000000000         0.2672000000         0.0000000000         0.6762682711
        0.2672000000         0.2672000000         0.0000000000         0.5864450844
        0.5344000000         0.2672000000         0.0000000000         0.3853325685
        0.8016000000         0.2672000000         0.0000000000         0.1974725956
        1.0688000000         0.2672000000         0.0000000000         0.0844426328
        1.3360000000         0.2672000000         0.0000000000         0.0338812135
        1.6032000000         0.2672000000         0.0000000000         0.0144238533
        1.8704000000         0.2672000000         0.0000000000         0.0067177723
        2.1376000000         0.2672000000         0.0000000000         0.0032138853
        2.4048000000         0.2672000000         0.0000000000         0.0015161764
        2.6720000000         0.2672000000         0.0000000000         0.0007259196
        2.9392000000         0.2672000000         0.0000000000         0.0003619383
        3.2064000000         0.2672000000         0.0000000000         0.0001824439
        3.4736000000         0.2672000000         0.0000000000         0.0000930165
        3.7408000000         0.2672000000         0.0000000000         0.0000549807
        4.0080000000         0.2672000000         0.0000000000         0.0000452455
        4.2752000000         0.2672000000         0.0000000000         0.0000549807
        4.5424000000         0.2672000000         0.0000000000         0.0000930165
        4.8096000000         0.2672000000         0.0000000000         0.0001824439
        5.0768000000         0.2672000000         0.0000000000         0.0003619383
        5.3440000000         0.2672000000         0.0000000000         0.0007259196
        5.6112000000         0.2672000000         0.0000000000         0.0015161764
        5.8784000000         0.2672000000         0.0000000000         0.0032138853
        6.1456000000         0.2672000000         0.0000000000         0.0067177723
        6.4128000000         0.2672000000         0.0000000000         0.0144238533
        6.6800000000         0.2672000000         0.0000000000         0.0338812135
        6.9472000000         0.2672000000         0.0000000000         0.0844426328
        7.2144000000         0.2672000000         0.0000000000         0.1974725956
        7.4816000000         0.2672000000         0.0000000000         0.3853325685
        7.7488000000         0.2672000000         0.0000000000         0.5864450844
        0.0000000000         0.5344000000         0.0000000000         0.4426229296
        0.2672000000         0.5344000000         0.0000000000         0.3853325685
