#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.7685514497
        0.2672000000         0.0000000000         0.0000000000         0.6784208688
        0.5344000000         0.0000000000         0.0000000000         0.4549761866
        0.8016000000         0.0000000000         0.0000000000         0.2188996554
        1.0688000000         0.0000000000         0.0000000000         0.0873285667
        1.3360000000         0.0000000000         0.0000000000         0.0371576467
        1.6032000000         0.0000000000         0.0000000000         0.0187435359
        1.8704000000         0.0000000000         0.0000000000         0.0070190105
        2.1376000000         0.0000000000         0.0000000000         0.0029765151
        2.4048000000         0.0000000000         0.0000000000         0.0015507416
        2.6720000000         0.0000000000         0.0000000000         0.0009214991
        2.9392000000         0.0000000000         0.0000000000         0.0007821273
        3.2064000000         0.0000000000         0.0000000000         0.0009471687
        3.4736000000         0.0000000000         0.0000000000         0.0010678812
        3.7408000000         0.0000000000         0.0000000000         0.0011991187
        4.0080000000         0.0000000000         0.0000000000         0.0010551984
        4.2752000000         0.0000000000         0.0000000000         0.0011991187
        4.5424000000         0.0000000000         0.0000000000         0.0010678812
        4.8096000000         0.0000000000         0.0000000000         0.0009471687
        5.0768000000         0.0000000000         0.0000000000         0.0007821273
        5.3440000000         0.0000000000         0.0000000000         0.0009214991
        5.6112000000         0.0000000000         0.0000000000         0.0015507416
        5.8784000000         0.0000000000         0.0000000000         0.0029765151
        6.1456000000         0.0000000000         0.0000000000         0.0070190105
        6.4128000000         0.0000000000         0.0000000000         0.0187435359
        6.6800000000         0.0000000000         0.0000000000         0.0371576467
        6.9472000000         0.0000000000         0.0000000000         0.0873285667
        7.2144000000         0.0000000000         0.0000000000         0.2188996554
        7.4816000000         0.0000000000         0.0000000000         0.4549761866
        7.7488000000         0.0000000000         0.0000000000         0.6784208688
        0.0000000000         0.2672000000         0.0000000000         0.6784208688
        0.2672000000         0.2672000000         0.0000000000         0.5954705649
        0.5344000000         0.2672000000         0.0000000000         0.3945374445
        0.8016000000         0.2672000000         0.0000000000         0.1885298523
        1.0688000000         0.2672000000         0.0000000000         0.0795201635
        1.3360000000         0.2672000000         0.0000000000         0.0325662510
        1.6032000000         0.2672000000         0.0000000000         0.0181127532
        1.8704000000         0.2672000000         0.0000000000         0.0064898784
        2.1376000000         0.2672000000         0.0000000000         0.0028591656
        2.4048000000         0.2672000000         0.0000000000         0.0014962188
        2.6720000000         0.2672000000         0.0000000000         0.0009015441
        2.9392000000         0.2672000000         0.0000000000         0.0007632131
        3.2064000000         0.2672000000         0.0000000000         0.0009268678
        3.4736000000         0.2672000000         0.0000000000         0.0010608893
        3.7408000000         0.2672000000         0.0000000000         0.0012244284
        4.0080000000         0.2672000000         0.0000000000         0.0011389179
        4.2752000000         0.2672000000         0.0000000000         0.0012244284
        4.5424000000         0.2672000000         0.0000000000         0.0010608893
        4.8096000000         0.2672000000         0.0000000000         0.0009268678
        5.0768000000         0.2672000000         0.0000000000         0.0007632131
        5.3440000000         0.2672000000         0.0000000000         0.0009015441
        5.6112000000         0.2672000000         0.0000000000         0.0014962188
        5.8784000000         0.2672000000         0.0000000000         0.0028591656
        6.1456000000         0.2672000000         0.0000000000         0.0064898784
        6.4128000000         0.2672000000         0.0000000000         0.0181127532
        6.6800000000         0.2672000000         0.0000000000         0.0325662510
        6.9472000000         0.2672000000         0.0000000000         0.0795201635
        7.2144000000         0.2672000000         0.0000000000         0.1885298523
        7.4816000000         0.2672000000         0.0000000000         0.3945374445
        7.7488000000         0.2672000000         0.0000000000         0.5954705649
        0.0000000000         0.5344000000         0.0000000000         0.4549761866
        0.2672000000         0.5344000000         0.0000000000         0.3945374445
        0.5344000000         0.5344000000         0.0000000000         0.2532873509
        0.8016000000         0.5344000000         0.0000000000         0.1254088796
        1.0688000000         0.5344000000         0.0000000000         0.0604010235
        1.3360000000         0.5344000000         0.0000000000         0.0166499609
        1.6032000000         0.5344000000         0.0000000000         0.0150051120
        1.8704000000         0.5344000000         0.0000000000         0.0052119377
        2.1376000000         0.5344000000         0.0000000000         0.0025149935
        2.4048000000         0.5344000000         0.0000000000         0.0013517627
        2.6720000000         0.5344000000         0.0000000000         0.0008420565
