#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.5535347890
        0.2672000000         0.0000000000         0.0000000000         0.5549149328
        0.5344000000         0.0000000000         0.0000000000         0.4796698599
        0.8016000000         0.0000000000         0.0000000000         0.2782171494
        1.0688000000         0.0000000000         0.0000000000         0.0775780699
        1.3360000000         0.0000000000         0.0000000000         0.0029705313
        1.6032000000         0.0000000000         0.0000000000         0.0012411043
        1.8704000000         0.0000000000         0.0000000000         0.0096951747
        2.1376000000         0.0000000000         0.0000000000         0.0078264449
        2.4048000000         0.0000000000         0.0000000000         0.0051335478
        2.6720000000         0.0000000000         0.0000000000         0.0036504414
        2.9392000000         0.0000000000         0.0000000000         0.0025650775
        3.2064000000         0.0000000000         0.0000000000         0.0018945721
        3.4736000000         0.0000000000         0.0000000000         0.0012407948
        3.7408000000         0.0000000000         0.0000000000         0.0010169380
        4.0080000000         0.0000000000         0.0000000000         0.0007728781
        4.2752000000         0.0000000000         0.0000000000         0.0010169380
        4.5424000000         0.0000000000         0.0000000000         0.0012407948
        4.8096000000         0.0000000000         0.0000000000         0.0018945721
        5.0768000000         0.0000000000         0.0000000000         0.0025650775
        5.3440000000         0.0000000000         0.0000000000         0.0036504414
        5.6112000000         0.0000000000         0.0000000000         0.0051335478
        5.8784000000         0.0000000000         0.0000000000         0.0078264449
        6.1456000000         0.0000000000         0.0000000000         0.0096951747
        6.4128000000         0.0000000000         0.0000000000         0.0012411043
        6.6800000000         0.0000000000         0.0000000000         0.0029705313
        6.9472000000         0.0000000000         0.0000000000         0.0775780699
        7.2144000000         0.0000000000         0.0000000000         0.2782171494
        7.4816000000         0.0000000000         0.0000000000         0.4796698599
        7.7488000000         0.0000000000         0.0000000000         0.5549149328
        0.0000000000         0.2672000000         0.0000000000         0.5549149328
        0.2672000000         0.2672000000         0.0000000000         0.5401833745
        0.5344000000         0.2672000000         0.0000000000         0.4413164984
        0.8016000000         0.2672000000         0.0000000000         0.2410658438
        1.0688000000         0.2672000000         0.0000000000         0.0608208636
        1.3360000000         0.2672000000         0.0000000000         0.0015681744
        1.6032000000         0.2672000000         0.0000000000         0.0018399925
        1.8704000000         0.2672000000         0.0000000000         0.0098994130
        2.1376000000         0.2672000000         0.0000000000         0.0075027775
        2.4048000000         0.2672000000         0.0000000000         0.0050793225
        2.6720000000         0.2672000000         0.0000000000         0.0035873105
        2.9392000000         0.2672000000         0.0000000000         0.0024730335
        3.2064000000         0.2672000000         0.0000000000         0.0018338054
        3.4736000000         0.2672000000         0.0000000000         0.0012289215
        3.7408000000         0.2672000000         0.0000000000         0.0010426604
        4.0080000000         0.2672000000         0.0000000000         0.0008429753
        4.2752000000         0.2672000000         0.0000000000         0.0010426604
        4.5424000000         0.2672000000         0.0000000000         0.0012289215
        4.8096000000         0.2672000000         0.0000000000         0.0018338054
        5.0768000000         0.2672000000         0.0000000000         0.0024730335
        5.3440000000         0.2672000000         0.0000000000         0.0035873105
        5.6112000000         0.2672000000         0.0000000000         0.0050793225
        5.8784000000         0.2672000000         0.0000000000         0.0075027775
        6.1456000000         0.2672000000         0.0000000000         0.0098994130
        6.4128000000         0.2672000000         0.0000000000         0.0018399925
        6.6800000000         0.2672000000         0.0000000000         0.0015681744
        6.9472000000         0.2672000000         0.0000000000         0.0608208636
        7.2144000000         0.2672000000         0.0000000000         0.2410658438
        7.4816000000         0.2672000000         0.0000000000         0.4413164984
        7.7488000000         0.2672000000         0.0000000000         0.5401833745
        0.0000000000         0.5344000000         0.0000000000         0.4796698599
        0.2672000000         0.5344000000         0.0000000000         0.4413164984
        0.5344000000         0.5344000000         0.0000000000         0.3176547937
        0.8016000000         0.5344000000         0.0000000000         0.1455097605
        1.0688000000         0.5344000000         0.0000000000         0.0256223600
        1.3360000000         0.5344000000         0.0000000000         0.0000833257
        1.6032000000         0.5344000000         0.0000000000         0.0040541762
        1.8704000000         0.5344000000         0.0000000000         0.0101533781
        2.1376000000         0.5344000000         0.0000000000         0.0068241475
        2.4048000000         0.5344000000         0.0000000000         0.0048739874
        2.6720000000         0.5344000000         0.0000000000         0.0033713702
        2.9392000000         0.5344000000         0.0000000000         0.0023492127
        3.2064000000         0.5344000000         0.0000000000         0.0017541044
        3.4736000000         0.5344000000         0.0000000000         0.0011846947
        3.7408000000         0.5344000000         0.0000000000         0.0009835431
        4.0080000000         0.5344000000         0.0000000000         0.0008422986
        4.2752000000         0.5344000000         0.0000000000         0.0009835431
        4.5424000000         0.5344000000         0.0000000000         0.0011846947
        4.8096000000         0.5344000000         0.0000000000         0.0017541044
        5.0768000000         0.5344000000         0.0000000000         0.0023492127
