#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000        -3.2328557987
        0.1484444444         0.0000000000         0.0000000000        -3.2368588834
        0.2968888889         0.0000000000         0.0000000000        -2.8914731797
        0.4453333333         0.0000000000         0.0000000000        -1.9111239522
        0.5937777778         0.0000000000         0.0000000000        -0.7112978572
        0.7422222222         0.0000000000         0.0000000000        -0.0443179858
        0.8906666667         0.0000000000         0.0000000000        -0.1100408679
        1.0391111111         0.0000000000         0.0000000000        -0.2310249783
        1.1875555556         0.0000000000         0.0000000000        -0.1750396966
        1.3360000000         0.0000000000         0.0000000000        -0.1406559487
        1.4844444444         0.0000000000         0.0000000000        -0.1087221196
        1.6328888889         0.0000000000         0.0000000000        -0.0890892013
        1.7813333333         0.0000000000         0.0000000000        -0.0697919753
        1.9297777778         0.0000000000         0.0000000000        -0.0564876681
        2.0782222222         0.0000000000         0.0000000000        -0.0450666627
        2.2266666667         0.0000000000         0.0000000000        -0.0367982410
        2.3751111111         0.0000000000         0.0000000000        -0.0296367493
        2.5235555556         0.0000000000         0.0000000000        -0.0233520448
        2.6720000000         0.0000000000         0.0000000000        -0.0189758442
        2.8204444444         0.0000000000         0.0000000000        -0.0155056885
        2.9688888889         0.0000000000         0.0000000000        -0.0128901080
        3.1173333333         0.0000000000         0.0000000000        -0.0098312600
        3.2657777778         0.0000000000         0.0000000000        -0.0083980496
        3.4142222222         0.0000000000         0.0000000000        -0.0070394750
        3.5626666667         0.0000000000         0.0000000000        -0.0060417177
        3.7111111111         0.0000000000         0.0000000000        -0.0040017697
        3.8595555556         0.0000000000         0.0000000000        -0.0041015534
        4.0080000000         0.0000000000         0.0000000000        -0.0035780633
        4.1564444444         0.0000000000         0.0000000000        -0.0041015534
        4.3048888889         0.0000000000         0.0000000000        -0.0040017697
        4.4533333333         0.0000000000         0.0000000000        -0.0060417177
        4.6017777778         0.0000000000         0.0000000000        -0.0070394750
        4.7502222222         0.0000000000         0.0000000000        -0.0083980496
        4.8986666667         0.0000000000         0.0000000000        -0.0098312600
        5.0471111111         0.0000000000         0.0000000000        -0.0128901080
        5.1955555556         0.0000000000         0.0000000000        -0.0155056885
        5.3440000000         0.0000000000         0.0000000000        -0.0189758442
        5.4924444444         0.0000000000         0.0000000000        -0.0233520448
        5.6408888889         0.0000000000         0.0000000000        -0.0296367493
        5.7893333333         0.0000000000         0.0000000000        -0.0367982410
        5.9377777778         0.0000000000         0.0000000000        -0.0450666627
        6.0862222222         0.0000000000         0.0000000000        -0.0564876681
        6.2346666667         0.0000000000         0.0000000000        -0.0697919753
        6.3831111111         0.0000000000         0.0000000000        -0.0890892013
        6.5315555556         0.0000000000         0.0000000000        -0.1087221196
        6.6800000000         0.0000000000         0.0000000000        -0.1406559487
        6.8284444444         0.0000000000         0.0000000000        -0.1750396966
        6.9768888889         0.0000000000         0.0000000000        -0.2310249783
        7.1253333333         0.0000000000         0.0000000000        -0.1100408679
        7.2737777778         0.0000000000         0.0000000000        -0.0443179858
        7.4222222222         0.0000000000         0.0000000000        -0.7112978572
        7.5706666667         0.0000000000         0.0000000000        -1.9111239522
        7.7191111111         0.0000000000         0.0000000000        -2.8914731797
        7.8675555556         0.0000000000         0.0000000000        -3.2368588834
        0.0000000000         0.1484444444         0.0000000000        -3.2368588834
        0.1484444444         0.1484444444         0.0000000000        -3.1678545913
        0.2968888889         0.1484444444         0.0000000000        -2.7126276441
        0.4453333333         0.1484444444         0.0000000000        -1.7125282653
        0.5937777778         0.1484444444         0.0000000000        -0.5861874612
        0.7422222222         0.1484444444         0.0000000000        -0.0255252883
        0.8906666667         0.1484444444         0.0000000000        -0.1278543378
        1.0391111111         0.1484444444         0.0000000000        -0.2297338298
        1.1875555556         0.1484444444         0.0000000000        -0.1716335342
        1.3360000000         0.1484444444         0.0000000000        -0.1391785970
        1.4844444444         0.1484444444         0.0000000000        -0.1071258041
        1.6328888889         0.1484444444         0.0000000000        -0.0881585100
        1.7813333333         0.1484444444         0.0000000000        -0.0690597912
        1.9297777778         0.1484444444         0.0000000000        -0.0559334333
        2.0782222222         0.1484444444         0.0000000000        -0.0444962662
        2.2266666667         0.1484444444         0.0000000000        -0.0366894921
        2.3751111111         0.1484444444         0.0000000000        -0.0294523244
        2.5235555556         0.1484444444         0.0000000000        -0.0234113476
        2.6720000000         0.1484444444         0.0000000000        -0.0191435386
        2.8204444444         0.1484444444         0.0000000000        -0.0156902488
        2.9688888889         0.1484444444         0.0000000000        -0.0128221372
        3.1173333333         0.1484444444         0.0000000000        -0.0096952251
        3.2657777778         0.1484444444         0.0000000000        -0.0082333371
        3.4142222222         0.1484444444         0.0000000000        -0.0067716206
        3.5626666667         0.1484444444         0.0000000000        -0.0058494000
        3.7111111111         0.1484444444         0.0000000000        -0.0039818075
        3.8595555556         0.1484444444         0.0000000000        -0.0042214279
        4.0080000000         0.1484444444         0.0000000000        -0.0039191475
        4.1564444444         0.1484444444         0.0000000000        -0.0042214279
        4.3048888889         0.1484444444         0.0000000000        -0.0039818075
        4.4533333333         0.1484444444         0.0000000000        -0.0058494000
        4.6017777778         0.1484444444         0.0000000000        -0.0067716206
        4.7502222222         0.1484444444         0.0000000000        -0.0082333371
        4.8986666667         0.1484444444         0.0000000000        -0.0096952251
        5.0471111111         0.1484444444         0.0000000000        -0.0128221372
        5.1955555556         0.1484444444         0.0000000000        -0.0156902488
        5.3440000000         0.1484444444         0.0000000000        -0.0191435386
        5.4924444444         0.1484444444         0.0000000000        -0.0234113476
        5.6408888889         0.1484444444         0.0000000000        -0.0294523244
        5.7893333333         0.1484444444         0.0000000000        -0.0366894921
        5.9377777778         0.1484444444         0.0000000000        -0.0444962662
        6.0862222222         0.1484444444         0.0000000000        -0.0559334333
        6.2346666667         0.1484444444         0.0000000000        -0.0690597912
        6.3831111111         0.1484444444         0.0000000000        -0.0881585100
        6.5315555556         0.1484444444         0.0000000000        -0.1071258041
        6.6800000000         0.1484444444         0.0000000000        -0.1391785970
        6.8284444444         0.1484444444         0.0000000000        -0.1716335342
        6.9768888889         0.1484444444         0.0000000000        -0.2297338298
        7.1253333333         0.1484444444         0.0000000000        -0.1278543378
        7.2737777778         0.1484444444         0.0000000000        -0.0255252883
        7.4222222222         0.1484444444         0.0000000000        -0.5861874612
        7.5706666667         0.1484444444         0.0000000000        -1.7125282653
        7.7191111111         0.1484444444         0.0000000000        -2.7126276441
        7.8675555556         0.1484444444         0.0000000000        -3.1678545913
        0.0000000000         0.2968888889         0.0000000000        -2.8914731797
        0.1484444444         0.2968888889         0.0000000000        -2.7126276441
        0.2968888889         0.2968888889         0.0000000000        -2.1140994367
        0.4453333333         0.2968888889         0.0000000000        -1.1625435394
        0.5937777778         0.2968888889         0.0000000000        -0.2911545539
        0.7422222222         0.2968888889         0.0000000000        -0.0119459366
        0.8906666667         0.2968888889         0.0000000000        -0.1748366574
        1.0391111111         0.2968888889         0.0000000000        -0.2217961811
        1.1875555556         0.2968888889         0.0000000000        -0.1634096611
        1.3360000000         0.2968888889         0.0000000000        -0.1343617321
        1.4844444444         0.2968888889         0.0000000000        -0.1034939081
        1.6328888889         0.2968888889         0.0000000000        -0.0859142993
        1.7813333333         0.2968888889         0.0000000000        -0.0668880997
        1.9297777778         0.2968888889         0.0000000000        -0.0546647421
        2.0782222222         0.2968888889         0.0000000000        -0.0432965941
        2.2266666667         0.2968888889         0.0000000000        -0.0360796590
        2.3751111111         0.2968888889         0.0000000000        -0.0285950799
        2.5235555556         0.2968888889         0.0000000000        -0.0232066706
        2.6720000000         0.2968888889         0.0000000000        -0.0189275536
        2.8204444444         0.2968888889         0.0000000000        -0.0154094169
        2.9688888889         0.2968888889         0.0000000000        -0.0122400302
        3.1173333333         0.2968888889         0.0000000000        -0.0094748826
        3.2657777778         0.2968888889         0.0000000000        -0.0082586361
        3.4142222222         0.2968888889         0.0000000000        -0.0068278399
        3.5626666667         0.2968888889         0.0000000000        -0.0057647074
        3.7111111111         0.2968888889         0.0000000000        -0.0038307223
        3.8595555556         0.2968888889         0.0000000000        -0.0039177366
        4.0080000000         0.2968888889         0.0000000000        -0.0038317904
        4.1564444444         0.2968888889         0.0000000000        -0.0039177366
        4.3048888889         0.2968888889         0.0000000000        -0.0038307223
        4.4533333333         0.2968888889         0.0000000000        -0.0057647074
        4.6017777778         0.2968888889         0.0000000000        -0.0068278399
        4.7502222222         0.2968888889         0.0000000000        -0.0082586361
        4.8986666667         0.2968888889         0.0000000000        -0.0094748826
        5.0471111111         0.2968888889         0.0000000000        -0.0122400302
        5.1955555556         0.2968888889         0.0000000000        -0.0154094168
        5.3440000000         0.2968888889         0.0000000000        -0.0189275536
        5.4924444444         0.2968888889         0.0000000000        -0.0232066706
        5.6408888889         0.2968888889         0.0000000000        -0.0285950799
        5.7893333333         0.2968888889         0.0000000000        -0.0360796590
        5.9377777778         0.2968888889         0.0000000000        -0.0432965941
        6.0862222222         0.2968888889         0.0000000000        -0.0546647421
        6.2346666667         0.2968888889         0.0000000000        -0.0668880997
        6.3831111111         0.2968888889         0.0000000000        -0.0859142993
        6.5315555556         0.2968888889         0.0000000000        -0.1034939081
        6.6800000000         0.2968888889         0.0000000000        -0.1343617321
        6.8284444444         0.2968888889         0.0000000000        -0.1634096611
        6.9768888889         0.2968888889         0.0000000000        -0.2217961811
        7.1253333333         0.2968888889         0.0000000000        -0.1748366574
        7.2737777778         0.2968888889         0.0000000000        -0.0119459366
        7.4222222222         0.2968888889         0.0000000000        -0.2911545539
        7.5706666667         0.2968888889         0.0000000000        -1.1625435394
        7.7191111111         0.2968888889         0.0000000000        -2.1140994367
        7.8675555556         0.2968888889         0.0000000000        -2.7126276441
        0.0000000000         0.4453333333         0.0000000000        -1.9111239522
        0.1484444444         0.4453333333         0.0000000000        -1.7125282653
        0.2968888889         0.4453333333         0.0000000000        -1.1625435394
        0.4453333333         0.4453333333         0.0000000000        -0.4742951519
        0.5937777778         0.4453333333         0.0000000000        -0.0445182696
        0.7422222222         0.4453333333         0.0000000000        -0.0746152458
        0.8906666667         0.4453333333         0.0000000000        -0.2215112590
        1.0391111111         0.4453333333         0.0000000000        -0.2000618852
        1.1875555556         0.4453333333         0.0000000000        -0.1529919923
        1.3360000000         0.4453333333         0.0000000000        -0.1250341681
        1.4844444444         0.4453333333         0.0000000000        -0.0983111327
        1.6328888889         0.4453333333         0.0000000000        -0.0819071464
        1.7813333333         0.4453333333         0.0000000000        -0.0638842251
        1.9297777778         0.4453333333         0.0000000000        -0.0528426226
        2.0782222222         0.4453333333         0.0000000000        -0.0418323808
        2.2266666667         0.4453333333         0.0000000000        -0.0352079700
        2.3751111111         0.4453333333         0.0000000000        -0.0274836565
        2.5235555556         0.4453333333         0.0000000000        -0.0223748128
        2.6720000000         0.4453333333         0.0000000000        -0.0179949124
        2.8204444444         0.4453333333         0.0000000000        -0.0151712143
        2.9688888889         0.4453333333         0.0000000000        -0.0120849615
        3.1173333333         0.4453333333         0.0000000000        -0.0095101374
        3.2657777778         0.4453333333         0.0000000000        -0.0079610638
        3.4142222222         0.4453333333         0.0000000000        -0.0066354395
        3.5626666667         0.4453333333         0.0000000000        -0.0054032039
        3.7111111111         0.4453333333         0.0000000000        -0.0038372750
        3.8595555556         0.4453333333         0.0000000000        -0.0038528115
        4.0080000000         0.4453333333         0.0000000000        -0.0037892497
        4.1564444444         0.4453333333         0.0000000000        -0.0038528115
        4.3048888889         0.4453333333         0.0000000000        -0.0038372750
        4.4533333333         0.4453333333         0.0000000000        -0.0054032039
        4.6017777778         0.4453333333         0.0000000000        -0.0066354395
        4.7502222222         0.4453333333         0.0000000000        -0.0079610638
        4.8986666667         0.4453333333         0.0000000000        -0.0095101374
