#                   x                    y                    z            potential
        0.0000000000         0.0000000000         0.0000000000         0.7733233075
        0.1484444444         0.0000000000         0.0000000000         0.6745864249
        0.2968888889         0.0000000000         0.0000000000         0.4341400801
        0.4453333333         0.0000000000         0.0000000000         0.1970893947
        0.5937777778         0.0000000000         0.0000000000         0.0781171598
        0.7422222222         0.0000000000         0.0000000000         0.0282905785
        0.8906666667         0.0000000000         0.0000000000         0.0172889120
        1.0391111111         0.0000000000         0.0000000000         0.0056971380
        1.1875555556         0.0000000000         0.0000000000         0.0026299724
        1.3360000000         0.0000000000         0.0000000000         0.0014875336
        1.4844444444         0.0000000000         0.0000000000         0.0010468212
        1.6328888889         0.0000000000         0.0000000000         0.0009190317
        1.7813333333         0.0000000000         0.0000000000         0.0007924521
        1.9297777778         0.0000000000         0.0000000000         0.0007173663
        2.0782222222         0.0000000000         0.0000000000         0.0006585317
        2.2266666667         0.0000000000         0.0000000000         0.0006263086
        2.3751111111         0.0000000000         0.0000000000         0.0005779060
        2.5235555556         0.0000000000         0.0000000000         0.0005129149
        2.6720000000         0.0000000000         0.0000000000         0.0004541084
        2.8204444444         0.0000000000         0.0000000000         0.0004038601
        2.9688888889         0.0000000000         0.0000000000         0.0003629634
        3.1173333333         0.0000000000         0.0000000000         0.0003108597
        3.2657777778         0.0000000000         0.0000000000         0.0002569172
        3.4142222222         0.0000000000         0.0000000000         0.0001991932
        3.5626666667         0.0000000000         0.0000000000         0.0001558663
        3.7111111111         0.0000000000         0.0000000000         0.0001373591
        3.8595555556         0.0000000000         0.0000000000         0.0001292693
        4.0080000000         0.0000000000         0.0000000000         0.0001362810
        4.1564444444         0.0000000000         0.0000000000         0.0001292693
        4.3048888889         0.0000000000         0.0000000000         0.0001373591
        4.4533333333         0.0000000000         0.0000000000         0.0001558663
        4.6017777778         0.0000000000         0.0000000000         0.0001991932
        4.7502222222         0.0000000000         0.0000000000         0.0002569172
        4.8986666667         0.0000000000         0.0000000000         0.0003108597
        5.0471111111         0.0000000000         0.0000000000         0.0003629634
        5.1955555556         0.0000000000         0.0000000000         0.0004038601
        5.3440000000         0.0000000000         0.0000000000         0.0004541084
        5.4924444444         0.0000000000         0.0000000000         0.0005129149
        5.6408888889         0.0000000000         0.0000000000         0.0005779060
        5.7893333333         0.0000000000         0.0000000000         0.0006263086
        5.9377777778         0.0000000000         0.0000000000         0.0006585317
        6.0862222222         0.0000000000         0.0000000000         0.0007173663
        6.2346666667         0.0000000000         0.0000000000         0.0007924521
        6.3831111111         0.0000000000         0.0000000000         0.0009190317
        6.5315555556         0.0000000000         0.0000000000         0.0010468212
        6.6800000000         0.0000000000         0.0000000000         0.0014875336
        6.8284444444         0.0000000000         0.0000000000         0.0026299724
        6.9768888889         0.0000000000         0.0000000000         0.0056971380
        7.1253333333         0.0000000000         0.0000000000         0.0172889120
        7.2737777778         0.0000000000         0.0000000000         0.0282905785
        7.4222222222         0.0000000000         0.0000000000         0.0781171598
        7.5706666667         0.0000000000         0.0000000000         0.1970893947
        7.7191111111         0.0000000000         0.0000000000         0.4341400801
        7.8675555556         0.0000000000         0.0000000000         0.6745864249
        0.0000000000         0.1484444444         0.0000000000         0.6745864249
        0.1484444444         0.1484444444         0.0000000000         0.5860584448
        0.2968888889         0.1484444444         0.0000000000         0.3718277084
        0.4453333333         0.1484444444         0.0000000000         0.1686084000
        0.5937777778         0.1484444444         0.0000000000         0.0704308896
        0.7422222222         0.1484444444         0.0000000000         0.0237969010
        0.8906666667         0.1484444444         0.0000000000         0.0160068928
        1.0391111111         0.1484444444         0.0000000000         0.0053315967
        1.1875555556         0.1484444444         0.0000000000         0.0025260112
        1.3360000000         0.1484444444         0.0000000000         0.0014516875
        1.4844444444         0.1484444444         0.0000000000         0.0010321673
        1.6328888889         0.1484444444         0.0000000000         0.0009141902
        1.7813333333         0.1484444444         0.0000000000         0.0007873049
        1.9297777778         0.1484444444         0.0000000000         0.0007135911
        2.0782222222         0.1484444444         0.0000000000         0.0006531587
        2.2266666667         0.1484444444         0.0000000000         0.0006259830
        2.3751111111         0.1484444444         0.0000000000         0.0005764556
        2.5235555556         0.1484444444         0.0000000000         0.0005139675
        2.6720000000         0.1484444444         0.0000000000         0.0004552723
        2.8204444444         0.1484444444         0.0000000000         0.0004039944
        2.9688888889         0.1484444444         0.0000000000         0.0003613381
        3.1173333333         0.1484444444         0.0000000000         0.0003082243
        3.2657777778         0.1484444444         0.0000000000         0.0002536095
        3.4142222222         0.1484444444         0.0000000000         0.0001946971
        3.5626666667         0.1484444444         0.0000000000         0.0001536128
        3.7111111111         0.1484444444         0.0000000000         0.0001368701
        3.8595555556         0.1484444444         0.0000000000         0.0001267383
        4.0080000000         0.1484444444         0.0000000000         0.0001289803
        4.1564444444         0.1484444444         0.0000000000         0.0001267383
        4.3048888889         0.1484444444         0.0000000000         0.0001368701
        4.4533333333         0.1484444444         0.0000000000         0.0001536128
        4.6017777778         0.1484444444         0.0000000000         0.0001946971
        4.7502222222         0.1484444444         0.0000000000         0.0002536095
        4.8986666667         0.1484444444         0.0000000000         0.0003082243
        5.0471111111         0.1484444444         0.0000000000         0.0003613381
        5.1955555556         0.1484444444         0.0000000000         0.0004039944
        5.3440000000         0.1484444444         0.0000000000         0.0004552723
        5.4924444444         0.1484444444         0.0000000000         0.0005139675
        5.6408888889         0.1484444444         0.0000000000         0.0005764556
        5.7893333333         0.1484444444         0.0000000000         0.0006259830
        5.9377777778         0.1484444444         0.0000000000         0.0006531587
        6.0862222222         0.1484444444         0.0000000000         0.0007135911
        6.2346666667         0.1484444444         0.0000000000         0.0007873049
        6.3831111111         0.1484444444         0.0000000000         0.0009141902
        6.5315555556         0.1484444444         0.0000000000         0.0010321673
        6.6800000000         0.1484444444         0.0000000000         0.0014516875
        6.8284444444         0.1484444444         0.0000000000         0.0025260112
        6.9768888889         0.1484444444         0.0000000000         0.0053315967
        7.1253333333         0.1484444444         0.0000000000         0.0160068928
        7.2737777778         0.1484444444         0.0000000000         0.0237969010
        7.4222222222         0.1484444444         0.0000000000         0.0704308896
        7.5706666667         0.1484444444         0.0000000000         0.1686084000
        7.7191111111         0.1484444444         0.0000000000         0.3718277084
        7.8675555556         0.1484444444         0.0000000000         0.5860584448
        0.0000000000         0.2968888889         0.0000000000         0.4341400801
        0.1484444444         0.2968888889         0.0000000000         0.3718277084
        0.2968888889         0.2968888889         0.0000000000         0.2303057919
        0.4453333333         0.2968888889         0.0000000000         0.1105257225
        0.5937777778         0.2968888889         0.0000000000         0.0533168953
        0.7422222222         0.2968888889         0.0000000000         0.0171518767
        0.8906666667         0.2968888889         0.0000000000         0.0122309104
        1.0391111111         0.2968888889         0.0000000000         0.0044376005
        1.1875555556         0.2968888889         0.0000000000         0.0022452997
        1.3360000000         0.2968888889         0.0000000000         0.0013574146
        1.4844444444         0.2968888889         0.0000000000         0.0010004214
        1.6328888889         0.2968888889         0.0000000000         0.0009049958
        1.7813333333         0.2968888889         0.0000000000         0.0007699916
        1.9297777778         0.2968888889         0.0000000000         0.0007084565
        2.0782222222         0.2968888889         0.0000000000         0.0006452071
        2.2266666667         0.2968888889         0.0000000000         0.0006225408
        2.3751111111         0.2968888889         0.0000000000         0.0005693050
        2.5235555556         0.2968888889         0.0000000000         0.0005123939
        2.6720000000         0.2968888889         0.0000000000         0.0004515649
        2.8204444444         0.2968888889         0.0000000000         0.0003987435
        2.9688888889         0.2968888889         0.0000000000         0.0003540606
        3.1173333333         0.2968888889         0.0000000000         0.0003017377
        3.2657777778         0.2968888889         0.0000000000         0.0002500796
        3.4142222222         0.2968888889         0.0000000000         0.0001920212
        3.5626666667         0.2968888889         0.0000000000         0.0001502772
        3.7111111111         0.2968888889         0.0000000000         0.0001372547
        3.8595555556         0.2968888889         0.0000000000         0.0001299673
        4.0080000000         0.2968888889         0.0000000000         0.0001292975
        4.1564444444         0.2968888889         0.0000000000         0.0001299673
        4.3048888889         0.2968888889         0.0000000000         0.0001372547
        4.4533333333         0.2968888889         0.0000000000         0.0001502772
        4.6017777778         0.2968888889         0.0000000000         0.0001920212
        4.7502222222         0.2968888889         0.0000000000         0.0002500796
        4.8986666667         0.2968888889         0.0000000000         0.0003017377
        5.0471111111         0.2968888889         0.0000000000         0.0003540606
        5.1955555556         0.2968888889         0.0000000000         0.0003987435
        5.3440000000         0.2968888889         0.0000000000         0.0004515649
        5.4924444444         0.2968888889         0.0000000000         0.0005123939
        5.6408888889         0.2968888889         0.0000000000         0.0005693050
        5.7893333333         0.2968888889         0.0000000000         0.0006225408
        5.9377777778         0.2968888889         0.0000000000         0.0006452071
        6.0862222222         0.2968888889         0.0000000000         0.0007084565
        6.2346666667         0.2968888889         0.0000000000         0.0007699916
        6.3831111111         0.2968888889         0.0000000000         0.0009049958
        6.5315555556         0.2968888889         0.0000000000         0.0010004214
        6.6800000000         0.2968888889         0.0000000000         0.0013574146
        6.8284444444         0.2968888889         0.0000000000         0.0022452997
        6.9768888889         0.2968888889         0.0000000000         0.0044376005
        7.1253333333         0.2968888889         0.0000000000         0.0122309104
        7.2737777778         0.2968888889         0.0000000000         0.0171518767
        7.4222222222         0.2968888889         0.0000000000         0.0533168953
        7.5706666667         0.2968888889         0.0000000000         0.1105257225
        7.7191111111         0.2968888889         0.0000000000         0.2303057919
        7.8675555556         0.2968888889         0.0000000000         0.3718277084
        0.0000000000         0.4453333333         0.0000000000         0.1970893947
        0.1484444444         0.4453333333         0.0000000000         0.1686084000
        0.2968888889         0.4453333333         0.0000000000         0.1105257225
        0.4453333333         0.4453333333         0.0000000000         0.0641461352
        0.5937777778         0.4453333333         0.0000000000         0.0283157561
        0.7422222222         0.4453333333         0.0000000000         0.0194130259
        0.8906666667         0.4453333333         0.0000000000         0.0077558215
        1.0391111111         0.4453333333         0.0000000000         0.0034189721
        1.1875555556         0.4453333333         0.0000000000         0.0018765218
        1.3360000000         0.4453333333         0.0000000000         0.0012289070
        1.4844444444         0.4453333333         0.0000000000         0.0009605917
        1.6328888889         0.4453333333         0.0000000000         0.0008839837
        1.7813333333         0.4453333333         0.0000000000         0.0007511291
        1.9297777778         0.4453333333         0.0000000000         0.0007025279
        2.0782222222         0.4453333333         0.0000000000         0.0006390992
        2.2266666667         0.4453333333         0.0000000000         0.0006193732
        2.3751111111         0.4453333333         0.0000000000         0.0005610720
        2.5235555556         0.4453333333         0.0000000000         0.0005031546
        2.6720000000         0.4453333333         0.0000000000         0.0004384105
